Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p6""","=""1S""","=""0""",1,"=""""","=""0.0000""","=""""","=""0""","=""L8473"""
"=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""",3,"=""""","=""209.4651""","=""""","=""""","="""""
"=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""",3,"=""""","=""211.3137""","=""""","=""""","="""""
"=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",3,"=""""","=""244.5452""","=""""","=""""","="""""
"=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",3,"=""""","=""247.6014""","=""""","=""""","="""""
"=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",3,"=""""","=""250.5386""","=""""","=""""","="""""
"=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",3,"=""""","=""277.9726""","=""""","=""""","="""""
"=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",3,"=""""","=""279.4852""","=""""","=""""","="""""
"=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""",3,"=""""","=""292.2084""","=""""","=""""","="""""
"=""2s2.2p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",3,"=""""","=""293.6628""","=""""","=""""","="""""
"=""2s.2p6.3p""","=""3P*""","=""1""",3,"=""""","=""294.0384""","=""""","=""""","="""""
"=""2s.2p6.3p""","=""1P*""","=""1""",3,"=""""","=""297.7815""","=""""","=""""","="""""
"=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",3,"=""""","=""312.6572""","=""""","=""""","="""""
"=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",3,"=""""","=""314.1859""","=""""","=""""","="""""
"=""2s2.2p5.(2P*).5d""","=""1F*""","=""3""",7,"=""""","=""316.5625""","=""+b""","=""""","="""""
"=""2s2.2p5.(2P*).5f""","=""1G""","=""4""",9,"=""""","=""316.5625""","=""+b""","=""""","="""""
"=""2s2.2p5.(2P*).6f""","=""1G""","=""4""",9,"=""""","=""327.2334""","=""+b""","=""""","="""""
"=""2s2.2p5.(2P*).6g""","=""1H*""","=""5""",11,"=""""","=""327.2334""","=""+b""","=""""","="""""
"=""2s2.2p5.(2P*).7g""","=""1H*""","=""5""",11,"=""""","=""333.6508""","=""+b""","=""""","="""""
"=""2s2.2p5.(2P*).7h""","=""1I""","=""6""",13,"=""""","=""333.6508""","=""+b""","=""""","="""""
"=""2s2.2p5.(2P*).8h""","=""1I""","=""6""",13,"=""""","=""337.8166""","=""+b""","=""""","="""""
"=""2s2.2p5.(2P*).8i""","=""1K*""","=""7""",15,"=""""","=""337.8166""","=""+b""","=""""","="""""
"=""2s2.2p5.(2P*).9i""","=""1K*""","=""7""",15,"=""""","=""340.6714""","=""+b""","=""""","="""""
"=""2s2.2p5.(2P*).9k""","=""1L""","=""8""",17,"=""""","=""340.6714""","=""+b""","=""""","="""""
"=""2s2.2p5.(2P*).10k""","=""1L""","=""8""",17,"=""""","=""342.7153""","=""+b""","=""""","="""""
"=""2s2.2p5.(2P*).10l""","=""1M*""","=""9""",19,"=""""","=""342.7153""","=""+b""","=""""","="""""
"=""2s2.2p5.(2P*).11h""","=""1I""","=""6""",13,"=""""","=""344.2250""","=""+b""","=""""","="""""
"=""2s2.2p5.(2P*).11i""","=""1K*""","=""7""",15,"=""""","=""344.2250""","=""+b""","=""""","="""""
"=""Cl IX (2p5 2P*<3/2>)""","=""Limit""","=""---""",,"=""""","=""348.306""","=""""","=""0.007""","=""L6972"""
