Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
CO v=1,CO v=0,0.0282502480183321,-0.26573
CO v=2,CO v=0,0.9643779624007464,-0.52817
CO v=2,CO v=1,0.0146934307816357,-0.26244
CO v=3,CO v=0,72.47582285823913,-0.78734
CO v=3,CO v=1,0.3254036258882088,-0.52161
CO v=3,CO v=2,0.0101979478445836,-0.25917
CO v=4,CO v=0,11521.706006162036,-1.04324
CO v=4,CO v=1,17.690423960812282,-0.7775099999999999
CO v=4,CO v=2,0.1648471653555192,-0.5150699999999999
CO v=4,CO v=3,0.0079695317623255,-0.2558999999999999
CO v=5,CO v=0,1851402.70191387,-1.29588
CO v=5,CO v=1,2034.98345548998,-1.03015
CO v=5,CO v=2,6.921727451336377,-0.7677099999999999
CO v=5,CO v=3,0.1002944757080178,-0.5085399999999999
CO v=5,CO v=4,0.0066493692504078,-0.25264
CO v=6,CO v=1,453741.2759177664,-1.27954
CO v=6,CO v=2,604.5301078398081,-1.0171
CO v=6,CO v=3,3.391923250432197,-0.7579299999999999
CO v=6,CO v=4,0.0678601614018505,-0.50203
CO v=6,CO v=5,0.0057842843159778,-0.24939
CO v=7,CO v=2,298448.7957783929,-1.26326
CO v=7,CO v=3,226.96329675930048,-1.0040900000000001
CO v=7,CO v=4,1.873060859666292,-0.7481900000000001
CO v=7,CO v=5,0.0495950947416381,-0.49555000000000016
CO v=7,CO v=6,0.0051316352921492,-0.24616000000000016
CO v=8,CO v=3,235027.3446559755,-1.24701
CO v=8,CO v=4,102.30891858890912,-0.9911099999999999
CO v=8,CO v=5,1.1516713498632554,-0.73847
CO v=8,CO v=6,0.0378465350609437,-0.48907999999999996
CO v=8,CO v=7,0.0046929006526472,-0.2429199999999998
CO v=9,CO v=3,93957.04183822787,-1.48671
CO v=9,CO v=5,52.3935840828327,-0.97817
CO v=9,CO v=6,0.7579285038958464,-0.72878
CO v=9,CO v=7,0.0299997937351385,-0.4826199999999998
CO v=9,CO v=8,0.0043626509541194,-0.23970000000000002
