Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3d8""","=""a 3F""","=""4""",9,"=""""","=""0.00000000""","=""""","=""0.00000012""","="" 100                                                              ""","=""L9429"""
"=""3d8""","=""a 3F""","=""3""",7,"=""""","=""0.11782516""","=""""","=""0.00000025""","="" 100                                                              ""","=""L9429"""
"=""3d8""","=""a 3F""","=""2""",5,"=""""","=""0.19802719""","=""""","=""0.00000025""","=""  99                                                              ""","=""L9429"""
"=""3d7.(4F).4s""","=""a 5F""","=""5""",11,"=""""","=""0.41540831""","=""""","=""0.00000012""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4F).4s""","=""a 5F""","=""4""",9,"=""""","=""0.49953085""","=""""","=""0.00000012""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4F).4s""","=""a 5F""","=""3""",7,"=""""","=""0.56546577""","=""""","=""0.00000012""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4F).4s""","=""a 5F""","=""2""",5,"=""""","=""0.61372947""","=""""","=""0.00000012""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4F).4s""","=""a 5F""","=""1""",3,"=""""","=""0.64530031""","=""""","=""0.00000012""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4F).4s""","=""b 3F""","=""4""",9,"=""""","=""1.21663958""","=""""","=""0.00000012""","=""  99                                                              ""","=""L9429,L7185"""
"=""3d7.(4F).4s""","=""b 3F""","=""3""",7,"=""""","=""1.32766384""","=""""","=""0.00000012""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4F).4s""","=""b 3F""","=""2""",5,"=""""","=""1.40373174""","=""""","=""0.00000012""","=""  98                                                              ""","=""L9429,L7185"""
"=""3d8""","=""a 1D""","=""2""",5,"=""""","=""1.44457424""","=""""","=""0.00000012""","=""  74                        :    23  3d8                 3P       ""","=""L9429,L7185"""
"=""3d8""","=""a 3P""","=""2""",5,"=""""","=""1.64411577""","=""""","=""0.00000025""","=""  75                        :    24  3d8                 1D2      ""","=""L9429,L7185"""
"=""3d8""","=""a 3P""","=""1""",3,"=""""","=""1.66192399""","=""""","=""0.00000012""","=""  99                                                              ""","=""L9429,L7185"""
"=""3d8""","=""a 3P""","=""0""",1,"=""""","=""1.6853529""","=""""","=""0.0000004""","=""  99                                                              ""","=""L9429"""
"=""3d7.(4P).4s""","=""a 5P""","=""3""",7,"=""""","=""2.20338605""","=""""","=""0.00000012""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4P).4s""","=""a 5P""","=""2""",5,"=""""","=""2.23561202""","=""""","=""0.00000012""","=""  98                        :     2  3d7.(2P).4s         3P       ""","=""L9429,L7185"""
"=""3d7.(4P).4s""","=""a 5P""","=""1""",3,"=""""","=""2.27370158""","=""""","=""0.00000025""","=""  99                                                              ""","=""L9429,L7185"""
"=""3d8""","=""a 1G""","=""4""",9,"=""""","=""2.35244233""","=""""","=""0.00000012""","=""  98                        :     2  3d7.(2G).4s         1G       ""","=""L9429"""
"=""3d7.(2G).4s""","=""a 3G""","=""5""",11,"=""""","=""2.68109977""","=""""","=""0.00000012""","=""  98                                                              ""","=""L9429,L7185"""
"=""3d7.(2G).4s""","=""a 3G""","=""4""",9,"=""""","=""2.72881087""","=""""","=""0.00000012""","=""  97                                                              ""","=""L9429,L7185"""
"=""3d7.(2G).4s""","=""a 3G""","=""3""",7,"=""""","=""2.77903526""","=""""","=""0.00000012""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4P).4s""","=""b 3P""","=""2""",5,"=""""","=""2.98484767""","=""""","=""0.00000012""","=""  81                        :    16  3d7.(2P).4s         3P       ""","=""L9429,L7185"""
"=""3d7.(4P).4s""","=""b 3P""","=""1""",3,"=""""","=""3.00877191""","=""""","=""0.00000012""","=""  77                        :    16  3d7.(2P).4s         3P       ""","=""L9429,L7185"""
"=""3d7.(4P).4s""","=""b 3P""","=""0""",1,"=""""","=""3.02663766""","=""""","=""0.00000012""","=""  69                        :    31  3d7.(2P).4s         3P       ""","=""L9429"""
"=""3d7.(2P).4s""","=""c 3P""","=""2""",5,"=""""","=""3.08552036""","=""""","=""0.00000012""","=""  75                        :    18  3d7.(4P).4s         3P       ""","=""L9429,L7185"""
"=""3d7.(2P).4s""","=""c 3P""","=""1""",3,"=""""","=""3.13897205""","=""""","=""0.00000012""","=""  76                        :    18  3d7.(4P).4s         3P       ""","=""L9429,L7185"""
"=""3d7.(2P).4s""","=""c 3P""","=""0""",1,"=""""","=""3.20639528""","=""""","=""0.00000025""","=""  68                        :    32  3d7.(4P).4s         3P       ""","=""L9429"""
