State,Lifetime /s,Energy /eV
Cr a7S;v=3d5(6S)4s,,0.0
Cr z7Po;v=3d5(6S)4p,3.16106e-08,2.88938508975629
Cr z5Po;v=3d5(6S)4p,1.66223e-08,3.32293543175881
Cr z7Do;v=3d4(5D)4s.4p(3Po),5.56483e-06,3.3847029345143
Cr y7Po;v=3d4(5D)4s.4p(3Po),6.16519e-09,3.43785373425592
Cr y5Po;v=3d4(5D)4s.4p(3Po),7.51936e-08,3.64764255684234
Cr z5Fo;v=3d4(5D)4s.4p(3Po),1.09842e-07,3.81705065753503
Cr z5Do;v=3d4(5D)4s.4p(3Po),1.03093e-07,4.13332705161219
Cr z3Po;v=3d4(5D)4s.4p(3Po),1.42857e-07,4.18591993533133
Cr e7S;v=3d5(6S)5s,4.41696e-08,4.57439066271745
Cr y5Fo;v=3d4(5D)4s.4p(1Po),2.5355e-09,5.07163021821955
Cr x5Po;v=3d4(5D)4s.4p(1Po),1.1325e-08,5.07459337220562
Cr y5Do;v=3d4(5D)4s.4p(1Po),3.28052e-09,5.11110587634349
Cr z5Ho;v=3d4(3H)4s.4p(3Po),5.55556e-07,5.21037773394349
Cr x5Do;v=3d4(3P{1})4s.4p(3Po),7.65931e-09,5.23428133597331
Cr x7Po;v=3d5(6S)5p,1.44928e-07,5.23672376833839
Cr e7D;v=3d5(6S)4d,1.88041e-08,5.23860828468099
Cr z5Go;v=3d5(4G)4p,4.87805e-08,5.27110379345701
Cr z5So;v=3d5(4P)4p,1.15473e-07,5.34667041916851
Cr e5D;v=3d5(6S)4d,4.7619e-08,5.46621322558529
Cr w5Po;v=3d5(6S)5p,4.32339e-09,5.47076334070196
Cr y5Go;v=3d4(3F{1})4s.4p(3Po),1.75439e-07,5.49236088983886
Cr v5Po;v=3d4(3P{1})4s.4p(3Po),2.29885e-08,5.53783724473792
Cr x5Fo;v=3d4(3F{1})4s.4p(3Po),3.10752e-08,5.60416726074391
Cr z3Ho;v=3d5(4G)4p,1.67112e-08,5.62361993272773
Cr y5Ho;v=3d5(4G)4p,9.07194e-09,5.64933366229715
Cr f7S;v=3d5(6S)6s,1.35135e-07,5.65890502161615
Cr y3Po;v=3d5(4P)4p,1.81818e-08,5.66832760332915
Cr y3Fo;v=3d5(4G)4p,1.3885e-08,5.69897579016406
Cr y3Do;v=3d5(4P)4p,2.0429e-08,5.71268812618325
Cr w5Do;v=3d4(3F{1})4s.4p(3Po),1.96078e-08,5.74011279822161
Cr f7D;v=3d4.4s.5s,1.1976e-08,5.75875959150629
Cr w5Fo;v=3d4(3G)4s.4p(3Po),4.5045e-08,5.78725050305428
Cr z3Go;v=3d4(3H)4s.4p(3Po),2.86533e-08,5.80811656229504
Cr u5Po;v=3d5(4P)4p,1.11359e-08,5.82981329650261
Cr x5Go;v=3d4(3H)4s.4p(3Po),1.54321e-08,5.8330120150315
Cr y3Go;v=3d5(4G)4p,1.77368e-08,5.83312359823599
Cr z3So;v=3d4(3P{1})4s.4p(3Po),5.26316e-07,5.83808285176915
Cr z3Io;v=3d4(3H)4s.4p(3Po),1.63934e-07,5.91299237638751
Cr w7Po;v=3d5(6S)6p,9.09091e-07,5.91373626441748
Cr g7D;v=3d5(6S)5d,5.78035e-08,5.91420739350313
Cr v5Do;v=3d5(4P)4p,2.44499e-08,5.92287368905232
Cr x5Ho;v=3d4(3G)4s.4p(3Po),1.40845e-06,5.92552688969256
Cr u5Fo;v=3d5(4G)4p,4.56621e-09,5.93592892397836
Cr 3Do;v=3d4(3F{1})4s.4p(3Po),7.69231e-08,5.97714032083891
Cr y3Ho;v=3d4(3H)4s.4p(3Po),1.88679e-07,5.9868604577639
Cr x3Po;v=3d4(3P{1})4s.4p(3Po),1.6129e-07,6.00796208154749
Cr f5D;v=3d4.4s.5s,4.329e-08,6.02033541911272
Cr 3Fo;v=3d4(3F{1})4s.4p(3Po),1.5625e-07,6.02995637096704
Cr x3Do;v=3d4(3P{1})4s.4p(3Po),1.25e-07,6.05522376771848
Cr y3So;v=3d5(4P)4p,1.18064e-08,6.13422467650169
Cr w5Go;v=3d4(3G)4s.4p(3Po),7.69231e-07,6.13951867964834
Cr 1Do;v=3d4(3F{1})4s.4p(3Po),3.44828e-08,6.14921402030566
Cr x3Fo;v=3d5(4D)4p,3.1746e-08,6.15600819764609
