Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3d5""","=""a 6S""","=""5/2""",6,"=""""","=""0.00000000""","=""""","=""0.00000009""","=""                                         ""","=""L18847"""
"=""3d4.(5D).4s""","=""a 6D""","=""1/2""",2,"=""""","=""1.48306754""","=""""","=""0.00000006""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 6D""","=""3/2""",4,"=""""","=""1.49184541""","=""""","=""0.00000006""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 6D""","=""5/2""",6,"=""""","=""1.50613169""","=""""","=""0.00000006""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 6D""","=""7/2""",8,"=""""","=""1.52547926""","=""""","=""0.00000006""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 6D""","=""9/2""",10,"=""""","=""1.54936314""","=""""","=""0.00000006""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 4D""","=""1/2""",2,"=""""","=""2.42119186""","=""""","=""0.00000006""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 4D""","=""3/2""",4,"=""""","=""2.43395932""","=""""","=""0.00000006""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 4D""","=""5/2""",6,"=""""","=""2.45462173""","=""""","=""0.00000006""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 4D""","=""7/2""",8,"=""""","=""2.48266104""","=""""","=""0.00000006""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4G""","=""5/2""",6,"=""""","=""2.54317169""","=""""","=""0.00000006""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4G""","=""11/2""",12,"=""""","=""2.54317577""","=""""","=""0.00000009""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4G""","=""7/2""",8,"=""""","=""2.54388199""","=""""","=""0.00000006""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4G""","=""9/2""",10,"=""""","=""2.54406517""","=""""","=""0.00000007""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4P""","=""5/2""",6,"=""""","=""2.70564569""","=""""","=""0.00000006""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4P""","=""1/2""",2,"=""""","=""2.70579643""","=""""","=""0.00000006""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4P""","=""3/2""",4,"=""""","=""2.70584858""","=""""","=""0.00000006""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""b 4D""","=""7/2""",8,"=""""","=""3.10377925""","=""""","=""0.00000006""","=""                                         ""","=""L18847,L7185"""
