conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3d5,a 6S,2.5,6.0,0.0,3d4.(5D).4s,a 6D,0.5,2.0,1.483068,1.483068,835.99833,0.082,2.8639e-10,1.7184e-09,7.6009e-12
3d5,a 6S,2.5,6.0,0.0,3d4.(5D).4s,a 6D,1.5,4.0,1.491845,1.491845,831.0794,0.084,5.7987e-10,3.4792e-09,1.539e-11
3d5,a 6S,2.5,6.0,0.0,3d4.(5D).4s,a 6D,2.5,6.0,1.506132,1.506132,823.19627,0.088,8.9402e-10,5.3641e-09,2.3727e-11
3d5,a 6S,2.5,6.0,0.0,3d4.(5D).4s,a 6D,3.5,8.0,1.525479,1.525479,812.75571,0.094,1.2412e-09,7.4473e-09,3.2942e-11
3d5,a 6S,2.5,6.0,0.0,3d4.(5D).4s,a 6D,4.5,10.0,1.549363,1.549363,800.22685,0.1,1.6001e-09,9.6003e-09,4.2465e-11
3d5,a 6S,2.5,6.0,0.0,3d4.(5D).4p,z 6P*,1.5,4.0,6.000695,6.000695,206.61639,120000000.0,0.051201,0.30721,0.0013589
3d5,a 6S,2.5,6.0,0.0,3d4.(5D).4p,z 6P*,2.5,6.0,6.012125,6.012125,206.22359,119000000.0,0.075872,0.45523,0.0020137
3d5,a 6S,2.5,6.0,0.0,3d4.(5D).4p,z 6P*,3.5,8.0,6.029607,6.029607,205.62568,122000000.0,0.10311,0.61868,0.0027366
3d5,a 6S,2.5,6.0,0.0,3d4.(5D).4p,z 4P*,1.5,4.0,6.075951,6.075951,204.05728,3520000.0,0.0014649,0.0087895,3.8879e-05
3d5,a 6S,2.5,6.0,0.0,3d4.(5D).4p,z 6D*,2.5,6.0,6.118835,6.118835,202.62713,2110000.0,0.0012988,0.0077927,3.447e-05
3d5,a 6S,2.5,6.0,0.0,3d4.(5D).4p,z 6D*,1.5,4.0,6.145215,6.145215,201.75729,282000.0,0.00011473,0.00068838,3.0449e-06
3d5,a 6S,2.5,6.0,0.0,3d4.(5D).4p,z 6D*,3.5,8.0,6.155295,6.155295,201.42688,157000.0,0.00012733,0.00076398,3.3794e-06
3d5,a 6S,2.5,6.0,0.0,3d4.(5D).4p,z 4P*,2.5,6.0,6.162791,6.162791,201.1819,833000.0,0.00050545,0.0030327,1.3415e-05
3d4.(5D).4s,a 6D,0.5,2.0,1.483068,3d4.(5D).4p,z 6F*,0.5,2.0,5.80535,4.322283,286.8489,110000000.0,0.13569,0.27139,0.0036013
3d4.(5D).4s,a 6D,0.5,2.0,1.483068,3d4.(5D).4p,z 6F*,1.5,4.0,5.815496,4.332428,286.17715,69000000.0,0.16944,0.33887,0.0044969
3d4.(5D).4s,a 6D,0.5,2.0,1.483068,3d4.(5D).4p,z 6D*,1.5,4.0,6.145215,4.662148,265.93794,58000000.0,0.12299,0.24598,0.0032642
3d4.(5D).4s,a 6D,1.5,4.0,1.491845,3d4.(5D).4p,z 6F*,1.5,4.0,5.815496,4.32365,286.75815,120000000.0,0.14794,0.59174,0.0039262
3d4.(5D).4s,a 6D,1.5,4.0,1.491845,3d4.(5D).4p,z 6D*,0.5,2.0,6.136314,4.644469,266.95023,140000000.0,0.074786,0.29914,0.0019848
3d4.(5D).4s,a 6D,1.5,4.0,1.491845,3d4.(5D).4p,z 4P*,2.5,6.0,6.162791,4.670945,265.43705,35000000.0,0.055455,0.22182,0.0014718
3d4.(5D).4s,a 6D,2.5,6.0,1.506132,3d4.(5D).4p,z 6F*,3.5,8.0,5.855429,4.349297,285.06721,92000000.0,0.14944,0.89667,0.0039663
3d4.(5D).4s,a 6D,2.5,6.0,1.506132,3d4.(5D).4p,z 6P*,3.5,8.0,6.029607,4.523475,274.09059,11000000.0,0.016519,0.099113,0.00043841
3d4.(5D).4s,a 6D,2.5,6.0,1.506132,3d4.(5D).4p,z 6D*,1.5,4.0,6.145215,4.639084,267.26011,100000000.0,0.07139,0.42834,0.0018947
3d4.(5D).4s,a 6D,2.5,6.0,1.506132,3d4.(5D).4p,z 6D*,3.5,8.0,6.155295,4.649164,266.68064,59000000.0,0.083875,0.50325,0.002226
3d4.(5D).4s,a 6D,3.5,8.0,1.525479,3d4.(5D).4p,z 6F*,3.5,8.0,5.855429,4.32995,286.34097,63000000.0,0.07744,0.61952,0.0020553
3d4.(5D).4s,a 6D,3.5,8.0,1.525479,3d4.(5D).4p,z 6F*,4.5,10.0,5.884855,4.359376,284.40815,64000000.0,0.097014,0.77611,0.0025747
3d4.(5D).4s,a 6D,3.5,8.0,1.525479,3d4.(5D).4p,z 4P*,2.5,6.0,6.162791,4.637312,267.36223,55000000.0,0.044206,0.35365,0.0011732
3d4.(5D).4s,a 6D,4.5,10.0,1.549363,3d4.(5D).4p,z 6F*,3.5,8.0,5.855429,4.306066,287.92918,7400000.0,0.0073579,0.073579,0.00019528
3d4.(5D).4s,a 6D,4.5,10.0,1.549363,3d4.(5D).4p,z 6F*,5.5,12.0,5.920444,4.371081,283.64655,200000000.0,0.28948,2.8948,0.0076829
3d4.(5D).4s,a 4D,0.5,2.0,2.421192,3d4.(5D).4p,z 4F*,1.5,4.0,6.395613,3.974421,311.95533,170000000.0,0.49605,0.9921,0.013165
3d4.(5D).4s,a 4D,1.5,4.0,2.433959,3d4.(5D).4p,z 4F*,1.5,4.0,6.395613,3.961654,312.96069,81000000.0,0.11894,0.47576,0.0031566
3d4.(5D).4s,a 4D,1.5,4.0,2.433959,3d4.(5D).4p,z 4F*,2.5,6.0,6.40619,3.972231,312.1274,150000000.0,0.32863,1.3145,0.0087218
3d4.(5D).4s,a 4D,1.5,4.0,2.433959,3d4.(5D).4p,z 4D*,0.5,2.0,6.746967,4.313007,287.46578,88000000.0,0.054511,0.21804,0.0014467
3d4.(5D).4s,a 4D,1.5,4.0,2.433959,3d4.(5D).4p,z 4D*,1.5,4.0,6.757076,4.323116,286.79357,110000000.0,0.13564,0.54256,0.0035999
3d4.(5D).4s,a 4D,1.5,4.0,2.433959,3d4.(5D).4p,z 4D*,2.5,6.0,6.772711,4.338751,285.7601,43000000.0,0.078963,0.31585,0.0020957
3d4.(5D).4s,a 4D,2.5,6.0,2.454622,3d4.(5D).4p,z 4F*,2.5,6.0,6.40619,3.951568,313.75948,64000000.0,0.094457,0.56674,0.0025069
3d4.(5D).4s,a 4D,2.5,6.0,2.454622,3d4.(5D).4p,z 4D*,1.5,4.0,6.757076,4.302454,288.17089,79000000.0,0.065569,0.39341,0.0017402
