spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Cr III,Cr,2,3d4,5D,0.0,1,0.0,0.0,even,,no,30.959,,,,,,,,,,L7185
Cr III,Cr,2,3d4,5D,1.0,3,0.007714,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,5D,2.0,5,0.022709,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,5D,3.0,7,0.044207,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,5D,4.0,9,0.071425,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3P2,0.0,1,2.079384,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3P2,1.0,3,2.12863,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3P2,2.0,5,2.213264,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3H,4.0,9,2.141666,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3H,5.0,11,2.156943,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3H,6.0,13,2.173524,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3F2,2.0,5,2.287737,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3F2,3.0,7,2.295094,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3F2,4.0,9,2.304047,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3G,3.0,7,2.566924,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3G,4.0,9,2.585436,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3G,5.0,11,2.603177,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,1G2,4.0,9,3.116823,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3D,3.0,7,3.189672,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3D,2.0,5,3.196429,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3D,1.0,3,3.204782,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,1I,6.0,13,3.225435,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,1S2,0.0,1,3.393735,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,1D2,2.0,5,3.986339,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,1F,3.0,7,4.588055,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3F1,4.0,9,5.366868,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3F1,2.0,5,5.369077,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3F1,3.0,7,5.371265,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3P1,2.0,5,5.38612,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3P1,1.0,3,5.444963,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,3P1,0.0,1,5.472831,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4s,5F,1.0,3,6.136283,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4s,5F,2.0,5,6.153119,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4s,5F,3.0,7,6.177997,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4s,5F,4.0,9,6.210514,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4s,5F,5.0,11,6.250051,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,1G1,4.0,9,6.170526,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4s,3F,2.0,5,7.023875,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4s,3F,3.0,7,7.066241,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4s,3F,4.0,9,7.119594,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4s,5P,1.0,3,7.816676,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4s,5P,2.0,5,7.832615,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4s,5P,3.0,7,7.863316,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d4,1D1,2.0,5,8.153599,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2G).4s,3G,3.0,7,8.169614,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2G).4s,3G,4.0,9,8.186678,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2G).4s,3G,5.0,11,8.210865,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4s,3P,0.0,1,8.629486,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4s,3P,1.0,3,8.651852,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4s,3P,2.0,5,8.715204,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2G).4s,1G,4.0,9,8.636707,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2P).4s,3P,2.0,5,8.702576,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2P).4s,3P,1.0,3,8.721738,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2P).4s,3P,0.0,1,8.739275,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2D2).4s,3D,1.0,3,8.800555,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2D2).4s,3D,3.0,7,8.842932,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2D2).4s,3D,2.0,5,8.842958,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2H).4s,3H,4.0,9,8.886839,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2H).4s,3H,5.0,11,8.894324,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2H).4s,3H,6.0,13,8.910765,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2P).4s,1P,1.0,3,9.160144,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2D2).4s,1D,2.0,5,9.272639,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2H).4s,1H,5.0,11,9.342411,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2F).4s,3F,4.0,9,10.461058,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2F).4s,3F,3.0,7,10.474775,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2F).4s,3F,2.0,5,10.485657,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2F).4s,1F,3.0,7,10.882177,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,5G*,2.0,5,11.625528,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,5G*,3.0,7,11.658233,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,5G*,4.0,9,11.701169,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,5G*,5.0,11,11.753913,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,5G*,6.0,13,11.816449,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,5F*,1.0,3,11.920988,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,5F*,2.0,5,11.950379,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,5F*,3.0,7,12.041521,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,5F*,4.0,9,12.071078,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,5F*,5.0,11,12.103273,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,5D*,0.0,1,11.988524,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,5D*,3.0,7,11.991013,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,5D*,1.0,3,11.998494,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,5D*,2.0,5,12.016799,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,5D*,4.0,9,12.038652,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,3D*,1.0,3,12.036133,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,3D*,2.0,5,12.06448,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,3D*,3.0,7,12.111271,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,3G*,3.0,7,12.378789,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,3G*,4.0,9,12.4109,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,3G*,5.0,11,12.450866,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,3F*,2.0,5,12.577524,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,3F*,3.0,7,12.614922,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4F).4p,3F*,4.0,9,12.658881,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2D1).4s,3D,3.0,7,12.675706,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2D1).4s,3D,2.0,5,12.687736,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2D1).4s,3D,1.0,3,12.696205,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2D1).4s,1D,2.0,5,13.096065,,even,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4p,5P*,1.0,3,13.4214,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4p,5P*,2.0,5,13.4475,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4p,5P*,3.0,7,13.488965,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4p,5D*,0.0,1,13.476789,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4p,5D*,1.0,3,13.497537,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4p,5D*,2.0,5,13.585059,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4p,5D*,3.0,7,13.603892,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4p,5D*,4.0,9,13.657466,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4p,3P*,2.0,5,13.510918,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4p,3P*,0.0,1,13.571076,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(4P).4p,3P*,1.0,3,13.585025,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2G).4p,3H*,4.0,9,13.580516,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2G).4p,3H*,5.0,11,13.63144,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2G).4p,3H*,6.0,13,13.701144,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2G).4p,3G*,3.0,7,13.808875,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2G).4p,3G*,4.0,9,13.842186,,odd,,no,30.959,,,,,,,,,,
Cr III,Cr,2,3d3.(2G).4p,3G*,5.0,11,13.868497,,odd,,no,30.959,,,,,,,,,,
