spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Cs II,Cs,1,5p6,1S,0.0,1,0.0,5e-05,even,,no,23.15745,,,,,,,,,,L6838
Cs II,Cs,1,5p5.(2P*<3/2>).6s,2[3/2]*,2.0,5,13.31609635,2e-07,odd,,no,23.15745,,,,,,,,,,L6838
Cs II,Cs,1,5p5.(2P*<3/2>).6s,2[3/2]*,1.0,3,13.75658747,1.6e-07,odd,,no,23.15745,,,,,,,,,,L6838
Cs II,Cs,1,5p5.(2P*<3/2>).5d,2[1/2]*,0.0,1,13.33723576,2.1e-07,odd,,no,23.15745,,,,,,,,,,L6838
Cs II,Cs,1,5p5.(2P*<3/2>).5d,2[1/2]*,1.0,3,13.37965047,1.7e-07,odd,,no,23.15745,6.25e-09,"ASD 1/sum(Aki), J-resolved",6.25e-09,1/1,yes,13.37965047,13.37965047,,,L6838
Cs II,Cs,1,5p5.(2P*<3/2>).5d,2[7/2]*,4.0,9,13.9166736,3e-07,odd,,no,23.15745,,,,,,,,,,L6838
Cs II,Cs,1,5p5.(2P*<3/2>).5d,2[7/2]*,3.0,7,14.1001977,1.7e-07,odd,,no,23.15745,,,,,,,,,,L6838
Cs II,Cs,1,5p5.(2P*<3/2>).5d,2[3/2]*,2.0,5,13.98595084,1.5e-07,odd,,no,23.15745,,,,,,,,,,L6838
Cs II,Cs,1,5p5.(2P*<3/2>).5d,2[3/2]*,1.0,3,15.33009829,1.1e-07,odd,,no,23.15745,1.25e-08,"ASD 1/sum(Aki), J-resolved",1.25e-08,1/1,yes,15.33009829,15.33009829,,,L6838
Cs II,Cs,1,5p5.(2P*<3/2>).5d,2[5/2]*,2.0,5,14.34193821,1.4e-07,odd,,no,23.15745,,,,,,,,,,L6838
Cs II,Cs,1,5p5.(2P*<3/2>).5d,2[5/2]*,3.0,7,14.66417895,1.4e-07,odd,,no,23.15745,,,,,,,,,,L6838
Cs II,Cs,1,5p5.(2P*<1/2>).6s,2[1/2]*,0.0,1,15.17254342,1.4e-07,odd,,no,23.15745,,,,,,,,,,L6838
Cs II,Cs,1,5p5.(2P*<1/2>).6s,2[1/2]*,1.0,3,15.23461401,1.1e-07,odd,,no,23.15745,,,,,,,,,,L6838
Cs II,Cs,1,5p5.(2P*<3/2>).6p,2[1/2],1.0,3,15.68741468,1.2e-07,even,,no,23.15745,,,,,,,,,,L6838
