State,Lifetime /s,Energy /eV
Cu 2S;v=3d10.4s,,0.0
Cu 2Po;v=3d10.4p,7.18133e-09,3.78580736027613
Cu 4Po;v=3d9(2D)4s.4p(3Po),4.97512e-07,5.07626712027306
Cu 4Fo;v=3d9(2D)4s.4p(3Po),2.22222e-06,5.24473296279444
Cu 4Do;v=3d9(2D)4s.4p(3Po),2.19539e-08,5.56870859798183
Cu 2Fo;v=3d9(2D)4s.4p(3Po),2.65957e-07,5.57461010968629
Cu 2Po;v=3d9(2D)4s.4p(3Po),9.9453e-09,5.6809365054372
Cu 2Do;v=3d9(2D)4s.4p(3Po),1.28205e-07,5.77731959785413
Cu 2Po;v=3d10.5p,1.99601e-08,6.12260762510027
Cu 2D;v=3d10.4d,1.33333e-08,6.19103292572402
Cu 2S;v=3d10.6s,8.77193e-08,6.55226495307926
Cu 2D;v=3d10.5d,5.26316e-08,6.86704117296265
Cu 4D;v=3d9.4s(3D)5s,1.72712e-08,7.99336203914587
Cu 2D;v=3d9.4s2,,1.3889155724
