Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Cu 2Po;v=3d10.4p,Cu 2S;v=3d10.4s,7.2674e-09,-3.78580736027613
Cu 2Po;v=3d10.4p,Cu 2D;v=3d9.4s2,6.0606e-07,-2.3968917878761298
Cu 4Po;v=3d9(2D)4s.4p(3Po),Cu 2S;v=3d10.4s,4.9751e-07,-5.07626712027306
Cu 4Fo;v=3d9(2D)4s.4p(3Po),Cu 2D;v=3d9.4s2,2.6316e-06,-3.8558173903944395
Cu 4Fo;v=3d9(2D)4s.4p(3Po),Cu 2S;v=3d10.4s,1.4286e-05,-5.24473296279444
Cu 4Do;v=3d9(2D)4s.4p(3Po),Cu 2S;v=3d10.4s,2.2727e-08,-5.56870859798183
Cu 4Do;v=3d9(2D)4s.4p(3Po),Cu 2D;v=3d9.4s2,6.4516e-07,-4.17979302558183
Cu 2Fo;v=3d9(2D)4s.4p(3Po),Cu 2D;v=3d9.4s2,2.6596e-07,-4.18569453728629
Cu 2Po;v=3d9(2D)4s.4p(3Po),Cu 2S;v=3d10.4s,1.0101e-08,-5.6809365054372
Cu 2Po;v=3d9(2D)4s.4p(3Po),Cu 2D;v=3d9.4s2,6.4516e-07,-4.2920209330371994
Cu 2Do;v=3d9(2D)4s.4p(3Po),Cu 2D;v=3d9.4s2,1.2821e-07,-4.38840402545413
Cu 2Po;v=3d10.5p,Cu 2D;v=3d9.4s2,2.4814e-08,-4.7336920527002695
Cu 2Po;v=3d10.5p,Cu 2S;v=3d10.4s,1.0204e-07,-6.12260762510027
Cu 2D;v=3d10.4d,Cu 2Po;v=3d10.4p,1.3333e-08,-2.40522556544789
Cu 2S;v=3d10.6s,Cu 2Po;v=3d10.4p,8.7719e-08,-2.76645759280313
Cu 2D;v=3d10.5d,Cu 2Po;v=3d10.4p,5.2632e-08,-3.08123381268652
Cu 4D;v=3d9.4s(3D)5s,Cu 4Fo;v=3d9(2D)4s.4p(3Po),3.6364e-08,-2.7486290763514303
Cu 4D;v=3d9.4s(3D)5s,Cu 4Po;v=3d9(2D)4s.4p(3Po),5.1282e-08,-2.9170949188728104
Cu 4D;v=3d9.4s(3D)5s,Cu 4Do;v=3d9(2D)4s.4p(3Po),9.1743e-08,-2.4246534411640397
