spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Cu II,Cu,1,3d10,1S,0.0,1,0.0,2.1e-06,even,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d9.4s,3D,3.0,7,2.71881633,1.7e-07,even,,no,20.29239,,,,,,,,,,"L19804,L10559"
Cu II,Cu,1,3d9.4s,3D,2.0,5,2.83268156,6e-08,even,,no,20.29239,9.25925925925926,"ASD 1/sum(Aki), J-resolved",9.25925925925926,2/2,yes,2.83268156,2.83268156,,,"L19804,L10559"
Cu II,Cu,1,3d9.4s,3D,1.0,3,2.97541889,1.1e-07,even,,no,20.29239,17.857114157539748,"ASD 1/sum(Aki), J-resolved",17.857114157539748,3/3,yes,0.14273732999999966,2.97541889,,,"L19804,L10559"
Cu II,Cu,1,3d9.4s,1D,2.0,5,3.2563892,1.5e-07,even,,no,20.29239,0.5486968449931413,"ASD 1/sum(Aki), J-resolved",0.5486968449931413,4/4,yes,3.2563892,3.2563892,,,"L19804,L10559"
Cu II,Cu,1,3d9.4p,3P*,2.0,5,8.23486741,1.7e-07,odd,,no,20.29239,2.717391304347826e-09,"ASD 1/sum(Aki), J-resolved",2.717391304347826e-09,4/4,yes,5.5160510799999996,5.5160510799999996,,,"L19804,L10559"
Cu II,Cu,1,3d9.4p,3P*,1.0,3,8.4205799,1.4e-07,odd,,no,20.29239,2.3369946249123627e-09,"ASD 1/sum(Aki), J-resolved",2.3369946249123627e-09,4/4,yes,5.58789834,8.4205799,,,"L19804,L10559"
Cu II,Cu,1,3d9.4p,3P*,0.0,1,8.53634465,1.7e-07,odd,,no,20.29239,2.577319587628866e-09,"ASD 1/sum(Aki), J-resolved",2.577319587628866e-09,1/1,yes,5.56092576,5.56092576,,,L19804
Cu II,Cu,1,3d9.4p,3F*,3.0,7,8.48643755,1.6e-07,odd,,no,20.29239,2.3752969121140143e-09,"ASD 1/sum(Aki), J-resolved",2.3752969121140143e-09,3/3,yes,5.65375599,5.76762122,,,"L19804,L10559"
Cu II,Cu,1,3d9.4p,3F*,4.0,9,8.52154401,2.1e-07,odd,,no,20.29239,2.178649237472767e-09,"ASD 1/sum(Aki), J-resolved",2.178649237472767e-09,1/1,yes,5.802727679999999,5.802727679999999,,,"L19804,L10559"
Cu II,Cu,1,3d9.4p,3F*,2.0,5,8.6625261,1.4e-07,odd,,no,20.29239,2.7739251040221912e-09,"ASD 1/sum(Aki), J-resolved",2.7739251040221912e-09,4/4,yes,5.687107209999999,5.943709769999999,,,"L19804,L10559"
Cu II,Cu,1,3d8.4s2,3F,4.0,9,8.64228154,2.4e-07,even,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.4s2,3F,3.0,7,8.8687809,4e-07,even,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.4s2,3F,2.0,5,9.0166042,5e-07,even,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d9.4p,1F*,3.0,7,8.78322249,1.7e-07,odd,,no,20.29239,2.544529262086514e-09,"ASD 1/sum(Aki), J-resolved",2.544529262086514e-09,3/3,yes,5.52683329,6.06440616,,,L19804
Cu II,Cu,1,3d9.4p,1D*,2.0,5,8.86410828,9e-08,odd,,no,20.29239,2.4807740014884643e-09,"ASD 1/sum(Aki), J-resolved",2.4807740014884643e-09,4/4,yes,6.03142672,6.14529195,,,"L19804,L10559"
Cu II,Cu,1,3d9.4p,3D*,3.0,7,8.91695547,1e-07,odd,,no,20.29239,2.207505518763797e-09,"ASD 1/sum(Aki), J-resolved",2.207505518763797e-09,3/3,yes,6.198139139999999,6.198139139999999,,,L19804
Cu II,Cu,1,3d9.4p,3D*,1.0,3,9.06349793,9e-08,odd,,no,20.29239,1.8148820326678767e-09,"ASD 1/sum(Aki), J-resolved",1.8148820326678767e-09,3/3,yes,6.08807904,9.06349793,,,"L19804,L10559"
Cu II,Cu,1,3d9.4p,3D*,2.0,5,9.09464957,1e-07,odd,,no,20.29239,2.4758603614756126e-09,"ASD 1/sum(Aki), J-resolved",2.4758603614756126e-09,4/4,yes,5.8382603699999995,6.3758332399999995,,,"L19804,L10559"
Cu II,Cu,1,3d9.4p,1P*,1.0,3,9.12471804,2.2e-07,odd,,no,20.29239,1.4158289678606825e-09,"ASD 1/sum(Aki), J-resolved",1.4158289678606825e-09,4/4,yes,5.868328839999999,9.12471804,,,"L19804,L10559"
Cu II,Cu,1,3d8.4s2,1D,2.0,5,10.5868585,4e-07,even,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.4s2,3P,2.0,5,10.9554919,4e-07,even,,no,20.29239,1.111111111111111e-06,"ASD 1/sum(Aki), J-resolved",1.111111111111111e-06,2/10,no,2.7206244900000005,2.7206244900000005,,,L19804
Cu II,Cu,1,3d8.4s2,3P,1.0,3,10.9856318,5e-07,even,,no,20.29239,7.751937984496125e-07,"ASD 1/sum(Aki), J-resolved",7.751937984496125e-07,3/7,no,2.7507643900000005,2.7507643900000005,,,L19804
Cu II,Cu,1,3d8.4s2,3P,0.0,1,11.0254191,4e-07,even,,no,20.29239,7.692307692307693e-07,"ASD 1/sum(Aki), J-resolved",7.692307692307693e-07,1/3,no,2.6048392000000007,2.6048392000000007,,,L19804
Cu II,Cu,1,3d8.4s2,1G,4.0,9,11.8486267,4e-07,even,,no,20.29239,3.816793893129771e-07,"ASD 1/sum(Aki), J-resolved",3.816793893129771e-07,3/4,no,3.0654042100000005,3.3621891500000007,,,"L19804,L10559"
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),5D*,4.0,9,13.3832009,1.2e-06,odd,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),5D*,3.0,7,13.5484991,7e-07,odd,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),5D*,2.0,5,13.683358,1e-06,odd,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),5D*,1.0,3,13.777668,1.7e-05,odd,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d9.(2D<5/2>).5s,2[5/2],3.0,7,13.39213301,1.5e-07,even,,no,20.29239,2.135839384878257e-09,"ASD 1/sum(Aki), J-resolved",2.135839384878257e-09,8/8,yes,4.870589000000001,5.157265600000001,,,L19804
Cu II,Cu,1,3d9.(2D<5/2>).5s,2[5/2],2.0,5,13.43190349,1.5e-07,even,,no,20.29239,2.094240837696335e-09,"ASD 1/sum(Aki), J-resolved",2.094240837696335e-09,10/10,yes,4.94546594,5.19703608,,,L19804
Cu II,Cu,1,3d9.(2D<3/2>).5s,2[3/2],1.0,3,13.64873568,1.4e-07,even,,no,20.29239,2.2573363431151244e-09,"ASD 1/sum(Aki), J-resolved",2.2573363431151244e-09,8/8,yes,4.986209580000001,5.41386827,,,L19804
Cu II,Cu,1,3d9.(2D<3/2>).5s,2[3/2],2.0,5,13.68365916,1.4e-07,even,,no,20.29239,2.2547914317925593e-09,"ASD 1/sum(Aki), J-resolved",2.2547914317925593e-09,10/10,yes,4.9004366699999995,5.44879175,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),5G*,5.0,11,13.7165202,1.1e-06,odd,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),5G*,4.0,9,13.789362,1e-06,odd,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),5G*,3.0,7,13.8709073,1e-06,odd,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),5G*,2.0,5,13.938884,3e-06,odd,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),5F*,5.0,11,13.936026,3e-06,odd,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),5F*,4.0,9,14.0477597,7e-07,odd,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),5F*,3.0,7,14.1342547,9e-07,odd,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),5F*,2.0,5,14.1939186,7e-07,odd,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),5F*,1.0,3,14.2279248,1.4e-06,odd,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d9.(2D<5/2>).4d,2[1/2],1.0,3,14.19758413,1.5e-07,even,,no,20.29239,1.2526619065514217e-09,"ASD 1/sum(Aki), J-resolved",1.2526619065514217e-09,6/7,no,5.9627167199999995,5.9627167199999995,,,L19804
Cu II,Cu,1,3d9.(2D<5/2>).4d,2[1/2],0.0,1,14.45365331,2.2e-07,even,,no,20.29239,1.287001287001287e-09,"ASD 1/sum(Aki), J-resolved",1.287001287001287e-09,2/3,no,6.03307341,6.03307341,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),3G*,4.0,9,14.3027591,6e-07,odd,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),3G*,5.0,11,14.3258923,1.4e-06,odd,,no,20.29239,,,,,,,,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),3G*,3.0,7,14.4620079,4e-07,odd,,no,20.29239,4.761904761904762e-09,"ASD 1/sum(Aki), J-resolved",4.761904761904762e-09,1/4,no,11.74319157,11.74319157,,,L19804
Cu II,Cu,1,3d9.(2D<5/2>).4d,2[9/2],5.0,11,14.32872921,1.5e-07,even,,no,20.29239,1.2987012987012988e-09,"ASD 1/sum(Aki), J-resolved",1.2987012987012988e-09,1/1,yes,5.807185200000001,5.807185200000001,,,L19804
Cu II,Cu,1,3d9.(2D<5/2>).4d,2[9/2],4.0,9,14.34033006,1.7e-07,even,,no,20.29239,1.2755102040816327e-09,"ASD 1/sum(Aki), J-resolved",1.2755102040816327e-09,3/3,yes,5.85389251,5.85389251,,,L19804
Cu II,Cu,1,3d9.(2D<5/2>).4d,2[3/2],2.0,5,14.33738437,1.4e-07,even,,no,20.29239,1.2929919834497026e-09,"ASD 1/sum(Aki), J-resolved",1.2929919834497026e-09,8/9,no,6.102516960000001,6.102516960000001,,,L19804
Cu II,Cu,1,3d9.(2D<5/2>).4d,2[3/2],1.0,3,14.34065139,1.4e-07,even,,no,20.29239,1.2998830105290523e-09,"ASD 1/sum(Aki), J-resolved",1.2998830105290523e-09,8/8,yes,5.92007149,6.10578398,,,L19804
Cu II,Cu,1,3d9.(2D<5/2>).4d,2[5/2],3.0,7,14.39211349,1.2e-07,even,,no,20.29239,1.3574046423238767e-09,"ASD 1/sum(Aki), J-resolved",1.3574046423238767e-09,6/7,no,6.15724608,6.15724608,,,L19804
Cu II,Cu,1,3d9.(2D<5/2>).4d,2[5/2],2.0,5,14.43024652,1.2e-07,even,,no,20.29239,1.4322543683758235e-09,"ASD 1/sum(Aki), J-resolved",1.4322543683758235e-09,6/7,no,5.566138240000001,6.009666620000001,,,L19804
Cu II,Cu,1,3d9.(2D<5/2>).4d,2[7/2],3.0,7,14.4225753,1.4e-07,even,,no,20.29239,1.3717421124828533e-09,"ASD 1/sum(Aki), J-resolved",1.3717421124828533e-09,3/5,no,5.93613775,5.93613775,,,L19804
Cu II,Cu,1,3d9.(2D<5/2>).4d,2[7/2],4.0,9,14.42818752,1.4e-07,even,,no,20.29239,1.388888888888889e-09,"ASD 1/sum(Aki), J-resolved",1.388888888888889e-09,3/3,yes,5.64496503,5.90664351,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),3D*,3.0,7,14.4287114,4e-07,odd,,no,20.29239,3.4129692832764506e-09,"ASD 1/sum(Aki), J-resolved",3.4129692832764506e-09,2/5,no,11.709895069999998,11.709895069999998,,,L19804
Cu II,Cu,1,3d8.(3F).4s.4p.(3P*),3D*,2.0,5,14.5223113,4e-07,odd,,no,20.29239,1.879699248120301e-09,"ASD 1/sum(Aki), J-resolved",1.879699248120301e-09,3/5,no,11.68962974,11.80349497,,,L19804
