conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p5,2P*,0.5,2.0,0.050107,0.050107,24743.83838,0.001187,5.4477e-09,2.1791e-08,1.4458e-10
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3s,2P,1.5,4.0,12.984995,12.984995,95.48267,598000000.0,0.081735,0.32694,0.0021693
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3s,2P,0.5,2.0,13.025319,13.025319,95.18707,242000000.0,0.016436,0.065745,0.00043622
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(1D).3s,2D,2.5,6.0,15.364155,15.364155,80.69705,313000000.0,0.045836,0.18335,0.0012165
2s2.2p5,2P*,0.5,2.0,0.050107,2s2.2p4.(3P).3s,2P,1.5,4.0,12.984995,12.934888,95.85255,115000000.0,0.031681,0.063361,0.00084081
2s2.2p5,2P*,0.5,2.0,0.050107,2s2.2p4.(3P).3s,2P,0.5,2.0,13.025319,12.975212,95.55466,474000000.0,0.064885,0.12977,0.001722
2s2.2p5,2P*,0.5,2.0,0.050107,2s2.2p4.(1D).3s,2D,1.5,4.0,15.364265,15.314158,80.96051,264000000.0,0.051885,0.10377,0.001377
2s2.2p4.(3P).3s,4P,2.5,6.0,12.69669,2s2.2p4.(3P).3p,4P*,2.5,6.0,14.371989,1.675299,740.07206,35300000.0,0.28986,1.7391,0.0076928
2s2.2p4.(3P).3s,4P,2.5,6.0,12.69669,2s2.2p4.(3P).3p,4P*,1.5,4.0,14.387235,1.690545,733.3978,24200000.0,0.1301,0.78057,0.0034527
2s2.2p4.(3P).3s,4P,2.5,6.0,12.69669,2s2.2p4.(3P).3p,4D*,3.5,8.0,14.504588,1.807898,685.792,48700000.0,0.45784,2.747,0.012151
2s2.2p4.(3P).3s,4P,2.5,6.0,12.69669,2s2.2p4.(3P).3p,4D*,2.5,6.0,14.526486,1.829796,677.58481,9600000.0,0.066078,0.39647,0.0017537
2s2.2p4.(3P).3s,4P,2.5,6.0,12.69669,2s2.2p4.(3P).3p,4D*,1.5,4.0,14.544408,1.847718,671.01256,1090000.0,0.0049052,0.029431,0.00013018
2s2.2p4.(3P).3s,4P,2.5,6.0,12.69669,2s2.2p4.(3P).3p,2D*,2.5,6.0,14.583383,1.886693,657.15089,386000.0,0.0024991,0.014994,6.6325e-05
2s2.2p4.(3P).3s,4P,2.5,6.0,12.69669,2s2.2p4.(3P).3p,2D*,1.5,4.0,14.61438,1.91769,646.52889,39700.0,0.00016586,0.00099514,4.4019e-06
2s2.2p4.(3P).3s,4P,2.5,6.0,12.69669,2s2.2p4.(3P).3p,4S*,1.5,4.0,14.683178,1.986488,624.13767,29000000.0,0.11291,0.67745,0.0029966
2s2.2p4.(3P).3s,4P,2.5,6.0,12.69669,2s2.2p4.(3P).3p,2P*,1.5,4.0,14.746284,2.049594,604.92077,236000.0,0.00086313,0.0051788,2.2908e-05
2s2.2p4.(3P).3s,4P,1.5,4.0,12.730752,2s2.2p4.(3P).3p,4P*,2.5,6.0,14.371989,1.641237,755.43141,8900000.0,0.11422,0.45687,0.0030313
2s2.2p4.(3P).3s,4P,1.5,4.0,12.730752,2s2.2p4.(3P).3p,4P*,1.5,4.0,14.387235,1.656483,748.47854,6490000.0,0.054508,0.21803,0.0014467
2s2.2p4.(3P).3s,4P,1.5,4.0,12.730752,2s2.2p4.(3P).3p,4P*,0.5,2.0,14.399969,1.669217,742.76861,39300000.0,0.16253,0.65011,0.0043135
2s2.2p4.(3P).3s,4P,1.5,4.0,12.730752,2s2.2p4.(3P).3p,4D*,2.5,6.0,14.526486,1.795734,690.43744,35100000.0,0.37628,1.5051,0.0099864
