conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p4,3P,1.0,3.0,0.04228,0.04228,29324.55024,0.000897,6.9385e-09,3.4693e-08,1.8415e-10
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p4,3P,1.0,3.0,0.04228,0.04228,29324.55024,2.3e-10,1.7791e-15,8.8955e-15,4.7217e-17
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p4,3P,0.0,1.0,0.06074,0.06074,20412.28159,1.8e-09,2.2488e-15,1.1244e-14,5.9682e-17
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p4,1D,2.0,5.0,2.58797,2.58797,479.07896,3.81,1.311e-08,6.5549e-08,3.4794e-10
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p4,1D,2.0,5.0,2.58797,2.58797,479.07896,9.6e-05,3.3033e-13,1.6516e-12,8.7669e-15
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p4,1S,0.0,1.0,5.56913,5.56913,222.62759,0.0016,2.3778e-13,1.1889e-12,6.3106e-15
2s2.2p4,3P,2.0,5.0,0.0,2s.2p5,3P*,2.0,5.0,20.432333,20.432333,60.68039,7800000000.0,0.43058,2.1529,0.011428
2s2.2p4,3P,2.0,5.0,0.0,2s.2p5,3P*,1.0,3.0,20.470617,20.470617,60.56691,4300000000.0,0.14189,0.70945,0.0037657
2s2.2p4,3P,1.0,3.0,0.04228,2s2.2p4,3P,0.0,1.0,0.06074,0.01846,67163.70444,0.000178,4.0126e-09,1.2038e-08,1.0649e-10
2s2.2p4,3P,1.0,3.0,0.04228,2s2.2p4,1D,2.0,5.0,2.58797,2.54569,487.03573,0.0121,7.1716e-11,2.1515e-10,1.9033e-12
2s2.2p4,3P,1.0,3.0,0.04228,2s2.2p4,1D,2.0,5.0,2.58797,2.54569,487.03573,1.3e-05,7.705e-14,2.3115e-13,2.0449e-15
2s2.2p4,3P,1.0,3.0,0.04228,2s2.2p4,1S,0.0,1.0,5.56913,5.52685,224.33067,0.49,1.2323e-10,3.6969e-10,3.2705e-12
2s2.2p4,3P,1.0,3.0,0.04228,2s.2p5,3P*,2.0,5.0,20.432333,20.390053,60.80622,2500000000.0,0.23096,0.69289,0.0061298
2s2.2p4,3P,1.0,3.0,0.04228,2s.2p5,3P*,1.0,3.0,20.470617,20.428337,60.69226,2600000000.0,0.14358,0.43075,0.0038107
2s2.2p4,3P,1.0,3.0,0.04228,2s.2p5,3P*,0.0,1.0,20.492008,20.449728,60.62878,10000000000.0,0.18369,0.55108,0.0048752
2s2.2p4,3P,0.0,1.0,0.06074,2s2.2p4,1D,2.0,5.0,2.58797,2.52723,490.59325,4.1e-06,7.397e-14,7.397e-14,1.9632e-15
2s2.2p4,3P,0.0,1.0,0.06074,2s.2p5,3P*,1.0,3.0,20.470617,20.409877,60.74716,3300000000.0,0.5477,0.5477,0.014536
2s2.2p4,1D,2.0,5.0,2.58797,2s2.2p4,1S,0.0,1.0,5.56913,2.98116,415.89247,2.1,1.0891e-09,5.4455e-09,2.8905e-11
2s2.2p3.(4S*).3s,5S*,2.0,5.0,21.882458,2s2.2p3.(4S*).3p,5P,1.0,3.0,25.10052,3.218062,385.27598,130000000.0,0.17358,0.8679,0.0046068
2s2.2p3.(4S*).3s,5S*,2.0,5.0,21.882458,2s2.2p3.(4S*).3p,5P,2.0,5.0,25.101926,3.219468,385.10772,130000000.0,0.28905,1.4452,0.0076713
2s2.2p3.(4S*).3s,5S*,2.0,5.0,21.882458,2s2.2p3.(4S*).3p,5P,3.0,7.0,25.104353,3.221895,384.81763,130000000.0,0.40406,2.0203,0.010724
2s2.2p3.(4S*).3s,3S*,1.0,3.0,22.672296,2s2.2p3.(4S*).3p,3P,1.0,3.0,25.751403,3.079107,402.66284,120000000.0,0.29169,0.87507,0.0077415
2s2.2p3.(4S*).3s,3S*,1.0,3.0,22.672296,2s2.2p3.(4S*).3p,3P,0.0,1.0,25.751771,3.079475,402.61473,120000000.0,0.097207,0.29162,0.0025799
2s2.2p3.(4S*).3s,3S*,1.0,3.0,22.672296,2s2.2p3.(4S*).3p,3P,2.0,5.0,25.751988,3.079692,402.58636,120000000.0,0.48597,1.4579,0.012898
2s2.2p3.(4S*).3p,5P,1.0,3.0,25.10052,2s2.2p3.(4S*).3d,5D*,2.0,5.0,28.640323,3.539803,350.25734,100000000.0,0.30654,0.91961,0.0081355
2s2.2p3.(4S*).3p,5P,1.0,3.0,25.10052,2s2.2p3.(4S*).3d,5D*,1.0,3.0,28.640448,3.539928,350.24497,215000000.0,0.3954,1.1862,0.010494
2s2.2p3.(4S*).3p,5P,1.0,3.0,25.10052,2s2.2p3.(4S*).3d,5D*,0.0,1.0,28.640507,3.539987,350.23913,286000000.0,0.17532,0.52596,0.004653
2s2.2p3.(4S*).3p,5P,2.0,5.0,25.101926,2s2.2p3.(4S*).3d,5D*,3.0,7.0,28.640176,3.53825,350.41107,191000000.0,0.49224,2.4612,0.013064
2s2.2p3.(4S*).3p,5P,2.0,5.0,25.101926,2s2.2p3.(4S*).3d,5D*,2.0,5.0,28.640323,3.538397,350.39652,167000000.0,0.30739,1.537,0.0081582
2s2.2p3.(4S*).3p,5P,2.0,5.0,25.101926,2s2.2p3.(4S*).3d,5D*,1.0,3.0,28.640448,3.538522,350.38414,72000000.0,0.079512,0.39756,0.0021102
2s2.2p3.(4S*).3p,5P,3.0,7.0,25.104353,2s2.2p3.(4S*).3d,5D*,4.0,9.0,28.64006,3.535707,350.6631,286000000.0,0.67788,4.7451,0.017991
2s2.2p3.(4S*).3p,5P,3.0,7.0,25.104353,2s2.2p3.(4S*).3d,5D*,3.0,7.0,28.640176,3.535823,350.6516,95000000.0,0.17512,1.2258,0.0046477
2s2.2p3.(4S*).3p,5P,3.0,7.0,25.104353,2s2.2p3.(4S*).3d,5D*,2.0,5.0,28.640323,3.53597,350.63702,19000000.0,0.025015,0.17511,0.0006639
2s2.2p3.(4S*).3p,3P,1.0,3.0,25.751403,2s2.2p3.(4S*).3d,3D*,1.0,3.0,28.772187,3.020784,410.43715,85000000.0,0.21467,0.64401,0.0056973
2s2.2p3.(4S*).3p,3P,1.0,3.0,25.751403,2s2.2p3.(4S*).3d,3D*,2.0,5.0,28.772289,3.020886,410.42329,154000000.0,0.64818,1.9445,0.017203
2s2.2p3.(4S*).3p,3P,0.0,1.0,25.751771,2s2.2p3.(4S*).3d,3D*,1.0,3.0,28.772187,3.020416,410.48716,114000000.0,0.86394,0.86394,0.022929
2s2.2p3.(4S*).3p,3P,2.0,5.0,25.751988,2s2.2p3.(4S*).3d,3D*,1.0,3.0,28.772187,3.020199,410.51665,5700000.0,0.0086407,0.043203,0.00022932
2s2.2p3.(4S*).3p,3P,2.0,5.0,25.751988,2s2.2p3.(4S*).3d,3D*,2.0,5.0,28.772289,3.020301,410.50279,51000000.0,0.12884,0.64422,0.0034195
2s2.2p3.(4S*).3p,3P,2.0,5.0,25.751988,2s2.2p3.(4S*).3d,3D*,3.0,7.0,28.772557,3.020569,410.46637,205000000.0,0.72493,3.6247,0.01924
2s2.2p3.(2D*).3s,3D*,3.0,7.0,26.268052,2s2.2p3.(2D*).3p,3D,2.0,5.0,29.281672,3.01362,411.41285,28000000.0,0.050751,0.35526,0.0013469
2s2.2p3.(2D*).3s,3D*,3.0,7.0,26.268052,2s2.2p3.(2D*).3p,3D,3.0,7.0,29.284465,3.016413,411.03191,160000000.0,0.40526,2.8368,0.010756
2s2.2p3.(2D*).3s,3D*,3.0,7.0,26.268052,2s2.2p3.(2D*).3p,3P,2.0,5.0,29.767682,3.49963,354.27802,170000000.0,0.22849,1.5994,0.0060641
2s2.2p3.(2D*).3s,3D*,2.0,5.0,26.270663,2s2.2p3.(2D*).3p,3D,1.0,3.0,29.281339,3.010676,411.81515,45000000.0,0.068648,0.34324,0.0018219
2s2.2p3.(2D*).3s,3D*,2.0,5.0,26.270663,2s2.2p3.(2D*).3p,3D,2.0,5.0,29.281672,3.011009,411.7696,120000000.0,0.30503,1.5252,0.0080956
2s2.2p3.(2D*).3s,3D*,2.0,5.0,26.270663,2s2.2p3.(2D*).3p,3D,3.0,7.0,29.284465,3.013802,411.388,20000000.0,0.071043,0.35521,0.0018855
2s2.2p3.(2D*).3s,3D*,2.0,5.0,26.270663,2s2.2p3.(2D*).3p,3P,2.0,5.0,29.767682,3.497019,354.54254,31000000.0,0.05842,0.2921,0.0015505
2s2.2p3.(2D*).3s,3D*,2.0,5.0,26.270663,2s2.2p3.(2D*).3p,3P,1.0,3.0,29.775141,3.504478,353.78792,150000000.0,0.16888,0.84442,0.0044822
2s2.2p3.(2D*).3s,3D*,1.0,3.0,26.272284,2s2.2p3.(2D*).3p,3D,1.0,3.0,29.281339,3.009055,412.037,130000000.0,0.33088,0.99265,0.0087817
2s2.2p3.(2D*).3s,3D*,1.0,3.0,26.272284,2s2.2p3.(2D*).3p,3D,2.0,5.0,29.281672,3.009388,411.9914,27000000.0,0.11451,0.34353,0.0030391
2s2.2p3.(2D*).3s,3D*,1.0,3.0,26.272284,2s2.2p3.(2D*).3p,3P,2.0,5.0,29.767682,3.495398,354.70696,2100000.0,0.0066019,0.019806,0.00017521
2s2.2p3.(2D*).3s,3D*,1.0,3.0,26.272284,2s2.2p3.(2D*).3p,3P,1.0,3.0,29.775141,3.502857,353.95164,51000000.0,0.095789,0.28737,0.0025423
2s2.2p3.(2D*).3s,3D*,1.0,3.0,26.272284,2s2.2p3.(2D*).3p,3P,0.0,1.0,29.778428,3.506144,353.61981,210000000.0,0.13123,0.39369,0.0034828
2s2.2p3.(2D*).3s,1D*,2.0,5.0,26.665231,2s2.2p3.(2D*).3p,1F,3.0,7.0,29.548333,2.883102,430.0375,170000000.0,0.65986,3.2993,0.017513
2s2.2p3.(2D*).3s,1D*,2.0,5.0,26.665231,2s2.2p3.(2D*).3p,1D,2.0,5.0,30.535278,3.870047,320.36871,140000000.0,0.21542,1.0771,0.0057173
2s2.2p3.(4S*).3d,3D*,1.0,3.0,28.772187,2s2.2p3.(4S*).4f,3F,2.0,5.0,31.559743,2.787556,444.77743,197000000.0,0.97378,2.9213,0.025844
2s2.2p3.(4S*).3d,3D*,2.0,5.0,28.772289,2s2.2p3.(4S*).4f,3F,3.0,7.0,31.559723,2.787434,444.79689,209000000.0,0.86788,4.3394,0.023033
2s2.2p3.(4S*).3d,3D*,2.0,5.0,28.772289,2s2.2p3.(4S*).4f,3F,2.0,5.0,31.559743,2.787454,444.7937,36700000.0,0.10885,0.54427,0.002889
2s2.2p3.(4S*).3d,3D*,3.0,7.0,28.772557,2s2.2p3.(4S*).4f,3F,4.0,9.0,31.559698,2.787141,444.84365,235000000.0,0.89637,6.2746,0.02379
2s2.2p3.(4S*).3d,3D*,3.0,7.0,28.772557,2s2.2p3.(4S*).4f,3F,3.0,7.0,31.559723,2.787166,444.83966,26200000.0,0.077726,0.54408,0.0020629
2s2.2p3.(4S*).3d,3D*,3.0,7.0,28.772557,2s2.2p3.(4S*).4f,3F,2.0,5.0,31.559743,2.787186,444.83647,1030000.0,0.0021826,0.015278,5.7926e-05
2s2.2p3.(2D*).3p,3F,4.0,9.0,29.447196,2s2.2p3.(2D*).3d,3F*,3.0,7.0,32.850641,3.403445,364.2903,1180000.0,0.001826,0.016434,4.8461e-05
2s2.2p3.(2D*).3p,3F,4.0,9.0,29.447196,2s2.2p3.(2D*).3d,3F*,4.0,9.0,32.851557,3.404361,364.19228,13700000.0,0.027242,0.24518,0.00072301
2s2.2p3.(2D*).3p,3F,3.0,7.0,29.447268,2s2.2p3.(2D*).3d,3F*,2.0,5.0,32.849947,3.402679,364.3723,1630000.0,0.0023174,0.016222,6.1505e-05
2s2.2p3.(2D*).3p,3F,3.0,7.0,29.447268,2s2.2p3.(2D*).3d,3F*,3.0,7.0,32.850641,3.403373,364.298,12300000.0,0.024472,0.17131,0.0006495
2s2.2p3.(2D*).3p,3F,3.0,7.0,29.447268,2s2.2p3.(2D*).3d,3F*,4.0,9.0,32.851557,3.404289,364.19998,920000.0,0.0023522,0.016465,6.2427e-05
2s2.2p3.(2D*).3p,3F,2.0,5.0,29.447353,2s2.2p3.(2D*).3d,3F*,2.0,5.0,32.849947,3.402594,364.38141,13000000.0,0.025877,0.12939,0.00068678
2s2.2p3.(2D*).3p,3F,2.0,5.0,29.447353,2s2.2p3.(2D*).3d,3F*,3.0,7.0,32.850641,3.403288,364.3071,1160000.0,0.0032313,0.016157,8.5759e-05
