spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
F III,F,2,2s2.2p3,4S*,1.5,4,0.0,0.0,odd,,no,62.70798,,,,,,,,,,L3462
F III,F,2,2s2.2p3,2D*,2.5,6,4.2263,,odd,,no,62.70798,7645.25993883792,"ASD 1/sum(Aki), J-resolved",7645.25993883792,2/2,yes,4.2263,4.2263,,,
F III,F,2,2s2.2p3,2D*,1.5,4,4.23074,,odd,,no,62.70798,706.3369015119132,"ASD 1/sum(Aki), J-resolved",706.3369015119132,4/4,yes,4.23074,4.23074,,,
F III,F,2,2s2.2p3,2P*,0.5,2,6.3927,,odd,,no,62.70798,2.8498087521844493,"ASD 1/sum(Aki), J-resolved",2.8498087521844493,5/5,yes,2.1619599999999997,6.3927,,,
F III,F,2,2s2.2p3,2P*,1.5,4,6.3928,,odd,,no,62.70798,1.8234864164220765,"ASD 1/sum(Aki), J-resolved",1.8234864164220765,6/6,yes,6.3928,6.3928,,,
F III,F,2,2s.2p4,4P,2.5,6,18.83316,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s.2p4,4P,1.5,4,18.87503,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s.2p4,4P,0.5,2,18.89654,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s.2p4,2D,2.5,6,26.06665,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s.2p4,2D,1.5,4,26.06846,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s.2p4,2S,0.5,2,30.78049,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s.2p4,2P,1.5,4,33.049457,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s.2p4,2P,0.5,2,33.096925,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3s,4P,0.5,2,39.267012,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3s,4P,1.5,4,39.293195,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3s,4P,2.5,6,39.332743,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3s,2P,0.5,2,40.231949,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3s,2P,1.5,4,40.27958,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(1D).3s,2D,2.5,6,42.653561,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(1D).3s,2D,1.5,4,42.653984,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3p,2S*,0.5,2,42.70474,,odd,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3p,4D*,0.5,2,43.233637,,odd,,no,62.70798,6.41025641025641e-09,"ASD 1/sum(Aki), J-resolved",6.41025641025641e-09,2/2,yes,3.9666250000000005,3.9666250000000005,,,
F III,F,2,2s2.2p2.(3P).3p,4D*,1.5,4,43.247871,,odd,,no,62.70798,6.30119722747322e-09,"ASD 1/sum(Aki), J-resolved",6.30119722747322e-09,3/3,yes,3.9546760000000063,3.9808590000000024,,,
F III,F,2,2s2.2p2.(3P).3p,4D*,2.5,6,43.271384,,odd,,no,62.70798,6.369426751592357e-09,"ASD 1/sum(Aki), J-resolved",6.369426751592357e-09,2/2,yes,3.9781890000000004,3.9781890000000004,,,
F III,F,2,2s2.2p2.(3P).3p,4D*,3.5,8,43.30349,,odd,,no,62.70798,6.25e-09,"ASD 1/sum(Aki), J-resolved",6.25e-09,1/1,yes,3.970746999999996,3.970746999999996,,,
F III,F,2,2s2.2p2.(3P).3p,4P*,0.5,2,43.547757,,odd,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3p,4P*,1.5,4,43.559468,,odd,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3p,4P*,2.5,6,43.582854,,odd,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3p,2D*,1.5,4,44.136131,,odd,,no,62.70798,5.988023952095808e-09,"ASD 1/sum(Aki), J-resolved",5.988023952095808e-09,2/2,yes,3.9041819999999987,3.9041819999999987,,,
F III,F,2,2s2.2p2.(3P).3p,2D*,2.5,6,44.184474,,odd,,no,62.70798,5.88235294117647e-09,"ASD 1/sum(Aki), J-resolved",5.88235294117647e-09,1/1,yes,3.9048939999999988,3.9048939999999988,,,
F III,F,2,2s2.2p2.(3P).3p,4S*,1.5,4,44.321791,,odd,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3p,2P*,0.5,2,44.677493,,odd,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3p,2P*,1.5,4,44.688254,,odd,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(1S).3s,2S,0.5,2,46.206241,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(1D).3p,2F*,2.5,6,46.718984,,odd,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(1D).3p,2F*,3.5,8,46.727049,,odd,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(1D).3p,2D*,2.5,6,47.145056,,odd,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(1D).3p,2D*,1.5,4,47.152075,,odd,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(1D).3p,2P*,0.5,2,47.654385,,odd,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(1D).3p,2P*,1.5,4,47.671064,,odd,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3d,4F,1.5,4,48.014031,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3d,4F,2.5,6,48.027501,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3d,4F,3.5,8,48.046787,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3d,4F,4.5,10,48.072001,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3d,2P,1.5,4,48.295013,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3d,2P,0.5,2,48.321308,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3d,4D,2.5,6,48.363483,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3d,4D,1.5,4,48.363793,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3d,4D,0.5,2,48.368811,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3d,4D,3.5,8,48.379927,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3d,4P,2.5,6,48.457315,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3d,4P,1.5,4,48.474889,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3d,4P,0.5,2,48.483716,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3d,2F,2.5,6,48.509738,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s2.2p2.(3P).3d,2F,3.5,8,48.555549,,even,,no,62.70798,,,,,,,,,,
F III,F,2,2s.2p3.(5S*).3s,6S*,2.5,6,48.593323,,odd,,no,62.70798,,,,,,,,,,
