Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""1s""","=""2S""","=""1/2""",2,"=""""","=""0.0000000""","=""""","=""0.0000019""","="" 100                    ""","=""L3620c107"""
"=""2p""","=""2P*""","=""1/2""",2,"=""(""","=""827.2376711""","="")""","=""0.0000019""","="" 100                    ""","=""L19200"""
"=""2p""","=""2P*""","=""3/2""",4,"=""(""","=""827.5362432""","="")""","=""0.0000019""","="" 100                    ""","=""L19200"""
"=""2s""","=""2S""","=""1/2""",2,"=""(""","=""827.2514944""","="")""","=""0.0000019""","="" 100                    ""","=""L19200"""
"=""3p""","=""2P*""","=""1/2""",2,"=""(""","=""980.5374327""","="")""","=""0.0000025""","="" 100                    ""","=""L3620c107"""
"=""3p""","=""2P*""","=""3/2""",4,"=""(""","=""980.6259037""","="")""","=""0.0000010""","="" 100                    ""","=""L3620c107"""
"=""3s""","=""2S""","=""1/2""",2,"=""(""","=""980.5415560""","="")""","=""0.0000025""","="" 100                    ""","=""L3620c107"""
"=""3d""","=""2D""","=""3/2""",4,"=""(""","=""980.62575436""","="")""","=""0.00000005""","="" 100                    ""","=""L3620c107"""
"=""3d""","=""2D""","=""5/2""",6,"=""(""","=""980.65518664""","="")""","=""0.00000005""","="" 100                    ""","=""L3620c107"""
"=""4p""","=""2P*""","=""1/2""",2,"=""(""","=""1034.1802044""","="")""","=""0.0000009""","="" 100                    ""","=""L3620c107"""
"=""4p""","=""2P*""","=""3/2""",4,"=""(""","=""1034.2175247""","="")""","=""0.0000005""","="" 100                    ""","=""L3620c107"""
"=""4s""","=""2S""","=""1/2""",2,"=""(""","=""1034.1819500""","="")""","=""0.0000011""","="" 100                    ""","=""L3620c107"""
"=""4d""","=""2D""","=""3/2""",4,"=""(""","=""1034.2174608""","="")""","=""0.0000005""","="" 100                    ""","=""L3620c107"""
"=""4d""","=""2D""","=""5/2""",6,"=""(""","=""1034.2298787""","="")""","=""0.0000005""","="" 100                    ""","=""L3620c107"""
"=""4f""","=""2F*""","=""5/2""",6,"=""(""","=""1034.22985629""","="")""","=""0.00000012""","="" 100                    ""","=""L3620c107"""
"=""4f""","=""2F*""","=""7/2""",8,"=""(""","=""1034.23606219""","="")""","=""0.00000012""","="" 100                    ""","=""L3620c107"""
