Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p""","=""2P*""","=""1/2""",2,"=""""","=""0.00000""","=""""","=""0""","=""L3462"""
"=""2s2.2p""","=""2P*""","=""3/2""",4,"=""""","=""0.09231""","=""""","=""""","="""""
"=""2s.2p2""","=""4P""","=""1/2""",2,"=""""","=""10.63663""","=""""","=""""","="""""
"=""2s.2p2""","=""4P""","=""3/2""",4,"=""""","=""10.66803""","=""""","=""""","="""""
"=""2s.2p2""","=""4P""","=""5/2""",6,"=""""","=""10.71310""","=""""","=""""","="""""
"=""2s.2p2""","=""2D""","=""5/2""",6,"=""""","=""18.95403""","=""""","=""""","="""""
"=""2s.2p2""","=""2D""","=""3/2""",4,"=""""","=""18.95702""","=""""","=""""","="""""
"=""2s.2p2""","=""2S""","=""1/2""",2,"=""""","=""24.49511""","=""""","=""""","="""""
"=""2s.2p2""","=""2P""","=""1/2""",2,"=""""","=""26.64177""","=""""","=""""","="""""
"=""2s.2p2""","=""2P""","=""3/2""",4,"=""""","=""26.69976""","=""""","=""""","="""""
"=""2p3""","=""4S*""","=""3/2""",4,"=""""","=""34.27094""","=""""","=""""","="""""
"=""2p3""","=""2D*""","=""5/2""",6,"=""""","=""38.09133""","=""""","=""""","="""""
"=""2p3""","=""2D*""","=""3/2""",4,"=""""","=""38.09726""","=""""","=""""","="""""
"=""2p3""","=""2P*""","=""1/2""",2,"=""""","=""43.07466""","=""""","=""""","="""""
"=""2p3""","=""2P*""","=""3/2""",4,"=""""","=""43.07738""","=""""","=""""","="""""
"=""2s2.3s""","=""2S""","=""1/2""",2,"=""""","=""65.0608""","=""""","=""""","="""""
"=""2s2.3p""","=""2P*""","=""1/2""",2,"=""""","=""70.0966""","=""""","=""""","="""""
"=""2s2.3p""","=""2P*""","=""3/2""",4,"=""""","=""70.1185""","=""""","=""""","="""""
"=""2s2.3d""","=""2D""","=""3/2""",4,"=""""","=""74.6975""","=""""","=""""","="""""
"=""2s2.3d""","=""2D""","=""5/2""",6,"=""""","=""74.7025""","=""""","=""""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""",2,"=""""","=""76.98111""","=""""","=""""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""",4,"=""""","=""77.01291""","=""""","=""""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""",6,"=""""","=""77.07093""","=""""","=""""","="""""
"=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""",2,"=""""","=""79.2080""","=""""","=""""","="""""
"=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""",4,"=""""","=""79.2712""","=""""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",2,"=""""","=""81.3594""","=""""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",4,"=""""","=""81.3877""","=""""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""4D""","=""1/2""",2,"=""""","=""81.54996""","=""""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""4D""","=""3/2""",4,"=""""","=""81.56796""","=""""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""4D""","=""5/2""",6,"=""""","=""81.59967""","=""""","=""""","="""""
