spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
F VII,F,6,1s2.2s,2S,0.5,2,0.0,0.0,even,,no,185.1868,,,,,,,,,,L6335
F VII,F,6,1s2.2p,2P*,0.5,2,13.91896,6e-05,odd,,no,185.1868,2.0833333333333334e-09,"ASD 1/sum(Aki), J-resolved",2.0833333333333334e-09,1/1,yes,13.91896,13.91896,,,u57
F VII,F,6,1s2.2p,2P*,1.5,4,14.03975,0.0001,odd,,no,185.1868,2.028397565922921e-09,"ASD 1/sum(Aki), J-resolved",2.028397565922921e-09,1/1,yes,14.03975,14.03975,,,u57
F VII,F,6,1s2.3s,2S,0.5,2,105.959,0.004,even,,no,185.1868,3.460207612456747e-11,"ASD 1/sum(Aki), J-resolved",3.460207612456747e-11,2/2,yes,91.91925,92.04004,,,
F VII,F,6,1s2.3p,2P*,0.5,2,109.742,0.004,odd,,no,185.1868,1.977769866698311e-11,"ASD 1/sum(Aki), J-resolved",1.977769866698311e-11,3/3,yes,109.742,109.742,,,
F VII,F,6,1s2.3p,2P*,1.5,4,109.777,0.004,odd,,no,185.1868,1.985545230720356e-11,"ASD 1/sum(Aki), J-resolved",1.985545230720356e-11,4/4,yes,109.777,109.777,,,
F VII,F,6,1s2.3d,2D,1.5,4,111.043,0.004,even,,no,185.1868,6.191501149266443e-12,"ASD 1/sum(Aki), J-resolved",6.191501149266443e-12,5/5,yes,97.12404000000001,111.043,,,
F VII,F,6,1s2.3d,2D,2.5,6,111.053,0.004,even,,no,185.1868,6.203026419371853e-12,"ASD 1/sum(Aki), J-resolved",6.203026419371853e-12,3/3,yes,97.01325,111.053,,,
F VII,F,6,1s2.4s,2S,0.5,2,141.396,0.004,even,,no,185.1868,5.52791597567717e-11,"ASD 1/sum(Aki), J-resolved",5.52791597567717e-11,4/4,yes,127.35624999999999,127.47703999999999,,,
F VII,F,6,1s2.4p,2P*,0.5,2,142.941,0.004,odd,,no,185.1868,3.3687070026659944e-11,"ASD 1/sum(Aki), J-resolved",3.3687070026659944e-11,5/5,yes,142.941,142.941,,,
F VII,F,6,1s2.4p,2P*,1.5,4,142.955,0.004,odd,,no,185.1868,3.373693958726228e-11,"ASD 1/sum(Aki), J-resolved",3.373693958726228e-11,5/5,yes,142.955,142.955,,,
F VII,F,6,1s2.4d,2D,1.5,4,143.481,0.004,even,,no,185.1868,1.4271072165672306e-11,"ASD 1/sum(Aki), J-resolved",1.4271072165672306e-11,5/5,yes,129.56204,143.481,,,
F VII,F,6,1s2.4d,2D,2.5,6,143.485,0.004,even,,no,185.1868,1.4285342866799749e-11,"ASD 1/sum(Aki), J-resolved",1.4285342866799749e-11,3/3,yes,129.44525000000002,143.485,,,
