obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""1.3335232""","=""0.0000010""","=""""","=""1.904e+11""",AA,"=""0.0000""","=""(929.7491)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""1.3489205""","=""0.0000010""","=""""","=""3.31e+11""",AA,"=""0.0000""","=""(919.1364)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""1.3781902""","=""0.0000010""","=""""","=""6.51e+11""",AA,"=""0.0000""","=""(899.6160)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""1.4458616""","=""0.0000011""","=""""","=""1.573e+12""",AA,"=""0.0000""","=""(857.5108)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""1.6806366""","=""0.0000006""","=""""","=""5.59e+12""",AA,"=""0.0000""","=""(737.7216251)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""5.997605""","=""0.000018""","=""""","=""1.222e+10""",AA,"=""(722.82326)""","=""(929.5461)""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""5.997732""","=""0.000018""","=""""","=""1.222e+10""",AA,"=""(722.82326)""","=""(929.5417)""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""6.254660""","=""0.000023""","=""""","=""1.716e+10""",AA,"=""(731.470216)""","=""(929.6971)""","=""1s.2p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""6.258377""","=""0.000024""","=""""","=""2.284e+10""",AA,"=""(731.588968)""","=""(929.6982)""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""6.258409""","=""0.000024""","=""""","=""5.71e+09""",AA,"=""(731.588968)""","=""(929.6971)""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""6.265424""","=""0.000020""","=""""","=""1.159e+10""",AA,"=""(731.86274)""","=""(929.7491)""","=""1s.2s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""6.327015""","=""0.000020""","=""""","=""2.105e+10""",AA,"=""(722.82326)""","=""(918.7833)""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""6.327258""","=""0.000020""","=""""","=""2.105e+10""",AA,"=""(722.82326)""","=""(918.7758)""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""6.45801""","=""0.00003""","=""""","=""2.017e+10""",AA,"=""(737.7216251)""","=""(929.7068)""","=""1s.2p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""6.60984""","=""0.00006""","=""""","=""3.13e+10""",AA,"=""(731.470216)""","=""(919.0453)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""6.61395""","=""0.00007""","=""""","=""4.16e+10""",AA,"=""(731.588968)""","=""(919.0475)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""6.61403""","=""0.00006""","=""""","=""1.040e+10""",AA,"=""(731.588968)""","=""(919.0453)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""6.620482""","=""0.000022""","=""""","=""1.995e+10""",AA,"=""(731.86274)""","=""(919.1364)""","=""1s.2s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""6.83697""","=""0.00006""","=""""","=""3.71e+10""",AA,"=""(737.7216251)""","=""(919.0654)""","=""1s.2p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""7.040767""","=""0.000025""","=""""","=""4.07e+10""",AA,"=""(722.82326)""","=""(898.9180)""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""7.041357""","=""0.000025""","=""""","=""4.07e+10""",AA,"=""(722.82326)""","=""(898.9032)""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""7.38161""","=""0.00007""","=""""","=""6.77e+10""",AA,"=""(731.470216)""","=""(899.4339)""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""7.38663""","=""0.00008""","=""""","=""9.01e+10""",AA,"=""(731.588968)""","=""(899.4385)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""7.38683""","=""0.00007""","=""""","=""2.253e+10""",AA,"=""(731.588968)""","=""(899.4339)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""7.39087""","=""0.00003""","=""""","=""3.86e+10""",AA,"=""(731.86274)""","=""(899.6160)""","=""1s.2s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""7.44720""","=""0.00005""","=""""","=""1.620e+09""",AA,"=""(731.451468)""","=""(897.9357)""","=""1s.2p""","=""3P*""","=""0""","=""1s.4s""","=""3S""","=""1""",1,3,,"=""T5997LS""","=""""",
"=""""","=""7.44804""","=""0.00005""","=""""","=""4.86e+09""",AA,"=""(731.470216)""","=""(897.9357)""","=""1s.2p""","=""3P*""","=""1""","=""1s.4s""","=""3S""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""7.45336""","=""0.00005""","=""""","=""8.08e+09""",AA,"=""(731.588968)""","=""(897.9357)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4s""","=""3S""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""7.66525""","=""0.00007""","=""""","=""8.17e+10""",AA,"=""(737.7216251)""","=""(899.4700)""","=""1s.2p""","=""1P*""","=""1""","=""1s.4d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""9.32522""","=""0.00004""","=""""","=""9.14e+10""",AA,"=""(722.82326)""","=""(855.7791)""","=""1s.2s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""9.32276""","=""0.00004""","=""""","=""9.14e+10""",AA,"=""(722.82326)""","=""(855.8141)""","=""1s.2s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""9.86757""","=""0.00005""","=""""","=""8.69e+10""",AA,"=""(731.86274)""","=""(857.5108)""","=""1s.2s""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""9.87991""","=""0.00005""","=""""","=""2.75e+11""",AA,"=""(731.588968)""","=""(857.0802)""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""9.87145""","=""0.00005""","=""""","=""2.057e+11""",AA,"=""(731.470216)""","=""(857.0689)""","=""1s.2p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""9.88080""","=""0.00005""","=""""","=""6.84e+10""",AA,"=""(731.588968)""","=""(857.0689)""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""10.16539""","=""0.00009""","=""""","=""4.10e+09""",AA,"=""(731.451468)""","=""(853.4184)""","=""1s.2p""","=""3P*""","=""0""","=""1s.3s""","=""3S""","=""1""",1,3,,"=""T5997LS""","=""""",
"=""""","=""10.16696""","=""0.00009""","=""""","=""1.229e+10""",AA,"=""(731.470216)""","=""(853.4184)""","=""1s.2p""","=""3P*""","=""1""","=""1s.3s""","=""3S""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""10.17687""","=""0.00009""","=""""","=""2.043e+10""",AA,"=""(731.588968)""","=""(853.4184)""","=""1s.2p""","=""3P*""","=""2""","=""1s.3s""","=""3S""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""10.38259""","=""0.00005""","=""""","=""2.62e+11""",AA,"=""(737.7216251)""","=""(857.1371)""","=""1s.2p""","=""1P*""","=""1""","=""1s.3d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""10.49933""","=""0.00010""","=""""","=""3.33e+10""",AA,"=""(737.7216251)""","=""(855.8093)""","=""1s.2p""","=""1P*""","=""1""","=""1s.3s""","=""1S""","=""0""",3,1,,"=""T5997""","=""""",
