conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
1s2,1S,0.0,1.0,0.0,1s.2p,1P*,1.0,3.0,737.721625,737.721625,1.68064,5590000000000.0,0.71013,0.71013,0.018847
1s2,1S,0.0,1.0,0.0,1s.3p,1P*,1.0,3.0,857.5108,857.5108,1.44586,1573000000000.0,0.1479,0.1479,0.0039252
1s2,1S,0.0,1.0,0.0,1s.4p,1P*,1.0,3.0,899.616,899.616,1.37819,651000000000.0,0.055613,0.055613,0.001476
1s2,1S,0.0,1.0,0.0,1s.5p,1P*,1.0,3.0,919.1364,919.1364,1.34892,331000000000.0,0.027088,0.027088,0.00071892
1s2,1S,0.0,1.0,0.0,1s.6p,1P*,1.0,3.0,929.7491,929.7491,1.33352,190400000000.0,0.015228,0.015228,0.00040416
1s.2s,3S,1.0,3.0,722.82326,1s.2p,3P*,0.0,1.0,731.451468,8.628208,143.69635,91300000.0,0.0094211,0.028263,0.00025004
1s.2s,3S,1.0,3.0,722.82326,1s.2p,3P*,1.0,3.0,731.470216,8.646956,143.38479,91900000.0,0.028326,0.084977,0.00075177
1s.2s,3S,1.0,3.0,722.82326,1s.2p,3P*,2.0,5.0,731.588968,8.765708,141.44231,95700000.0,0.047839,0.14352,0.0012696
1s.2s,3S,1.0,3.0,722.82326,1s.3p,3P*,1.0,3.0,855.7791,132.95584,9.32522,91400000000.0,0.11916,0.35747,0.0031625
1s.2s,3S,1.0,3.0,722.82326,1s.3p,3P*,2.0,5.0,855.8141,132.99084,9.32276,91400000000.0,0.19849,0.59548,0.005268
1s.2s,3S,1.0,3.0,722.82326,1s.4p,3P*,1.0,3.0,898.9032,176.07994,7.04136,40700000000.0,0.030253,0.090759,0.00080291
1s.2s,3S,1.0,3.0,722.82326,1s.4p,3P*,2.0,5.0,898.918,176.09474,7.04077,40700000000.0,0.050413,0.15124,0.001338
1s.2s,3S,1.0,3.0,722.82326,1s.5p,3P*,1.0,3.0,918.7758,195.95254,6.32726,21050000000.0,0.012634,0.037902,0.00033531
1s.2s,3S,1.0,3.0,722.82326,1s.5p,3P*,2.0,5.0,918.7833,195.96004,6.32701,21050000000.0,0.021055,0.063165,0.0005588
1s.2s,3S,1.0,3.0,722.82326,1s.6p,3P*,1.0,3.0,929.5417,206.71844,5.99773,12220000000.0,0.0065903,0.019771,0.00017491
1s.2s,3S,1.0,3.0,722.82326,1s.6p,3P*,2.0,5.0,929.5461,206.72284,5.99761,12220000000.0,0.010983,0.03295,0.0002915
1s.2p,3P*,0.0,1.0,731.451468,1s.3s,3S,1.0,3.0,853.4184,121.966932,10.16539,4100000000.0,0.019055,0.019055,0.00050572
1s.2p,3P*,0.0,1.0,731.451468,1s.4s,3S,1.0,3.0,897.9357,166.484232,7.4472,1620000000.0,0.0040409,0.0040409,0.00010725
1s.2p,3P*,1.0,3.0,731.470216,1s.3s,3S,1.0,3.0,853.4184,121.948184,10.16696,12290000000.0,0.019046,0.057137,0.00050547
1s.2p,3P*,1.0,3.0,731.470216,1s.3d,3D,2.0,5.0,857.0689,125.598684,9.87146,205700000000.0,0.50085,1.5025,0.013292
