spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Fe I,Fe,0,3d6.4s2,a 5D,4.0,9,0.0,0.0,even,,no,7.9024681,,metastable - no allowed radiative channel,,,,,,,yes,L11631
Fe I,Fe,0,3d6.4s2,a 5D,3.0,7,0.05156912,1.2e-07,even,,no,7.9024681,398.40637450199205,"ASD 1/sum(Aki), J-resolved",398.40637450199205,1/1,yes,0.05156912,0.05156912,,yes,
Fe I,Fe,0,3d6.4s2,a 5D,2.0,5,0.08728574,1.2e-07,even,,no,7.9024681,641.025641025641,"ASD 1/sum(Aki), J-resolved",641.025641025641,1/1,yes,0.03571662,0.03571662,,yes,
Fe I,Fe,0,3d6.4s2,a 5D,1.0,3,0.11011433,1.2e-07,even,,no,7.9024681,1689.1891891891892,"ASD 1/sum(Aki), J-resolved",1689.1891891891892,1/1,yes,0.022828589999999996,0.022828589999999996,,yes,
Fe I,Fe,0,3d6.4s2,a 5D,0.0,1,0.12126572,1.2e-07,even,,no,7.9024681,8474.57627118644,"ASD 1/sum(Aki), J-resolved",8474.57627118644,1/1,yes,0.011151389999999997,0.011151389999999997,,yes,
Fe I,Fe,0,3d7.(4F).4s,a 5F,5.0,11,0.85899575,1.2e-07,even,,no,7.9024681,500.0,"ASD 1/sum(Aki), J-resolved",500.0,1/1,yes,0.85899575,0.85899575,,,
Fe I,Fe,0,3d7.(4F).4s,a 5F,4.0,9,0.91460217,1.2e-07,even,,no,7.9024681,666.6666666666666,"ASD 1/sum(Aki), J-resolved",666.6666666666666,1/1,yes,0.91460217,0.91460217,,,
Fe I,Fe,0,3d7.(4F).4s,a 5F,3.0,7,0.95815732,1.2e-07,even,,no,7.9024681,588.2352941176471,"ASD 1/sum(Aki), J-resolved",588.2352941176471,1/1,yes,0.9065882,0.9065882,,,
Fe I,Fe,0,3d7.(4F).4s,a 5F,2.0,5,0.99011115,1.2e-07,even,,no,7.9024681,370.3703703703703,"ASD 1/sum(Aki), J-resolved",370.3703703703703,2/2,yes,0.90282541,0.93854203,,,
Fe I,Fe,0,3d7.(4F).4s,a 5F,1.0,3,1.01105568,1.2e-07,even,,no,7.9024681,294.11764705882354,"ASD 1/sum(Aki), J-resolved",294.11764705882354,2/2,yes,0.9009413499999999,0.9237699399999999,,,
Fe I,Fe,0,3d7.(4F).4s,a 3F,4.0,9,1.48486439,1.2e-07,even,,no,7.9024681,,,,,,,,,,
Fe I,Fe,0,3d7.(4F).4s,a 3F,3.0,7,1.55735733,1.2e-07,even,,no,7.9024681,,,,,,,,,,
Fe I,Fe,0,3d7.(4F).4s,a 3F,2.0,5,1.60789577,1.2e-07,even,,no,7.9024681,,,,,,,,,,
Fe I,Fe,0,3d7.(4P).4s,a 5P,3.0,7,2.17594512,1.2e-07,even,,no,7.9024681,3.6982248520710055,"ASD 1/sum(Aki), J-resolved",3.6982248520710055,6/6,yes,2.17594512,2.17594512,,,
Fe I,Fe,0,3d7.(4P).4s,a 5P,2.0,5,2.1978664,1.2e-07,even,,no,7.9024681,3.497726477789436,"ASD 1/sum(Aki), J-resolved",3.497726477789436,8/8,yes,2.1978664,2.1978664,,,
Fe I,Fe,0,3d7.(4P).4s,a 5P,1.0,3,2.22271209,1.2e-07,even,,no,7.9024681,3.7078235076010375,"ASD 1/sum(Aki), J-resolved",3.7078235076010375,6/6,yes,2.17114297,2.17114297,,,
Fe I,Fe,0,3d6.4s2,a 3P2,2.0,5,2.27860466,1.2e-07,even,,no,7.9024681,2.4576062914721057,"ASD 1/sum(Aki), J-resolved",2.4576062914721057,6/6,yes,2.22703554,2.27860466,,,
Fe I,Fe,0,3d6.4s2,a 3P2,1.0,3,2.42419831,1.2e-07,even,,no,7.9024681,1.8518518518518516,"ASD 1/sum(Aki), J-resolved",1.8518518518518516,3/3,yes,2.33691257,2.33691257,,,
Fe I,Fe,0,3d6.4s2,a 3P2,0.0,1,2.48437256,2.5e-07,even,,no,7.9024681,1.7543859649122808,"ASD 1/sum(Aki), J-resolved",1.7543859649122808,1/1,yes,2.37425823,2.37425823,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 7D*,5.0,11,2.39920471,1.2e-07,odd,,no,7.9024681,0.000689655172413793,"ASD 1/sum(Aki), J-resolved",0.000689655172413793,1/3,no,2.39920471,2.39920471,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 7D*,4.0,9,2.42543332,1.2e-07,odd,,no,7.9024681,0.00019578053784829357,"ASD 1/sum(Aki), J-resolved",0.00019578053784829357,3/5,no,2.42543332,2.42543332,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 7D*,3.0,7,2.44955978,1.2e-07,odd,,no,7.9024681,0.00022326412145568208,"ASD 1/sum(Aki), J-resolved",0.00022326412145568208,4/5,no,2.39799066,2.44955978,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 7D*,2.0,5,2.46883473,1.2e-07,odd,,no,7.9024681,0.00031655587211142766,"ASD 1/sum(Aki), J-resolved",0.00031655587211142766,3/4,no,2.38154899,2.4172656100000003,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 7D*,1.0,3,2.4821184,1.2e-07,odd,,no,7.9024681,0.00044444444444444447,"ASD 1/sum(Aki), J-resolved",0.00044444444444444447,2/2,yes,2.37200407,2.37200407,,,
Fe I,Fe,0,3d6.4s2,a 3H,6.0,13,2.40407444,1.2e-07,even,,no,7.9024681,1.75439,LiDB (J-lumped),,,,,,1.75439,,
Fe I,Fe,0,3d6.4s2,a 3H,5.0,11,2.4326947,1.2e-07,even,,no,7.9024681,1.75439,LiDB (J-lumped),,,,,,1.75439,,
Fe I,Fe,0,3d6.4s2,a 3H,4.0,9,2.45343044,1.2e-07,even,,no,7.9024681,103.09278350515464,"ASD 1/sum(Aki), J-resolved",103.09278350515464,2/2,yes,2.45343044,2.45343044,1.75439,,
Fe I,Fe,0,3d6.4s2,b 3F2,4.0,9,2.55917148,1.2e-07,even,,no,7.9024681,2.0120724346076457,"ASD 1/sum(Aki), J-resolved",2.0120724346076457,2/2,yes,2.55917148,2.55917148,,,
Fe I,Fe,0,3d6.4s2,b 3F2,3.0,7,2.58810592,1.2e-07,even,,no,7.9024681,2.8735632183908044,"ASD 1/sum(Aki), J-resolved",2.8735632183908044,3/3,yes,2.5365368,2.58810592,,,
Fe I,Fe,0,3d6.4s2,b 3F2,2.0,5,2.60850194,1.2e-07,even,,no,7.9024681,6.17283950617284,"ASD 1/sum(Aki), J-resolved",6.17283950617284,3/3,yes,2.5212162,2.55693282,,,
Fe I,Fe,0,3d7.(2G).4s,a 3G,5.0,11,2.69240763,1.2e-07,even,,no,7.9024681,5.988023952095808,"ASD 1/sum(Aki), J-resolved",5.988023952095808,3/3,yes,1.8334118799999999,1.8334118799999999,,,
Fe I,Fe,0,3d7.(2G).4s,a 3G,4.0,9,2.7275445,1.2e-07,even,,no,7.9024681,8.403361344537815,"ASD 1/sum(Aki), J-resolved",8.403361344537815,3/3,yes,1.81294233,1.81294233,,,
Fe I,Fe,0,3d7.(2G).4s,a 3G,3.0,7,2.75857762,1.2e-07,even,,no,7.9024681,16.129032258064516,"ASD 1/sum(Aki), J-resolved",16.129032258064516,3/3,yes,1.8004203,1.8004203,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 7F*,6.0,13,2.80829367,1.2e-07,odd,,no,7.9024681,0.0023148148148148147,"ASD 1/sum(Aki), J-resolved",0.0023148148148148147,1/1,yes,1.9492979199999998,1.9492979199999998,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 7F*,5.0,11,2.83252676,1.2e-07,odd,,no,7.9024681,7.8662114752293e-06,"ASD 1/sum(Aki), J-resolved",7.8662114752293e-06,3/3,yes,1.91792459,2.83252676,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 7F*,4.0,9,2.85122419,1.2e-07,odd,,no,7.9024681,2.8496523424142255e-05,"ASD 1/sum(Aki), J-resolved",2.8496523424142255e-05,3/4,no,2.79965507,2.85122419,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 7F*,3.0,7,2.86539125,1.2e-07,odd,,no,7.9024681,3.303942561619355e-05,"ASD 1/sum(Aki), J-resolved",3.303942561619355e-05,4/6,no,2.77810551,2.86539125,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 7F*,2.0,5,2.87550352,1.2e-07,odd,,no,7.9024681,4.2925087137926886e-05,"ASD 1/sum(Aki), J-resolved",4.2925087137926886e-05,5/6,no,2.76538919,2.8239344,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 7F*,1.0,3,2.88199261,1.2e-07,odd,,no,7.9024681,5.894141223623718e-05,"ASD 1/sum(Aki), J-resolved",5.894141223623718e-05,4/5,no,2.7607268900000004,2.79470687,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 7F*,0.0,1,2.88515991,2.5e-07,odd,,no,7.9024681,,,,,,,,,,
Fe I,Fe,0,3d7.(4P).4s,b 3P,2.0,5,2.83159117,1.2e-07,even,,no,7.9024681,21.73913043478261,"ASD 1/sum(Aki), J-resolved",21.73913043478261,3/3,yes,2.78002205,2.78002205,,,
Fe I,Fe,0,3d7.(4P).4s,b 3P,1.0,3,2.84504259,1.2e-07,even,,no,7.9024681,20.833333333333332,"ASD 1/sum(Aki), J-resolved",20.833333333333332,2/2,yes,2.75775685,2.75775685,,,
Fe I,Fe,0,3d7.(4P).4s,b 3P,0.0,1,2.85805275,1.2e-07,even,,no,7.9024681,10.0,"ASD 1/sum(Aki), J-resolved",10.0,1/1,yes,2.74793842,2.74793842,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 7P*,4.0,9,2.93984587,1.2e-07,odd,,no,7.9024681,4.487081691809281e-05,"ASD 1/sum(Aki), J-resolved",4.487081691809281e-05,4/4,yes,2.93984587,2.93984587,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 7P*,3.0,7,2.99804479,1.2e-07,odd,,no,7.9024681,0.00010133765707336846,"ASD 1/sum(Aki), J-resolved",0.00010133765707336846,5/6,no,2.94647567,2.99804479,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 7P*,2.0,5,3.03847046,1.2e-07,odd,,no,7.9024681,0.0011389521640091116,"ASD 1/sum(Aki), J-resolved",0.0011389521640091116,1/8,no,2.92835613,2.98690134,,,
Fe I,Fe,0,3d6.4s2,b 3G,5.0,11,2.94879294,1.2e-07,even,,no,7.9024681,,metastable - no allowed radiative channel,,,,,,,yes,
Fe I,Fe,0,3d6.4s2,b 3G,4.0,9,2.99035244,1.2e-07,even,,no,7.9024681,,metastable - no allowed radiative channel,,,,,,,yes,
Fe I,Fe,0,3d6.4s2,b 3G,3.0,7,3.01762252,1.2e-07,even,,no,7.9024681,,metastable - no allowed radiative channel,,,,,,,yes,
Fe I,Fe,0,3d7.(2P).4s,c 3P,2.0,5,3.01725044,1.2e-07,even,,no,7.9024681,,,,,,,,,,
Fe I,Fe,0,3d7.(2P).4s,c 3P,1.0,3,3.0713388,1.2e-07,even,,no,7.9024681,62.5,"ASD 1/sum(Aki), J-resolved",62.5,1/1,yes,2.98405306,2.98405306,,,
Fe I,Fe,0,3d7.(2P).4s,c 3P,0.0,1,3.11096179,2.5e-07,even,,no,7.9024681,50.0,"ASD 1/sum(Aki), J-resolved",50.0,1/1,yes,0.8882497000000003,0.8882497000000003,,,
Fe I,Fe,0,3d7.(2G).4s,a 1G,4.0,9,3.0468689,1.2e-07,even,,no,7.9024681,9.523809523809524,"ASD 1/sum(Aki), J-resolved",9.523809523809524,2/2,yes,1.5620045100000002,1.5620045100000002,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 5D*,4.0,9,3.21118938,1.2e-07,odd,,no,7.9024681,8.006405124099279e-08,"ASD 1/sum(Aki), J-resolved",8.006405124099279e-08,6/7,no,3.21118938,3.21118938,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 5D*,3.0,7,3.24096914,1.2e-07,odd,,no,7.9024681,8.384267759975183e-08,"ASD 1/sum(Aki), J-resolved",8.384267759975183e-08,9/9,yes,3.18940002,3.24096914,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 5D*,2.0,5,3.2657061,1.2e-07,odd,,no,7.9024681,8.573829243616785e-08,"ASD 1/sum(Aki), J-resolved",8.573829243616785e-08,10/11,no,3.21413698,3.21413698,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 5D*,1.0,3,3.28302483,1.2e-07,odd,,no,7.9024681,8.718395815170008e-08,"ASD 1/sum(Aki), J-resolved",8.718395815170008e-08,7/10,no,3.19573909,3.19573909,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 5D*,0.0,1,3.29183986,1.2e-07,odd,,no,7.9024681,8.875477056891809e-08,"ASD 1/sum(Aki), J-resolved",8.875477056891809e-08,3/3,yes,3.18172553,3.18172553,,,
Fe I,Fe,0,3d7.(2H).4s,b 3H,6.0,13,3.23672008,1.2e-07,even,,no,7.9024681,,,,,,,,,,
Fe I,Fe,0,3d7.(2H).4s,b 3H,5.0,11,3.26711257,1.2e-07,even,,no,7.9024681,,,,,,,,,,
Fe I,Fe,0,3d7.(2H).4s,b 3H,4.0,9,3.30140276,1.2e-07,even,,no,7.9024681,,,,,,,,,,
Fe I,Fe,0,3d7.(2D2).4s,a 3D,3.0,7,3.25148176,1.2e-07,even,,no,7.9024681,2.9673590504451037,"ASD 1/sum(Aki), J-resolved",2.9673590504451037,7/7,yes,2.3368795899999997,3.25148176,,,
Fe I,Fe,0,3d7.(2D2).4s,a 3D,1.0,3,3.2739844,1.2e-07,even,,no,7.9024681,3.236245954692556,"ASD 1/sum(Aki), J-resolved",3.236245954692556,7/7,yes,2.2838732499999996,3.1638700699999998,,,
Fe I,Fe,0,3d7.(2D2).4s,a 3D,2.0,5,3.30092244,1.2e-07,even,,no,7.9024681,3.0395136778115495,"ASD 1/sum(Aki), J-resolved",3.0395136778115495,7/7,yes,2.34276512,3.2136367,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 5F*,5.0,11,3.33201954,1.2e-07,odd,,no,7.9024681,6.147641764619092e-08,"ASD 1/sum(Aki), J-resolved",6.147641764619092e-08,3/5,no,3.33201954,3.33201954,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 5F*,4.0,9,3.3682564,1.2e-07,odd,,no,7.9024681,6.424770626051494e-08,"ASD 1/sum(Aki), J-resolved",6.424770626051494e-08,6/10,no,3.31668728,3.3682564,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 5F*,3.0,7,3.3965088,1.2e-07,odd,,no,7.9024681,6.729141360889437e-08,"ASD 1/sum(Aki), J-resolved",6.729141360889437e-08,7/11,no,3.30922306,3.3965088,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 5F*,2.0,5,3.41695281,1.2e-07,odd,,no,7.9024681,6.899597063531489e-08,"ASD 1/sum(Aki), J-resolved",6.899597063531489e-08,6/11,no,3.30683848,3.3653836900000003,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 5F*,1.0,3,3.43018998,1.2e-07,odd,,no,7.9024681,6.869405727710496e-08,"ASD 1/sum(Aki), J-resolved",6.869405727710496e-08,5/8,no,3.3089242600000004,3.34290424,,,
Fe I,Fe,0,3d7.(2P).4s,a 1P,1.0,3,3.41489715,1.2e-07,even,,no,7.9024681,29.41176470588235,"ASD 1/sum(Aki), J-resolved",29.41176470588235,2/2,yes,2.4247859999999997,2.4247859999999997,,,
Fe I,Fe,0,3d7.(2D2).4s,a 1D,2.0,5,3.54652001,1.2e-07,even,,no,7.9024681,3.8022813688212924,"ASD 1/sum(Aki), J-resolved",3.8022813688212924,2/2,yes,1.98916268,1.98916268,,,
Fe I,Fe,0,3d7.(2H).4s,a 1H,5.0,11,3.5732189,1.2e-07,even,,no,7.9024681,20.833333333333332,"ASD 1/sum(Aki), J-resolved",20.833333333333332,2/2,yes,0.8808112700000001,0.8808112700000001,,,
Fe I,Fe,0,3d6.(5D).4s.4p.(3P*),z 5P*,3.0,7,3.60252504,1.2e-07,odd,,no,7.9024681,3.9193154053395185e-08,"ASD 1/sum(Aki), J-resolved",3.9193154053395185e-08,6/11,no,3.60252504,3.60252504,,,
