State,Lifetime /s,Energy /eV
Fe a5D;v=3d6.4s2,,0.0
Fe a5F;v=3d7(4F)4s,294.118,1.01103185948451
Fe a5P;v=3d7(4P)4s,3.70782,2.2226630447585
Fe a3P{2};v=3d6.4s2,103.093,2.45337991725485
Fe z7Do;v=3d6(5D)4s.4p(3Po),0.000422119,2.48205680081034
Fe a3H;v=3d6.4s2,1.75439,2.48431326116793
Fe b3F{2};v=3d6.4s2,6.17284,2.60844337710288
Fe a3G;v=3d7(2G)4s,16.129,2.75851038901625
Fe z7Fo;v=3d6(5D)4s.4p(3Po),8.84956,2.8579930148914
Fe b3P;v=3d7(4P)4s,5.89414e-05,2.88192141318889
Fe z7Po;v=3d6(5D)4s.4p(3Po),0.000561104,3.03839826029386
Fe a1G;v=3d7(2G)4s,9.52381,3.04680419503256
Fe c3P;v=3d7(2P)4s,27.7778,3.1108901488148
Fe z5Do;v=3d6(5D)4s.4p(3Po),2.99401,3.27391321058354
Fe a3D;v=3d7(2D{2})4s,8.8739e-08,3.29176652330291
Fe z5Fo;v=3d6(5D)4s.4p(3Po),29.4118,3.4148180015944
Fe a1P;v=3d7(2P)4s,6.86925e-08,3.43010490061036
Fe a1D;v=3d7(2D{2})4s,3.80228,3.54643659036442
Fe a1H;v=3d7(2H)4s,20.8333,3.57314217064048
Fe z5Po;v=3d6(5D)4s.4p(3Po),7.63359,3.63426497043665
Fe a1I;v=3d6.4s2,4.56621,3.63513283980495
Fe b3D;v=3d6.4s2,3.73459e-08,3.68629993813331
Fe b1G{2};v=3d6.4s2,3.5461,3.69450750273069
Fe z3Fo;v=3d6(5D)4s.4p(3Po),2.34577e-07,3.95962919661333
Fe z3Do;v=3d6(5D)4s.4p(3Po),1.18723e-06,3.98401632586263
Fe y5Do;v=3d7(4F)4p,5.95405e-09,4.23044163392526
Fe y5Fo;v=3d7(4F)4p,1.21712e-07,4.28424953476003
Fe z3Po;v=3d6(5D)4s.4p(3Po),8.039e-09,4.30117298744193
Fe z5Go;v=3d7(4F)4p,1.00336e-08,4.44552445965833
Fe z3Go;v=3d7(4F)4p,1.16659e-08,4.47317229810569
Fe y3Fo;v=3d7(4F)4p,6.18406e-09,4.63809227435087
Fe y5Po;v=3d6(5D)4s.4p(1Po),9.99553e-09,4.65192859170838
Fe y3Do;v=3d7(4F)4p,7.0659e-09,4.83473907507442
Fe x5Do;v=3d6(5D)4s.4p(1Po),4.36662e-07,4.9657005627513
Fe y7Po;v=3d5(6S)4s2.4p,2.59008e-09,5.02016556467921
Fe x5Fo;v=3d6(5D)4s.4p(1Po),3.68387e-08,5.0702168309626
Fe z5So;v=3d6(3P{2})4s.4p(3Po),1.99466e-09,5.09942683427291
Fe 3P;v=3d8,1.19048e-06,5.10535314224503
Fe x5Po;v=3d6(3P{2})4s.4p(3Po),9.17684e-08,5.34099207387304
Fe y5Go;v=3d6(3H)4s.4p(3Po),2.06156e-08,5.35723362919413
Fe e7D;v=3d6(5D)4s(6D)5s,3.90778e-07,5.37161546444029
Fe z5Ho;v=3d6(3H)4s.4p(3Po),8.39585e-09,5.42591929062838
Fe w5Do;v=3d6(3P{2})4s.4p(3Po),4.16441e-08,5.50208102676385
Fe v5Do;v=3d6(3F{2})4s.4p(3Po),1.10977e-08,5.51207392263317
Fe w5Fo;v=3d6(3F{2})4s.4p(3Po),1.36066e-08,5.51863253543077
Fe y5So;v=3d7(4P)4p,1.566e-08,5.55769905513822
Fe e5D;v=3d6(5D)4s(6D)5s,1.86958e-08,5.64757312729288
Fe x3Do;v=3d6(3P{2})4s.4p(3Po),6.71727e-08,5.64896171828216
Fe y3Go;v=3d6(3H)4s.4p(3Po),1.66711e-08,5.65294151924252
Fe x5Go;v=3d6(3F{2})4s.4p(3Po),2.64368e-08,5.6988022162904
Fe z3Io;v=3d6(3H)4s.4p(3Po),2.10376e-07,5.71997822887699
Fe w5Po;v=3d7(4P)4p,4.38443e-09,5.75402350438212
Fe z3So;v=3d6(3P{2})4s.4p(3Po),3.48432e-08,5.77762955119995
Fe y3Po;v=3d6(3P{2})4s.4p(3Po),1.08065e-08,5.78651901315814
Fe u5Do;v=3d7(4P)4p,3.65057e-08,5.84032691399291
Fe x3Fo;v=3d6(3F{2})4s.4p(3Po),7.80348e-09,5.84838570098429
Fe z3Ho;v=3d6(3H)4s.4p(3Po),1.85946e-08,5.85154722511168
Fe e5F;v=3d7(4F)5s,1.13507e-08,5.86084582548635
Fe w3Do;v=3d7(4P)4p,9.38086e-08,5.87915786915753
Fe w5Go;v=3d6(3G)4s.4p(3Po),5.78035e-08,5.88324925332239
Fe 1Do;v=3d6(3P{2})4s.4p(3Po),1.59744e-08,5.89600693303644
Fe z1Go;v=3d7(2G)4p,3.36146e-08,5.9301761898799
Fe y3So;v=3d7(4P)4p,9.22169e-08,5.93054813389489
Fe v5Fo;v=3d6(3G)4s.4p(3Po),2.42066e-08,5.97854130996202
Fe x3Go;v=3d6(3F{2})4s.4p(3Po),9.8912e-09,5.98704642977139
Fe e3F;v=3d7(4F)5s,7.94868e-09,5.99457209700796
Fe v5Po;v=3d5(6S)4s2.4p,1.71365e-08,5.99853949983448
Fe y5Ho;v=3d6(3G)4s.4p(3Po),8.55739e-09,6.00814805355498
Fe x3Po;v=3d7(4P)4p,1.20935e-07,6.01008216243291
Fe z1Ho;v=3d7(2G)4p,2.11073e-08,6.03820112996592
Fe y1Go;v=3d6(3H)4s.4p(3Po),1.98413e-07,6.06620851429443
Fe w3Fo;v=3d7(2G)4p,1.3045e-08,6.11198242440548
Fe v3Do;v=3d6(3F{2})4s.4p(3Po),1.23112e-08,6.12878189574905
Fe y3Ho;v=3d7(2G)4p,4.33388e-08,6.13423707463553
Fe v3Go;v=3d7(2G)4p,1.1121e-08,6.16522001108393
Fe 1Fo;v=3d6(3F{2})4s.4p(3Po),1.12717e-08,6.18054410450139
Fe w3Po;v=3d7(2P)4p,1.15969e-08,6.19302902527112
Fe e7F;v=3d6(5D)4s(6D)4d,2.2242e-08,6.271831563913
Fe f7D;v=3d6(5D)4s(6D)4d,3.57334e-08,6.27519145818172
Fe f5D;v=3d6(5D)4s(6D)4d,4.40812e-09,6.30585204315047
Fe e7P;v=3d6(5D)4s(6D)4d,1.05352e-08,6.32069260934844
Fe e5G;v=3d6(5D)4s(6D)4d,6.62954e-09,6.32901175715031
Fe z1Fo;v=3d7(2G)4p,3.24002e-08,6.34800569818231
Fe x1Go;v=3d6(3F{2})4s.4p(3Po),5.47885e-09,6.34883637314911
Fe e7G;v=3d6(5D)4s(6D)4d,9.52844e-09,6.36893374809224
Fe x3Ho;v=3d6(3G)4s.4p(3Po),1.94175e-07,6.37376902028707
Fe t5Do;v=3d6(5D)4s(6D)5p,5.15299e-09,6.39332087734154
Fe f5F;v=3d6(5D)4s(6D)4d,7.19321e-09,6.39373001575803
Fe v3Fo;v=3d7(2D{2})4p,4.54545e-08,6.39980510133615
Fe e3D;v=3d6(5D)4s(4D)5s,4.02188e-08,6.40115649792393
Fe g5D;v=3d6(5D)4s(4D)5s,4.54401e-08,6.4011812941916
Fe u3Go;v=3d7(2H)4p,9.38703e-09,6.41086423671509
Fe e7S;v=3d6(5D)4s(6D)4d,2.30134e-08,6.41659217454589
Fe u5Fo;v=3d6(5D)4s(6D)5p,4.5045e-07,6.41753443271719
Fe 1Ho;v=3d6(3H)4s.4p(3Po),1.50582e-08,6.42543204396874
Fe u5Po;v=3d6(5D)4s(6D)5p,3.84615e-08,6.44018582322989
Fe y1Do;v=3d7(2P)4p,1.5748e-08,6.44947202547073
Fe x1Do;v=3d6(3H)4s.4p(3Po),1.66725e-08,6.45197644850497
Fe e5P;v=3d6(5D)4s(6D)4d,8.38926e-09,6.46944541907552
