Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3d6""","=""5D""","=""4""",9,"=""""","=""0.000000""","=""""","=""0""","="" 100                                                        ""","=""L11223"""
"=""3d6""","=""5D""","=""3""",7,"=""""","=""0.054081""","=""""","=""0.000005""","="" 100                                                        ""","=""L11223"""
"=""3d6""","=""5D""","=""2""",5,"=""""","=""0.091608""","=""""","=""0.000017""","="" 100                                                        ""","=""L11223"""
"=""3d6""","=""5D""","=""1""",3,"=""""","=""0.115618""","=""""","=""0.000020""","="" 100                                                        ""","=""L11223"""
"=""3d6""","=""5D""","=""0""",1,"=""""","=""0.12736""","=""""","=""0.00003""","="" 100                                                        ""","=""L11223"""
"=""3d6""","=""a 3P""","=""2""",5,"=""""","=""2.405841""","=""""","=""0.000017""","=""  61                           :    39  3d6            b 3P ""","=""L11223"""
"=""3d6""","=""a 3P""","=""1""",3,"=""""","=""2.565000""","=""""","=""0.000020""","=""  62                           :    38  3d6            b 3P ""","=""L11223"""
"=""3d6""","=""a 3P""","=""0""",1,"=""""","=""2.62947""","=""""","=""0.00003""","=""  62                           :    38  3d6            b 3P ""","=""L11223"""
"=""3d6""","=""3H""","=""6""",13,"=""""","=""2.486052""","=""""","=""0.000017""","="" 100                                                        ""","=""L11223"""
"=""3d6""","=""3H""","=""5""",11,"=""""","=""2.516952""","=""""","=""0.000016""","=""  99                                                        ""","=""L11223"""
"=""3d6""","=""3H""","=""4""",9,"=""""","=""2.539410""","=""""","=""0.000016""","=""  97                                                        ""","=""L11223"""
"=""3d6""","=""a 3F""","=""4""",9,"=""""","=""2.660939""","=""""","=""0.000015""","=""  75                           :    21  3d6            b 3F ""","=""L11223"""
"=""3d6""","=""a 3F""","=""3""",7,"=""""","=""2.690431""","=""""","=""0.000014""","=""  77                           :    21  3d6            b 3F ""","=""L11223"""
"=""3d6""","=""a 3F""","=""2""",5,"=""""","=""2.709933""","=""""","=""0.000016""","=""  80                           :    20  3d6            b 3F ""","=""L11223"""
"=""3d6""","=""3G""","=""5""",11,"=""""","=""3.044858""","=""""","=""0.000017""","=""  99                                                        ""","=""L11223"""
"=""3d6""","=""3G""","=""4""",9,"=""""","=""3.092305""","=""""","=""0.000015""","=""  96                                                        ""","=""L11223"""
"=""3d6""","=""3G""","=""3""",7,"=""""","=""3.117226""","=""""","=""0.000015""","=""  98                                                        ""","=""L11223"""
"=""3d5.(6S).4s""","=""7S""","=""3""",7,"=""""","=""3.730646""","=""""","=""0.000016""","="" 100                                                        ""","=""L11223"""
"=""3d6""","=""1I""","=""6""",13,"=""""","=""3.763649""","=""""","=""0.000021""","="" 100                                                        ""","=""L11223"""
"=""3d6""","=""3D""","=""2""",5,"=""""","=""3.808296""","=""""","=""0.000014""","=""  99                                                        ""","=""L11223"""
"=""3d6""","=""3D""","=""1""",3,"=""""","=""3.809472""","=""""","=""0.000016""","="" 100                                                        ""","=""L11223"""
"=""3d6""","=""3D""","=""3""",7,"=""""","=""3.825866""","=""""","=""0.000014""","="" 100                                                        ""","=""L11223"""
"=""3d6""","=""a 1G""","=""4""",9,"=""""","=""3.829400""","=""""","=""0.000017""","=""  65                           :    34  3d6            b 1G ""","=""L11223"""
"=""3d6""","=""a 1S""","=""0""",1,"=""""","=""4.31613""","=""""","=""0.00005""","=""  76                           :    23  3d6            b 1S ""","=""L11223"""
"=""3d6""","=""a 1D""","=""2""",5,"=""""","=""4.439007""","=""""","=""0.000020""","=""  77                           :    22  3d6            b 1D ""","=""L11223"""
"=""3d5.(6S).4s""","=""5S""","=""2""",5,"=""""","=""5.083391""","=""""","=""0.000012""","="" 100                                                        ""","=""L11223"""
"=""3d6""","=""1F""","=""3""",7,"=""""","=""5.318460""","=""""","=""0.000015""","=""  99                                                        ""","=""L11223"""
"=""3d6""","=""b 3P""","=""0""",1,"=""""","=""6.093771""","=""""","=""0.000021""","=""  62                           :    38  3d6            a 3P ""","=""L11223"""
"=""3d6""","=""b 3P""","=""1""",3,"=""""","=""6.146798""","=""""","=""0.000014""","=""  62                           :    38  3d6            a 3P ""","=""L11223"""
"=""3d6""","=""b 3P""","=""2""",5,"=""""","=""6.250285""","=""""","=""0.000014""","=""  61                           :    39  3d6            a 3P ""","=""L11223"""
"=""3d6""","=""b 3F""","=""2""",5,"=""""","=""6.222143""","=""""","=""0.000014""","=""  80                           :    20  3d6            a 3F ""","=""L11223"""
"=""3d6""","=""b 3F""","=""4""",9,"=""""","=""6.233453""","=""""","=""0.000012""","=""  78                           :    22  3d6            a 3F ""","=""L11223"""
"=""3d6""","=""b 3F""","=""3""",7,"=""""","=""6.235798""","=""""","=""0.000012""","=""  79                           :    21  3d6            a 3F ""","=""L11223"""
"=""3d6""","=""b 1G""","=""4""",9,"=""""","=""7.094525""","=""""","=""0.000015""","=""  65                           :    35  3d6            a 1G ""","=""L11223"""
"=""3d5.(4G).4s""","=""5G""","=""6""",13,"=""""","=""7.863790""","=""""","=""0.000012""","="" 100                                                        ""","=""L11223"""
"=""3d5.(4G).4s""","=""5G""","=""5""",11,"=""""","=""7.868887""","=""""","=""0.000011""","="" 100                                                        ""","=""L11223"""
"=""3d5.(4G).4s""","=""5G""","=""4""",9,"=""""","=""7.871424""","=""""","=""0.000011""","="" 100                                                        ""","=""L11223"""
"=""3d5.(4G).4s""","=""5G""","=""3""",7,"=""""","=""7.872343""","=""""","=""0.000012""","="" 100                                                        ""","=""L11223"""
"=""3d5.(4G).4s""","=""5G""","=""2""",5,"=""""","=""7.872377""","=""""","=""0.000015""","="" 100                                                        ""","=""L11223"""
"=""3d5.(4P).4s""","=""5P""","=""3""",7,"=""""","=""8.240615""","=""""","=""0.000011""","=""  95                                                        ""","=""L11223"""
"=""3d5.(4P).4s""","=""5P""","=""2""",5,"=""""","=""8.247838""","=""""","=""0.000011""","=""  96                                                        ""","=""L11223"""
"=""3d5.(4P).4s""","=""5P""","=""1""",3,"=""""","=""8.256366""","=""""","=""0.000011""","=""  98                                                        ""","=""L11223"""
"=""3d5.(4D).4s""","=""5D""","=""4""",9,"=""""","=""8.641223""","=""""","=""0.000011""","="" 100                                                        ""","=""L11223"""
