conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3d6,5D,4.0,9.0,0.0,3d6,5D,3.0,7.0,0.054081,0.054081,22925.64827,0.002884,1.7675e-08,1.5907e-07,4.6909e-10
3d6,5D,4.0,9.0,0.0,3d6,3H,4.0,9.0,2.53941,2.53941,488.24018,0.0062,2.2157e-11,1.9942e-10,5.8806e-13
3d6,5D,4.0,9.0,0.0,3d6,a 3F,4.0,9.0,2.660939,2.660939,465.94153,0.43,1.3996e-09,1.2596e-08,3.7144e-11
3d6,5D,4.0,9.0,0.0,3d6,a 3F,3.0,7.0,2.690431,2.690431,460.83396,0.041,1.0153e-10,9.1376e-10,2.6946e-12
3d6,5D,4.0,9.0,0.0,3d6,3G,4.0,9.0,3.092305,3.092305,400.94427,0.0074,1.7834e-11,1.6051e-10,4.7333e-13
3d6,5D,4.0,9.0,0.0,3d6,3D,3.0,7.0,3.825866,3.825866,324.06832,0.2,2.4492e-10,2.2042e-09,6.5001e-12
3d6,5D,4.0,9.0,0.0,3d6,a 1G,4.0,9.0,3.8294,3.8294,323.76925,0.0006,9.4294e-13,8.4864e-12,2.5026e-14
3d6,5D,4.0,9.0,0.0,3d5.(6S).4s,5S,2.0,5.0,5.083391,5.083391,243.90057,22.4,1.1098e-08,9.9886e-08,2.9455e-10
3d6,5D,4.0,9.0,0.0,3d5.(4G).4s,5G,6.0,13.0,7.86379,7.86379,157.66469,91.0,4.8986e-08,4.4087e-07,1.3001e-09
3d6,5D,4.0,9.0,0.0,3d5.(4G).4s,5G,5.0,11.0,7.868887,7.868887,157.56256,24.0,1.0918e-08,9.8258e-08,2.8975e-10
3d6,5D,4.0,9.0,0.0,3d5.(4G).4s,5G,4.0,9.0,7.871424,7.871424,157.51178,4.9,1.8226e-09,1.6403e-08,4.8371e-11
3d6,5D,4.0,9.0,0.0,3d5.(4P).4s,5P,3.0,7.0,8.240615,8.240615,150.45503,74.0,1.9533e-08,1.7579e-07,5.184e-10
3d6,5D,4.0,9.0,0.0,3d5.(4P).4s,5P,2.0,5.0,8.247838,8.247838,150.32327,66.0,1.2422e-08,1.118e-07,3.2967e-10
3d6,5D,4.0,9.0,0.0,3d5.(4D).4s,5D,4.0,9.0,8.641223,8.641223,143.47992,88.0,2.716e-08,2.4444e-07,7.2082e-10
3d6,5D,4.0,9.0,0.0,3d5.(4D).4s,5D,3.0,7.0,8.658703,8.658703,143.19027,43.0,1.028e-08,9.2524e-08,2.7284e-10
3d6,5D,4.0,9.0,0.0,3d5.(4D).4s,5D,2.0,5.0,8.658827,8.658827,143.18822,9.0,1.5369e-09,1.3832e-08,4.0789e-11
3d6,5D,4.0,9.0,0.0,3d5.(4F).4s,5F,5.0,11.0,10.30788,10.30788,120.28099,260.0,6.8925e-08,6.2033e-07,1.8293e-09
3d6,5D,4.0,9.0,0.0,3d5.(4F).4s,5F,4.0,9.0,10.310749,10.310749,120.24752,130.0,2.8181e-08,2.5363e-07,7.4792e-10
3d6,5D,4.0,9.0,0.0,3d5.(4F).4s,5F,3.0,7.0,10.32022,10.32022,120.13717,30.0,5.0488e-09,4.544e-08,1.34e-10
3d6,5D,4.0,9.0,0.0,3d5.(6S).4p,5P*,3.0,7.0,11.045157,11.045157,112.25209,370000000.0,0.054363,0.48927,0.0014428
3d6,5D,4.0,9.0,0.0,3d5.(4G).4p,5F*,5.0,11.0,14.421451,14.421451,85.97207,900000000.0,0.12189,1.097,0.003235
3d6,5D,4.0,9.0,0.0,3d5.(4G).4p,5F*,4.0,9.0,14.440141,14.440141,85.86079,160000000.0,0.017684,0.15915,0.00046932
3d6,5D,4.0,9.0,0.0,3d5.(4G).4p,5F*,3.0,7.0,14.441129,14.441129,85.85492,60000000.0,0.005157,0.046413,0.00013687
3d6,5D,4.0,9.0,0.0,3d5.(4G).4p,3F*,3.0,7.0,14.685094,14.685094,84.4286,900000000.0,0.074806,0.67325,0.0019854
3d6,5D,4.0,9.0,0.0,3d5.(4P).4p,3D*,3.0,7.0,15.169064,15.169064,81.7349,60000000.0,0.0046739,0.042065,0.00012405
3d6,5D,4.0,9.0,0.0,3d5.(4D).4p,5P*,3.0,7.0,15.343123,15.343123,80.80767,80000000.0,0.0060913,0.054822,0.00016166
3d6,5D,4.0,9.0,0.0,3d5.(4F).4p,5F*,4.0,9.0,16.860715,16.860715,73.53437,34000000.0,0.0027563,0.024806,7.3151e-05
3d6,5D,4.0,9.0,0.0,3d5.(4F).4p,5F*,5.0,11.0,16.884808,16.884808,73.42944,170000000.0,0.016796,0.15116,0.00044576
3d6,5D,4.0,9.0,0.0,3d5.(4F).4p,5D*,3.0,7.0,17.038266,17.038266,72.76808,110000000.0,0.0067919,0.061127,0.00018026
