conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3d10.4s2,1S,0.0,1.0,0.0,4s.4p,3P*,1.0,3.0,5.928195,5.928195,209.14327,409000.0,0.00080462,0.00080462,2.1355e-05
3d10.4s2,1S,0.0,1.0,0.0,4s.4p,1P*,1.0,3.0,8.76586,8.76586,141.43986,1970000000.0,1.7725,1.7725,0.047043
3d10.4s2,1S,0.0,1.0,0.0,4s.5p,1P*,1.0,3.0,14.946349,14.946349,82.95283,22000000.0,0.0068087,0.0068087,0.0001807
4s.4p,3P*,0.0,1.0,5.872828,4s.4d,3D,1.0,3.0,14.111371,8.238543,150.49286,854000000.0,0.8699,0.8699,0.023087
4s.4p,3P*,1.0,3.0,5.928195,4s.4d,3D,1.0,3.0,14.111371,8.183177,151.51109,627000000.0,0.21578,0.64735,0.0057269
4s.4p,3P*,1.0,3.0,5.928195,4s.4d,3D,2.0,5.0,14.114646,8.186452,151.45047,1130000000.0,0.64763,1.9429,0.017188
4s.4p,3P*,2.0,5.0,6.044211,4s.4d,3D,1.0,3.0,14.111371,8.06716,153.69001,40000000.0,0.0084989,0.042494,0.00022556
4s.4p,3P*,2.0,5.0,6.044211,4s.4d,3D,2.0,5.0,14.114646,8.070435,153.62764,361000000.0,0.12773,0.63867,0.0033901
4s.4p,3P*,2.0,5.0,6.044211,4s.4d,3D,3.0,7.0,14.119716,8.075505,153.53119,1450000000.0,0.71738,3.5869,0.019039
4s.4p,1P*,1.0,3.0,8.76586,4s.4d,1D,2.0,5.0,15.64527,6.87941,180.22504,1460000000.0,1.1849,3.5548,0.031448
