conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
4s2.4p2,3P,0.0,1.0,0.0,4s2.4p.5s,3P*,1.0,3.0,4.67449,4.67449,265.23577,85000000.0,0.26895,0.26895,0.0071378
4s2.4p2,3P,0.0,1.0,0.0,4s2.4p.5s,1P*,1.0,3.0,4.961917,4.961917,249.87156,13000000.0,0.036505,0.036505,0.00096885
4s2.4p2,3P,0.0,1.0,0.0,4s2.4p.4d,3D*,1.0,3.0,6.070611,6.070611,204.23676,110000000.0,0.20637,0.20637,0.005477
4s2.4p2,3P,1.0,3.0,0.069076,4s2.4p.5s,3P*,0.0,1.0,4.643418,4.574342,271.0427,280000000.0,0.10279,0.30838,0.0027282
4s2.4p2,3P,1.0,3.0,0.069076,4s2.4p.5s,3P*,1.0,3.0,4.67449,4.605414,269.214,61000000.0,0.06628,0.19884,0.0017591
4s2.4p2,3P,1.0,3.0,0.069076,4s2.4p.5s,3P*,2.0,5.0,4.850002,4.780926,259.33093,71000000.0,0.11931,0.35793,0.0031665
4s2.4p2,3P,1.0,3.0,0.069076,4s2.4p.5s,1P*,1.0,3.0,4.961917,4.892841,253.39918,10000000.0,0.0096265,0.02888,0.00025549
4s2.4p2,3P,1.0,3.0,0.069076,4s2.4p.4d,1D*,2.0,5.0,6.01076,5.941684,208.66845,40000000.0,0.043519,0.13056,0.001155
4s2.4p2,3P,1.0,3.0,0.069076,4s2.4p.4d,3D*,2.0,5.0,6.060628,5.991552,206.93168,120000000.0,0.12839,0.38518,0.0034076
4s2.4p2,3P,1.0,3.0,0.069076,4s2.4p.4d,3D*,1.0,3.0,6.070611,6.001536,206.58746,85000000.0,0.054386,0.16316,0.0014434
4s2.4p2,3P,1.0,3.0,0.069076,4s2.4p.4d,3P*,1.0,3.0,6.410605,6.34153,195.5115,28000000.0,0.016046,0.048137,0.00042586
4s2.4p2,3P,1.0,3.0,0.069076,4s2.4p.4d,3P*,0.0,1.0,6.444469,6.375393,194.47302,70000000.0,0.01323,0.03969,0.00035112
4s2.4p2,3P,2.0,5.0,0.174813,4s2.4p.5s,3P*,1.0,3.0,4.67449,4.499677,275.5402,110000000.0,0.075123,0.37562,0.0019938
4s2.4p2,3P,2.0,5.0,0.174813,4s2.4p.5s,3P*,2.0,5.0,4.850002,4.675189,265.19613,200000000.0,0.21087,1.0544,0.0055966
4s2.4p2,3P,2.0,5.0,0.174813,4s2.4p.5s,1P*,1.0,3.0,4.961917,4.787104,258.99624,5100000.0,0.0030773,0.015386,8.1671e-05
4s2.4p2,3P,2.0,5.0,0.174813,4s2.4p.4d,3D*,2.0,5.0,6.060628,5.885815,210.64915,17000000.0,0.011309,0.056545,0.00030014
4s2.4p2,3P,2.0,5.0,0.174813,4s2.4p.4d,3D*,3.0,7.0,6.093129,5.918316,209.49237,97000000.0,0.08935,0.44675,0.0023714
4s2.4p2,3P,2.0,5.0,0.174813,4s2.4p.4d,3P*,2.0,5.0,6.377475,6.202662,199.8887,55000000.0,0.032946,0.16473,0.00087438
4s2.4p2,3P,2.0,5.0,0.174813,4s2.4p.4d,3P*,1.0,3.0,6.410605,6.235793,198.82669,25000000.0,0.00889,0.04445,0.00023594
4s2.4p2,1D,2.0,5.0,0.883424,4s2.4p.5s,3P*,1.0,3.0,4.67449,3.791066,327.04313,29000000.0,0.027901,0.1395,0.00074049
4s2.4p2,1D,2.0,5.0,0.883424,4s2.4p.5s,3P*,2.0,5.0,4.850002,3.966577,312.57225,3100000.0,0.0045407,0.022703,0.00012051
4s2.4p2,1D,2.0,5.0,0.883424,4s2.4p.5s,1P*,1.0,3.0,4.961917,4.078493,303.99515,280000000.0,0.23276,1.1638,0.0061774
4s2.4p2,1D,2.0,5.0,0.883424,4s2.4p.4d,1D*,2.0,5.0,6.01076,5.127335,241.8102,96000000.0,0.084155,0.42078,0.0022335
4s2.4p2,1D,2.0,5.0,0.883424,4s2.4p.4d,3P*,2.0,5.0,6.377475,5.49405,225.66994,3200000.0,0.0024432,0.012216,6.4842e-05
4s2.4p2,1S,0.0,1.0,2.029291,4s2.4p.5s,3P*,1.0,3.0,4.67449,2.645199,468.71399,9500000.0,0.093869,0.093869,0.0024913
4s2.4p2,1S,0.0,1.0,2.029291,4s2.4p.5s,1P*,1.0,3.0,4.961917,2.932626,422.77529,21000000.0,0.16882,0.16882,0.0044804
