conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
4s2.4p,2P*,0.5,2.0,0.0,4s2.5s,2S,0.5,2.0,7.736989,7.736989,160.24863,340000000.0,0.1309,0.26179,0.003474
4s2.4p,2P*,0.5,2.0,0.0,4s2.4d,2D,1.5,4.0,10.022496,10.022496,123.70591,1900000000.0,0.87181,1.7436,0.023138
4s2.4p,2P*,0.5,2.0,0.0,4s2.6s,2S,0.5,2.0,11.751765,11.751765,105.50261,69000000.0,0.011514,0.023028,0.00030559
4s2.4p,2P*,0.5,2.0,0.0,4s2.5d,2D,1.5,4.0,12.409575,12.409575,99.91011,190000000.0,0.056867,0.11373,0.0015093
4s2.4p,2P*,1.5,4.0,0.219124,4s2.5s,2S,0.5,2.0,7.736989,7.517865,164.91942,650000000.0,0.13252,0.53009,0.0035171
4s2.4p,2P*,1.5,4.0,0.219124,4s2.4d,2D,1.5,4.0,10.022496,9.803371,126.47098,350000000.0,0.083928,0.33571,0.0022275
4s2.4p,2P*,1.5,4.0,0.219124,4s2.4d,2D,2.5,6.0,10.044282,9.825158,126.19054,2200000000.0,0.78782,3.1513,0.020909
4s2.4p,2P*,1.5,4.0,0.219124,4s2.6s,2S,0.5,2.0,11.751765,11.532641,107.5072,130000000.0,0.011263,0.045051,0.00029892
4s2.4p,2P*,1.5,4.0,0.219124,4s2.5d,2D,1.5,4.0,12.409575,12.19045,101.706,35000000.0,0.0054278,0.021711,0.00014405
4s2.4p,2P*,1.5,4.0,0.219124,4s2.5d,2D,2.5,6.0,12.414639,12.195514,101.66377,210000000.0,0.048809,0.19524,0.0012954
4s2.5s,2S,0.5,2.0,7.736989,4s2.5p,2P*,0.5,2.0,9.795601,2.058612,602.27087,84000000.0,0.4568,0.91359,0.012123
4s2.5s,2S,0.5,2.0,7.736989,4s2.5p,2P*,1.5,4.0,9.840191,2.103202,589.50218,92000000.0,0.95862,1.9172,0.025442
4s2.5p,2P*,0.5,2.0,9.795601,4s2.6s,2S,0.5,2.0,11.751765,1.956164,633.81284,44000000.0,0.26499,0.52999,0.0070329
4s2.5p,2P*,0.5,2.0,9.795601,4s2.5d,2D,1.5,4.0,12.409575,2.613973,474.31316,46000000.0,0.3103,0.62059,0.0082353
4s2.5p,2P*,1.5,4.0,9.840191,4s2.6s,2S,0.5,2.0,11.751765,1.911574,648.59729,85000000.0,0.26804,1.0722,0.0071138
4s2.5p,2P*,1.5,4.0,9.840191,4s2.5d,2D,1.5,4.0,12.409575,2.569384,482.54452,8600000.0,0.030022,0.12009,0.00079677
4s2.5p,2P*,1.5,4.0,9.840191,4s2.5d,2D,2.5,6.0,12.414639,2.574447,481.59538,51000000.0,0.266,1.064,0.0070597
4s2.4d,2D,1.5,4.0,10.022496,4s2.4f,2F*,2.5,6.0,12.437844,2.415348,513.31816,190000000.0,1.1258,4.5034,0.02988
4s2.4d,2D,2.5,6.0,10.044282,4s2.4f,2F*,3.5,8.0,12.437758,2.393476,518.00897,200000000.0,1.0728,6.4366,0.028471
4s2.4d,2D,2.5,6.0,10.044282,4s2.4f,2F*,2.5,6.0,12.437844,2.393562,517.99038,13000000.0,0.052293,0.31376,0.0013879
