conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
1s2,1S,0.0,1.0,0.0,1s.2s,3S,1.0,3.0,19.819615,19.819615,62.55631,0.0001272,2.2388e-14,2.2388e-14,5.9417e-16
1s2,1S,0.0,1.0,0.0,1s.2p,3P*,2.0,5.0,20.964087,20.964087,59.14123,0.327,8.5735e-11,8.5735e-11,2.2754e-12
1s2,1S,0.0,1.0,0.0,1s.2p,3P*,1.0,3.0,20.964096,20.964096,59.14121,176.4,2.775e-08,2.775e-08,7.3648e-10
1s2,1S,0.0,1.0,0.0,1s.2p,1P*,1.0,3.0,21.218023,21.218023,58.43344,1798900000.0,0.27626,0.27626,0.0073318
1s2,1S,0.0,1.0,0.0,1s.3p,3P*,2.0,5.0,23.007073,23.007073,53.8896,0.121,2.6341e-11,2.6341e-11,6.9908e-13
1s2,1S,0.0,1.0,0.0,1s.3d,1D,2.0,5.0,23.074075,23.074075,53.73312,1299.0,2.8114e-07,2.8114e-07,7.4615e-09
1s2,1S,0.0,1.0,0.0,1s.3p,1P*,1.0,3.0,23.087019,23.087019,53.70299,566340000.0,0.073461,0.073461,0.0019496
1s2,1S,0.0,1.0,0.0,1s.4p,3P*,2.0,5.0,23.707891,23.707891,52.29659,0.052,1.0661e-11,1.0661e-11,2.8293e-13
1s2,1S,0.0,1.0,0.0,1s.4d,1D,2.0,5.0,23.736335,23.736335,52.23393,748.48,1.5308e-07,1.5308e-07,4.0627e-09
1s2,1S,0.0,1.0,0.0,1s.4p,1P*,1.0,3.0,23.74207,23.74207,52.22131,243560000.0,0.029873,0.029873,0.00079284
1s2,1S,0.0,1.0,0.0,1s.5p,3P*,2.0,5.0,24.028225,24.028225,51.5994,0.0264,5.2689e-12,5.2689e-12,1.3984e-13
1s2,1S,0.0,1.0,0.0,1s.5d,1D,2.0,5.0,24.042803,24.042803,51.56811,431.36,8.5987e-08,8.5987e-08,2.2821e-09
1s2,1S,0.0,1.0,0.0,1s.5p,1P*,1.0,3.0,24.0458,24.0458,51.56168,125820000.0,0.015045,0.015045,0.00039929
1s2,1S,0.0,1.0,0.0,1s.6p,3P*,2.0,5.0,24.200815,24.200815,51.23141,0.0153,3.0102e-12,3.0102e-12,7.989e-14
1s2,1S,0.0,1.0,0.0,1s.6d,1D,2.0,5.0,24.20925,24.20925,51.21356,264.8,5.2062e-08,5.2062e-08,1.3817e-09
1s2,1S,0.0,1.0,0.0,1s.6p,1P*,1.0,3.0,24.211003,24.211003,51.20986,73174000.0,0.0086307,0.0086307,0.00022906
1s2,1S,0.0,1.0,0.0,1s.7p,3P*,2.0,5.0,24.304289,24.304289,51.0133,0.0107,2.0873e-12,2.0873e-12,5.5396e-14
1s2,1S,0.0,1.0,0.0,1s.7p,1P*,1.0,3.0,24.310708,24.310708,50.99983,46224000.0,0.0054074,0.0054074,0.00014351
1s2,1S,0.0,1.0,0.0,1s.8p,1P*,1.0,3.0,24.375467,24.375467,50.86434,31031000.0,0.0036108,0.0036108,9.5831e-05
1s2,1S,0.0,1.0,0.0,1s.9p,1P*,1.0,3.0,24.419889,24.419889,50.77181,21826000.0,0.0025305,0.0025305,6.7159e-05
1s2,1S,0.0,1.0,0.0,1s.10p,1P*,1.0,3.0,24.451678,24.451678,50.7058,15929000.0,0.001842,0.001842,4.8886e-05
1s.2s,3S,1.0,3.0,19.819615,1s.2p,3P*,2.0,5.0,20.964087,1.144472,1083.33064,10216000.0,0.29958,0.89874,0.0079508
1s.2s,3S,1.0,3.0,19.819615,1s.2p,3P*,1.0,3.0,20.964096,1.144482,1083.32168,10216000.0,0.17974,0.53923,0.0047704
1s.2s,3S,1.0,3.0,19.819615,1s.2p,3P*,0.0,1.0,20.964219,1.144604,1083.20575,10216000.0,0.059902,0.17971,0.0015898
1s.2s,3S,1.0,3.0,19.819615,1s.2p,1P*,1.0,3.0,21.218023,1.398408,886.6095,1.442,1.6994e-08,5.0981e-08,4.5101e-10
1s.2s,3S,1.0,3.0,19.819615,1s.3p,3P*,2.0,5.0,23.007073,3.187459,388.97508,9474600.0,0.035819,0.10746,0.00095063
1s.2s,3S,1.0,3.0,19.819615,1s.3p,3P*,1.0,3.0,23.007076,3.187461,388.97475,9474600.0,0.021491,0.064474,0.00057038
1s.2s,3S,1.0,3.0,19.819615,1s.3p,3P*,0.0,1.0,23.007109,3.187495,388.97066,9474600.0,0.0071636,0.021491,0.00019012
1s.2s,3S,1.0,3.0,19.819615,1s.4p,3P*,2.0,5.0,23.707891,3.888277,318.86671,5636100.0,0.014319,0.042956,0.00038002
1s.2s,3S,1.0,3.0,19.819615,1s.4p,3P*,1.0,3.0,23.707892,3.888278,318.86661,5636100.0,0.0085913,0.025774,0.00022801
1s.2s,3S,1.0,3.0,19.819615,1s.4p,3P*,0.0,1.0,23.707906,3.888291,318.86549,5636100.0,0.0028637,0.0085912,7.6003e-05
1s.2s,3S,1.0,3.0,19.819615,1s.5p,3P*,1.0,3.0,24.028226,4.208611,294.59647,3200600.0,0.0041643,0.012493,0.00011052
1s.2s,3S,1.0,3.0,19.819615,1s.5p,3P*,2.0,5.0,24.028225,4.208611,294.59651,3200600.0,0.0069406,0.020822,0.0001842
1s.2s,3S,1.0,3.0,19.819615,1s.5p,3P*,0.0,1.0,24.028232,4.208618,294.59599,3200600.0,0.0013881,0.0041643,3.684e-05
1s.2s,3S,1.0,3.0,19.819615,1s.6p,3P*,1.0,3.0,24.200816,4.381201,282.99133,1938900.0,0.0023279,0.0069837,6.1782e-05
1s.2s,3S,1.0,3.0,19.819615,1s.6p,3P*,2.0,5.0,24.200815,4.381201,282.99135,1938900.0,0.0038798,0.011639,0.00010297
1s.2s,3S,1.0,3.0,19.819615,1s.6p,3P*,0.0,1.0,24.20082,4.381205,282.99108,1938900.0,0.00077596,0.0023279,2.0594e-05
1s.2s,3S,1.0,3.0,19.819615,1s.7p,3P*,1.0,3.0,24.304289,4.484675,276.46196,1250800.0,0.0014332,0.0042997,3.8038e-05
1s.2s,3S,1.0,3.0,19.819615,1s.7p,3P*,2.0,5.0,24.304289,4.484675,276.46197,1250800.0,0.0023887,0.0071662,6.3397e-05
1s.2s,3S,1.0,3.0,19.819615,1s.7p,3P*,0.0,1.0,24.304292,4.484677,276.4618,1250800.0,0.00047775,0.0014332,1.2679e-05
1s.2s,3S,1.0,3.0,19.819615,1s.8p,3P*,1.0,3.0,24.371166,4.551551,272.39986,849960.0,0.00094552,0.0028366,2.5094e-05
1s.2s,3S,1.0,3.0,19.819615,1s.8p,3P*,2.0,5.0,24.371166,4.551551,272.39987,849960.0,0.0015759,0.0047276,4.1824e-05
1s.2s,3S,1.0,3.0,19.819615,1s.8p,3P*,0.0,1.0,24.371168,4.551553,272.39976,849960.0,0.00031517,0.00094552,8.3647e-06
1s.2s,3S,1.0,3.0,19.819615,1s.9p,3P*,1.0,3.0,24.416869,4.597254,269.69183,602340.0,0.00065681,0.0019704,1.7432e-05
1s.2s,3S,1.0,3.0,19.819615,1s.9p,3P*,2.0,5.0,24.416869,4.597254,269.69184,602340.0,0.0010947,0.003284,2.9053e-05
1s.2s,3S,1.0,3.0,19.819615,1s.9p,3P*,0.0,1.0,24.41687,4.597256,269.69177,602340.0,0.00021894,0.00065681,5.8105e-06
1s.2s,3S,1.0,3.0,19.819615,1s.10p,3P*,1.0,3.0,24.449477,4.629862,267.7924,441740.0,0.00047492,0.0014248,1.2604e-05
1s.2s,3S,1.0,3.0,19.819615,1s.10p,3P*,2.0,5.0,24.449477,4.629862,267.79241,441740.0,0.00079154,0.0023746,2.1007e-05
1s.2s,3S,1.0,3.0,19.819615,1s.10p,3P*,0.0,1.0,24.449478,4.629863,267.79235,441740.0,0.00015831,0.00047492,4.2015e-06
1s.2s,1S,0.0,1.0,20.615775,1s.2p,3P*,1.0,3.0,20.964096,0.348322,3559.47547,0.02966,1.6901e-08,1.6901e-08,4.4856e-10
1s.2s,1S,0.0,1.0,20.615775,1s.2p,1P*,1.0,3.0,21.218023,0.602248,2058.69046,1974600.0,0.37639,0.37639,0.0099895
1s.2s,1S,0.0,1.0,20.615775,1s.3d,1D,2.0,5.0,23.074075,2.4583,504.34935,102.2,1.9487e-06,1.9487e-06,5.1718e-08
1s.2s,1S,0.0,1.0,20.615775,1s.3p,1P*,1.0,3.0,23.087019,2.471244,501.7077,13372000.0,0.15138,0.15138,0.0040177
1s.2s,1S,0.0,1.0,20.615775,1s.4d,1D,2.0,5.0,23.736335,3.12056,397.31391,22.842,2.7029e-07,2.7029e-07,7.1735e-09
1s.2s,1S,0.0,1.0,20.615775,1s.4p,1P*,1.0,3.0,23.74207,3.126295,396.58506,6950700.0,0.049168,0.049168,0.0013049
1s.2s,1S,0.0,1.0,20.615775,1s.5d,1D,2.0,5.0,24.042803,3.427029,361.78338,8.2983,8.1417e-08,8.1417e-08,2.1608e-09
1s.2s,1S,0.0,1.0,20.615775,1s.5p,1P*,1.0,3.0,24.0458,3.430026,361.46727,3802200.0,0.022344,0.022344,0.000593
1s.2s,1S,0.0,1.0,20.615775,1s.6d,1D,2.0,5.0,24.20925,3.593475,345.02591,3.9163,3.4947e-08,3.4947e-08,9.2749e-10
1s.2s,1S,0.0,1.0,20.615775,1s.6p,1P*,1.0,3.0,24.211003,3.595228,344.85769,2269100.0,0.012137,0.012137,0.00032212
1s.2s,1S,0.0,1.0,20.615775,1s.7p,1P*,1.0,3.0,24.310708,3.694933,335.55192,1453700.0,0.0073616,0.0073616,0.00019538
1s.2s,1S,0.0,1.0,20.615775,1s.8p,1P*,1.0,3.0,24.375467,3.759692,329.77223,984320.0,0.0048144,0.0048144,0.00012778
1s.2s,1S,0.0,1.0,20.615775,1s.9p,1P*,1.0,3.0,24.419889,3.804114,325.92131,696270.0,0.0033265,0.0033265,8.8285e-05
1s.2s,1S,0.0,1.0,20.615775,1s.10p,1P*,1.0,3.0,24.451678,3.835904,323.22032,510150.0,0.002397,0.002397,6.3618e-05
1s.2p,3P*,2.0,5.0,20.964087,1s.3s,3S,1.0,3.0,22.718466,1.75438,706.71252,15474000.0,0.069518,0.34759,0.001845
1s.2p,3P*,2.0,5.0,20.964087,1s.3d,3D,2.0,5.0,23.073651,2.109564,587.72424,17673000.0,0.09152,0.4576,0.0024289
1s.2p,3P*,2.0,5.0,20.964087,1s.3d,3D,3.0,7.0,23.073651,2.109564,587.72433,70708000.0,0.51263,2.5631,0.013605
1s.2p,3P*,2.0,5.0,20.964087,1s.3d,3D,1.0,3.0,23.073656,2.10957,587.72272,1964100.0,0.0061027,0.030513,0.00016196
1s.2p,3P*,2.0,5.0,20.964087,1s.3d,1D,2.0,5.0,23.074075,2.109988,587.6062,4310.0,2.2311e-05,0.00011155,5.9212e-07
1s.2p,3P*,2.0,5.0,20.964087,1s.4s,3S,1.0,3.0,23.593959,2.629872,471.44578,5289400.0,0.010575,0.052875,0.00028066
1s.2p,3P*,2.0,5.0,20.964087,1s.4d,3D,2.0,5.0,23.73609,2.772003,447.27289,6144000.0,0.018427,0.092135,0.00048905
1s.2p,3P*,2.0,5.0,20.964087,1s.4d,3D,3.0,7.0,23.73609,2.772003,447.27291,24579000.0,0.1032,0.51602,0.002739
1s.2p,3P*,2.0,5.0,20.964087,1s.4d,3D,1.0,3.0,23.736093,2.772006,447.27252,682750.0,0.0012286,0.0061431,3.2608e-05
1s.2p,3P*,2.0,5.0,20.964087,1s.5s,3S,1.0,3.0,23.971971,3.007885,412.19733,2473800.0,0.0037808,0.018904,0.00010034
1s.2p,3P*,2.0,5.0,20.964087,1s.5d,3D,2.0,5.0,24.042662,3.078575,402.73237,2899900.0,0.0070514,0.035257,0.00018714
1s.2p,3P*,2.0,5.0,20.964087,1s.5d,3D,3.0,7.0,24.042662,3.078575,402.73238,11601000.0,0.039493,0.19746,0.0010481
1s.2p,3P*,2.0,5.0,20.964087,1s.5d,3D,1.0,3.0,24.042663,3.078577,402.73222,322240.0,0.00047014,0.0023507,1.2477e-05
1s.2p,3P*,2.0,5.0,20.964087,1s.6s,3S,1.0,3.0,24.168998,3.204911,386.85688,1359200.0,0.0018298,0.0091488,4.8562e-05
1s.2p,3P*,2.0,5.0,20.964087,1s.6d,3D,2.0,5.0,24.209163,3.245076,382.06867,1608700.0,0.0035206,0.017603,9.3437e-05
