obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""23.4347160426""","=""0.0000000005""","=""""","=""3.1586e+08""",AA,"=""0.0000000000""","=""(52.90620897983)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""23.4347279561""","=""0.0000000005""","=""""","=""3.1583e+08""",AA,"=""0.0000000000""","=""(52.90618208394)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""23.7330663920""","=""0.0000000005""","=""""","=""5.5036e+08""",AA,"=""0.0000000000""","=""(52.241120631161)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""23.7330875061""","=""0.0000000005""","=""""","=""5.5033e+08""",AA,"=""0.0000000000""","=""(52.24107415495)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""24.3026444338""","=""0.0000000005""","=""""","=""1.0917e+09""",AA,"=""0.0000000000""","=""(51.01675201265)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""24.3026876757""","=""0.0000000005""","=""""","=""1.0917e+09""",AA,"=""0.0000000000""","=""(51.01666123838)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""25.6316562565""","=""0.0000000005""","=""""","=""2.6778e+09""",AA,"=""0.0000000000""","=""(48.37151262966)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""25.6317702737""","=""0.0000000005""","=""""","=""2.6777e+09""",AA,"=""0.0000000000""","=""(48.37129745992)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""30.3780409484""","=""0.0000000011""","=""""","=""1.0029e+10""",AA,"=""0.0000000000""","=""(40.81375709639)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""30.3785814724""","=""0.0000000011""","=""""","=""1.0030e+10""",AA,"=""0.0000000000""","=""(40.8130309000)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""102.524082655""","=""0.000000010""","=""""","=""6.8658e+07""",AA,"=""(40.8130309000)""","=""(52.9062089342)""","=""2p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""102.524291882""","=""0.000000009""","=""""","=""3.9232e+06""",AA,"=""(40.8130309000)""","=""(52.90618425490)""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""102.524574585""","=""0.000000010""","=""""","=""4.5764e+07""",AA,"=""(40.8130889708)""","=""(52.90620897983)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""102.524802607""","=""0.000000010""","=""""","=""4.5768e+07""",AA,"=""(40.8130889708)""","=""(52.90618208394)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""102.530163594""","=""0.000000010""","=""""","=""8.2376e+07""",AA,"=""(40.81375709639)""","=""(52.9062178988)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""102.530239605""","=""0.000000010""","=""""","=""1.3729e+07""",AA,"=""(40.81375709639)""","=""(52.9062089342)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""102.530448857""","=""0.000000009""","=""""","=""7.8495e+06""",AA,"=""(40.81375709639)""","=""(52.90618425490)""","=""2p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""108.490747093""","=""0.000000012""","=""""","=""1.2577e+08""",AA,"=""(40.8130309000)""","=""(52.2411205533)""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
