spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
He II,He,1,1s,2S,0.5,2,0.0,1e-09,even,,no,54.4177655282,,metastable - no allowed radiative channel,,,,,,,yes,
He II,He,1,2p,2P*,0.5,2,40.8130309,1.1e-09,odd,,no,54.4177655282,9.970089730807578e-11,"ASD 1/sum(Aki), J-resolved",9.970089730807578e-11,1/1,yes,40.8130309,40.8130309,9.97108e-11,,L19200
He II,He,1,2p,2P*,1.5,4,40.81375709639,1.1e-09,odd,,no,54.4177655282,9.971083856815235e-11,"ASD 1/sum(Aki), J-resolved",9.971083856815235e-11,1/1,yes,40.81375709639,40.81375709639,9.97108e-11,,L19200
He II,He,1,2s,2S,0.5,2,40.8130889708,1.1e-09,even,,no,54.4177655282,,metastable - no allowed radiative channel,,,,,,,yes,L19200
He II,He,1,3p,2P*,0.5,2,48.37129745992,2.5e-10,odd,,no,54.4177655282,3.2925496187227544e-10,"ASD 1/sum(Aki), J-resolved",3.2925496187227544e-10,2/2,yes,48.37129745992,48.37129745992,3.29295e-10,,L3620c107
He II,He,1,3p,2P*,1.5,4,48.37151262966,1.2e-10,odd,,no,54.4177655282,3.292517096395023e-10,"ASD 1/sum(Aki), J-resolved",3.292517096395023e-10,2/2,yes,48.37151262966,48.37151262966,3.29295e-10,,L3620c107
He II,He,1,3s,2S,0.5,2,48.3713147616,6e-10,even,,no,54.4177655282,9.888262632255513e-09,"ASD 1/sum(Aki), J-resolved",9.888262632255513e-09,2/2,yes,7.557557665209998,7.558283861599996,9.89394e-09,,L3620c107
He II,He,1,3d,2D,1.5,4,48.37151227566,1e-11,even,,no,54.4177655282,9.659969088098919e-10,"ASD 1/sum(Aki), J-resolved",9.659969088098919e-10,2/2,yes,7.558481375660001,7.558481375660001,9.66118e-10,,L3620c107
He II,He,1,3d,2D,2.5,6,48.371583992058,7e-12,even,,no,54.4177655282,9.660902328277462e-10,"ASD 1/sum(Aki), J-resolved",9.660902328277462e-10,1/1,yes,7.557826895668001,7.557826895668001,9.66118e-10,,L3620c107
He II,He,1,4p,2P*,0.5,2,51.01666123838,1e-10,odd,,no,54.4177655282,7.685461719483721e-10,"ASD 1/sum(Aki), J-resolved",7.685461719483721e-10,4/4,yes,51.01666123838,51.01666123838,,,L3620c107
He II,He,1,4p,2P*,1.5,4,51.01675201265,5e-11,odd,,no,54.4177655282,7.685653335409074e-10,"ASD 1/sum(Aki), J-resolved",7.685653335409074e-10,5/5,yes,51.01675201265,51.01675201265,,,L3620c107
He II,He,1,4s,2S,0.5,2,51.01666855319,2.5e-10,even,,no,54.4177655282,1.4145311960709982e-08,"ASD 1/sum(Aki), J-resolved",1.4145311960709982e-08,4/4,yes,10.202911456800003,10.20363765319,,,L3620c107
He II,He,1,4d,2D,1.5,4,51.0167518615,1.1e-09,even,,no,54.4177655282,2.2576166341193603e-09,"ASD 1/sum(Aki), J-resolved",2.2576166341193603e-09,4/4,yes,10.203720961499997,10.203720961499997,,,L3620c107
He II,He,1,4d,2D,2.5,6,51.016782117,1.1e-09,even,,no,54.4177655282,2.257795037366508e-09,"ASD 1/sum(Aki), J-resolved",2.257795037366508e-09,2/2,yes,10.20302502061,10.20302502061,,,L3620c107
He II,He,1,4f,2F*,2.5,6,51.0167820625,5e-10,odd,,no,54.4177655282,4.529662494847509e-09,"ASD 1/sum(Aki), J-resolved",4.529662494847509e-09,2/2,yes,2.6452697868399966,2.6452697868399966,,,L3620c107
He II,He,1,4f,2F*,3.5,8,51.0167971898,5e-10,odd,,no,54.4177655282,4.52980612429788e-09,"ASD 1/sum(Aki), J-resolved",4.52980612429788e-09,1/1,yes,2.6452131977420024,2.6452131977420024,,,L3620c107
He II,He,1,5p,2P*,0.5,2,52.24107415495,5e-11,odd,,no,54.4177655282,1.4858688670205313e-09,"ASD 1/sum(Aki), J-resolved",1.4858688670205313e-09,6/6,yes,52.24107415495,52.24107415495,,,L3620c107
He II,He,1,5p,2P*,1.5,4,52.241120631161,2.5e-11,odd,,no,54.4177655282,1.4858386427672294e-09,"ASD 1/sum(Aki), J-resolved",1.4858386427672294e-09,8/8,yes,52.241120631161,52.241120631161,,,L3620c107
He II,He,1,5s,2S,0.5,2,52.2410779043,4e-10,even,,no,54.4177655282,2.1996392591614976e-08,"ASD 1/sum(Aki), J-resolved",2.1996392591614976e-08,6/6,yes,11.42732080791,11.428047004299998,,,L3620c107
He II,He,1,5d,2D,1.5,4,52.2411205533,7e-10,even,,no,54.4177655282,4.351260366497088e-09,"ASD 1/sum(Aki), J-resolved",4.351260366497088e-09,7/7,yes,11.428089653299999,11.428089653299999,,,L3620c107
He II,He,1,5d,2D,2.5,6,52.2411360441,7e-10,even,,no,54.4177655282,4.35145338281899e-09,"ASD 1/sum(Aki), J-resolved",4.35145338281899e-09,5/5,yes,11.427378947710004,11.427378947710004,,,L3620c107
He II,He,1,5f,2F*,2.5,6,52.241136016,5e-10,odd,,no,54.4177655282,8.763719603038557e-09,"ASD 1/sum(Aki), J-resolved",8.763719603038557e-09,4/4,yes,3.8696237403399962,3.8696237403399962,,,L3620c107
He II,He,1,5f,2F*,3.5,8,52.2411437612,5e-10,odd,,no,54.4177655282,8.764088271897075e-09,"ASD 1/sum(Aki), J-resolved",8.764088271897075e-09,2/2,yes,3.8695597691420005,3.8695597691420005,,,L3620c107
He II,He,1,5g,2G,3.5,8,52.24114374648,9e-11,even,,no,54.4177655282,1.4681355852575698e-08,"ASD 1/sum(Aki), J-resolved",1.4681355852575698e-08,2/2,yes,1.2243616839799998,1.2243616839799998,,,L3620c107
He II,He,1,5g,2G,4.5,10,52.24114839357,9e-11,even,,no,54.4177655282,1.4681485179040712e-08,"ASD 1/sum(Aki), J-resolved",1.4681485179040712e-08,1/1,yes,1.2243512037699986,1.2243512037699986,,,L3620c107
