conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
1s,2S,0.5,2.0,0.0,2p,2P*,0.5,2.0,40.813031,40.813031,30.37858,10030000000.0,0.13877,0.27754,0.003683
1s,2S,0.5,2.0,0.0,2p,2P*,1.5,4.0,40.813757,40.813757,30.37804,10029000000.0,0.2775,0.555,0.0073649
1s,2S,0.5,2.0,0.0,3p,2P*,0.5,2.0,48.371297,48.371297,25.63177,2677700000.0,0.026374,0.052748,0.00069997
1s,2S,0.5,2.0,0.0,3p,2P*,1.5,4.0,48.371513,48.371513,25.63166,2677800000.0,0.05275,0.1055,0.0014
1s,2S,0.5,2.0,0.0,4p,2P*,0.5,2.0,51.016661,51.016661,24.30269,1091700000.0,0.0096665,0.019333,0.00025655
1s,2S,0.5,2.0,0.0,4p,2P*,1.5,4.0,51.016752,51.016752,24.30264,1091700000.0,0.019333,0.038666,0.0005131
1s,2S,0.5,2.0,0.0,5p,2P*,0.5,2.0,52.241074,52.241074,23.73309,550330000.0,0.0046472,0.0092944,0.00012334
1s,2S,0.5,2.0,0.0,5p,2P*,1.5,4.0,52.241121,52.241121,23.73307,550360000.0,0.0092949,0.01859,0.00024669
1s,2S,0.5,2.0,0.0,6p,2P*,0.5,2.0,52.906182,52.906182,23.43473,315830000.0,0.0026004,0.0052007,6.9013e-05
1s,2S,0.5,2.0,0.0,6p,2P*,1.5,4.0,52.906209,52.906209,23.43472,315860000.0,0.0052012,0.010402,0.00013804
2p,2P*,0.5,2.0,40.813031,3s,2S,0.5,2.0,48.371315,7.558284,164.0375,33700000.0,0.013595,0.02719,0.00036081
2p,2P*,0.5,2.0,40.813031,3d,2D,1.5,4.0,48.371512,7.558481,164.03321,862680000.0,0.69599,1.392,0.018472
2p,2P*,0.5,2.0,40.813031,4s,2S,0.5,2.0,51.016669,10.203638,121.5098,13762000.0,0.0030462,0.0060925,8.0847e-05
2p,2P*,0.5,2.0,40.813031,4d,2D,1.5,4.0,51.016752,10.203721,121.50881,275230000.0,0.12184,0.24369,0.0032337
2p,2P*,0.5,2.0,40.813031,5s,2S,0.5,2.0,52.241078,11.428047,108.49115,6878200.0,0.0012137,0.0024275,3.2212e-05
2p,2P*,0.5,2.0,40.813031,5d,2D,1.5,4.0,52.241121,11.42809,108.49075,125770000.0,0.044387,0.088773,0.001178
2p,2P*,0.5,2.0,40.813031,6s,2S,0.5,2.0,52.906184,12.093153,102.52429,3923200.0,0.00061823,0.0012365,1.6408e-05
2p,2P*,0.5,2.0,40.813031,6d,2D,1.5,4.0,52.906209,12.093178,102.52408,68658000.0,0.021639,0.043278,0.00057429
2s,2S,0.5,2.0,40.813089,3p,2P*,0.5,2.0,48.371297,7.558208,164.03914,359460000.0,0.14501,0.29002,0.0038486
2s,2S,0.5,2.0,40.813089,3p,2P*,1.5,4.0,48.371513,7.558424,164.03447,359390000.0,0.28995,0.5799,0.0076953
2s,2S,0.5,2.0,40.813089,4p,2P*,0.5,2.0,51.016661,10.203572,121.51058,154810000.0,0.034268,0.068536,0.00090947
2s,2S,0.5,2.0,40.813089,4p,2P*,1.5,4.0,51.016752,10.203663,121.5095,154790000.0,0.068526,0.13705,0.0018187
2s,2S,0.5,2.0,40.813089,5p,2P*,0.5,2.0,52.241074,11.427985,108.49174,79234000.0,0.013982,0.027964,0.00037108
2s,2S,0.5,2.0,40.813089,5p,2P*,1.5,4.0,52.241121,11.428032,108.4913,79227000.0,0.027961,0.055922,0.00074208
2s,2S,0.5,2.0,40.813089,6p,2P*,0.5,2.0,52.906182,12.093093,102.5248,45768000.0,0.0072124,0.014425,0.00019142
2s,2S,0.5,2.0,40.813089,6p,2P*,1.5,4.0,52.906209,12.09312,102.52457,45764000.0,0.014423,0.028847,0.0003828
2p,2P*,1.5,4.0,40.813757,3s,2S,0.5,2.0,48.371315,7.557558,164.05326,67430000.0,0.013604,0.054414,0.00036104
2p,2P*,1.5,4.0,40.813757,3d,2D,1.5,4.0,48.371512,7.557755,164.04897,172520000.0,0.069606,0.27842,0.0018473
2p,2P*,1.5,4.0,40.813757,3d,2D,2.5,6.0,48.371584,7.557827,164.04742,1035100000.0,0.62643,2.5057,0.016625
2p,2P*,1.5,4.0,40.813757,4s,2S,0.5,2.0,51.016669,10.202911,121.51845,27534000.0,0.0030478,0.012191,8.0888e-05
2p,2P*,1.5,4.0,40.813757,4d,2D,1.5,4.0,51.016752,10.202995,121.51746,55036000.0,0.012184,0.048735,0.00032336
2p,2P*,1.5,4.0,40.813757,4d,2D,2.5,6.0,51.016782,10.203025,121.5171,330230000.0,0.10966,0.43863,0.0029103
2p,2P*,1.5,4.0,40.813757,5s,2S,0.5,2.0,52.241078,11.427321,108.49805,13762000.0,0.0012144,0.0048575,3.223e-05
2p,2P*,1.5,4.0,40.813757,5d,2D,1.5,4.0,52.241121,11.427363,108.49764,25150000.0,0.0044385,0.017754,0.0001178
2p,2P*,1.5,4.0,40.813757,5d,2D,2.5,6.0,52.241136,11.427379,108.49749,150910000.0,0.039949,0.1598,0.0010603
2p,2P*,1.5,4.0,40.813757,6s,2S,0.5,2.0,52.906184,12.092427,102.53045,7849500.0,0.00061855,0.0024742,1.6416e-05
2p,2P*,1.5,4.0,40.813757,6d,2D,1.5,4.0,52.906209,12.092452,102.53024,13729000.0,0.0021637,0.0086549,5.7425e-05
2p,2P*,1.5,4.0,40.813757,6d,2D,2.5,6.0,52.906218,12.092461,102.53016,82376000.0,0.019474,0.077896,0.00051684
3p,2P*,0.5,2.0,48.371297,4s,2S,0.5,2.0,51.016669,2.645371,468.68358,9796800.0,0.032263,0.064526,0.00085626
3p,2P*,0.5,2.0,48.371297,4d,2D,1.5,4.0,51.016752,2.645454,468.66882,93899000.0,0.61842,1.2368,0.016413
3p,2P*,0.5,2.0,48.371297,5s,2S,0.5,2.0,52.241078,3.86978,320.39078,4828800.0,0.0074312,0.014862,0.00019722
3p,2P*,0.5,2.0,48.371297,5d,2D,1.5,4.0,52.241121,3.869823,320.38725,45253000.0,0.13928,0.27856,0.0036965
3p,2P*,0.5,2.0,48.371297,6s,2S,0.5,2.0,52.906184,4.534887,273.40087,2707000.0,0.0030335,0.0060671,8.051e-05
3p,2P*,0.5,2.0,48.371297,6d,2D,1.5,4.0,52.906209,4.534911,273.39938,25056000.0,0.056156,0.11231,0.0014904
3s,2S,0.5,2.0,48.371315,4p,2P*,0.5,2.0,51.016661,2.645346,468.68794,49080000.0,0.16163,0.32327,0.0042898
3s,2S,0.5,2.0,48.371315,4p,2P*,1.5,4.0,51.016752,2.645437,468.67186,49070000.0,0.32318,0.64636,0.0085772
3s,2S,0.5,2.0,48.371315,5p,2P*,0.5,2.0,52.241074,3.869759,320.39253,26224000.0,0.040357,0.080715,0.0010711
3s,2S,0.5,2.0,48.371315,5p,2P*,1.5,4.0,52.241121,3.869806,320.38868,26220000.0,0.080701,0.1614,0.0021418
3s,2S,0.5,2.0,48.371315,6p,2P*,0.5,2.0,52.906182,4.534867,273.40204,15293000.0,0.017138,0.034276,0.00045484
3s,2S,0.5,2.0,48.371315,6p,2P*,1.5,4.0,52.906209,4.534894,273.40042,15291000.0,0.034271,0.068542,0.00090955
