spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Hg I,Hg,0,5d10.6s2,1S,0.0,1,0.0,7e-07,even,,no,10.437504,,,,,,,,,,L9019
Hg I,Hg,0,5d10.6s.6p,3P*,0.0,1,4.6673829,1.1e-06,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.6p,3P*,1.0,3,4.8864946,9e-07,odd,,no,10.437504,1.1904761904761904e-07,"ASD 1/sum(Aki), J-resolved",1.1904761904761904e-07,1/1,yes,4.8864946,4.8864946,,,
Hg I,Hg,0,5d10.6s.6p,3P*,2.0,5,5.4606248,9e-07,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.6p,1P*,1.0,3,6.7036623,6e-07,odd,,no,10.437504,1.3404825737265415e-09,"ASD 1/sum(Aki), J-resolved",1.3404825737265415e-09,1/1,yes,6.7036623,6.7036623,,,
Hg I,Hg,0,5d10.6s.7s,3S,1.0,3,7.7304551,9e-07,even,,no,10.437504,7.935248373274083e-09,"ASD 1/sum(Aki), J-resolved",7.935248373274083e-09,4/4,yes,2.8439605000000006,3.0630722000000006,,,
Hg I,Hg,0,5d10.6s.7s,1S,0.0,1,7.9260767,1e-06,even,,no,10.437504,3.2154340836012864e-08,"ASD 1/sum(Aki), J-resolved",3.2154340836012864e-08,2/2,yes,1.2224144,3.0395821000000005,,,
Hg I,Hg,0,5d9.6s2.(2D<5/2>).6p,2[3/2]*,2.0,5,8.540829,6e-06,odd,,no,10.437504,9.090909090909091e-08,"ASD 1/sum(Aki), J-resolved",9.090909090909091e-08,1/1,yes,0.8103739000000001,0.8103739000000001,,,
Hg I,Hg,0,5d9.6s2.(2D<5/2>).6p,2[3/2]*,1.0,3,9.771569,2e-05,odd,,no,10.437504,3.3333333333333333e-06,"ASD 1/sum(Aki), J-resolved",3.3333333333333333e-06,2/5,no,1.8454922999999992,9.771569,,,
Hg I,Hg,0,5d10.6s.7p,3P*,0.0,1,8.618957,1.6e-06,odd,,no,10.437504,2e-08,"ASD 1/sum(Aki), J-resolved",2e-08,1/2,no,0.8885018999999996,3.9515741,,,
Hg I,Hg,0,5d10.6s.7p,3P*,1.0,3,8.6369628,2.5e-06,odd,,no,10.437504,2.380952380952381e-08,"ASD 1/sum(Aki), J-resolved",2.380952380952381e-08,1/4,no,0.9065076999999988,8.6369628,,,
Hg I,Hg,0,5d10.6s.7p,3P*,2.0,5,8.8285795,1.4e-06,odd,,no,10.437504,2.7777777777777777e-08,"ASD 1/sum(Aki), J-resolved",2.7777777777777777e-08,1/3,no,1.0981243999999997,3.9420849000000002,,,
Hg I,Hg,0,5d9.6s2.(2D<5/2>).6p,2[7/2]*,3.0,7,8.794472,2.5e-05,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d9.6s2.(2D<5/2>).6p,2[7/2]*,4.0,9,9.539998,7e-06,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.7p,1P*,1.0,3,8.839436,6e-06,odd,,no,10.437504,1.5698587127158556e-08,"ASD 1/sum(Aki), J-resolved",1.5698587127158556e-08,2/3,no,0.9133592999999989,8.839436,,,
Hg I,Hg,0,5d10.6s.6d,1D,2.0,5,8.8441714,7e-07,even,,no,10.437504,3.2258064516129035e-08,"ASD 1/sum(Aki), J-resolved",3.2258064516129035e-08,1/4,no,2.1405091,4.176788500000001,,,
Hg I,Hg,0,5d10.6s.6d,3D,1.0,3,8.8445374,1.1e-06,even,,no,10.437504,1.99203187250996e-08,"ASD 1/sum(Aki), J-resolved",1.99203187250996e-08,3/4,no,4.1771545,4.1771545,,,
Hg I,Hg,0,5d10.6s.6d,3D,2.0,5,8.8519849,7e-07,even,,no,10.437504,9.259259259259259e-09,"ASD 1/sum(Aki), J-resolved",9.259259259259259e-09,3/3,yes,3.9654903,3.9654903,,,
Hg I,Hg,0,5d10.6s.6d,3D,3.0,7,8.8563376,1.2e-06,even,,no,10.437504,7.751937984496125e-09,"ASD 1/sum(Aki), J-resolved",7.751937984496125e-09,1/1,yes,3.3957128,3.3957128,,,
Hg I,Hg,0,5d10.6s.8s,3S,1.0,3,9.170012,1.1e-06,even,,no,10.437504,2.5888828193969456e-08,"ASD 1/sum(Aki), J-resolved",2.5888828193969456e-08,4/8,no,3.7093872,4.5026291,,,
Hg I,Hg,0,5d10.6s.8s,1S,0.0,1,9.22499,5e-06,even,,no,10.437504,1.4492753623188405e-07,"ASD 1/sum(Aki), J-resolved",1.4492753623188405e-07,2/4,no,2.5213276999999996,4.3384954,,,
Hg I,Hg,0,5d10.6s.8p,3P*,0.0,1,9.4782339,1.5e-06,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.8p,3P*,1.0,3,9.4806918,1.5e-06,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.8p,3P*,2.0,5,9.524891,1.1e-05,odd,,no,10.437504,6.25e-07,"ASD 1/sum(Aki), J-resolved",6.25e-07,1/3,no,1.7944358999999999,4.0642662000000005,,,
Hg I,Hg,0,5d10.6s.8p,1P*,1.0,3,9.5298144,1.2e-06,odd,,no,10.437504,1.6666666666666667e-06,"ASD 1/sum(Aki), J-resolved",1.6666666666666667e-06,1/4,no,1.603737699999999,9.5298144,,,
Hg I,Hg,0,5d10.6s.7d,1D,2.0,5,9.5547145,9e-07,even,,no,10.437504,4.101722723543888e-08,"ASD 1/sum(Aki), J-resolved",4.101722723543888e-08,4/5,no,4.6682198999999995,4.6682198999999995,,,
Hg I,Hg,0,5d10.6s.7d,3D,1.0,3,9.55725,2.5e-06,even,,no,10.437504,1.0869565217391305e-07,"ASD 1/sum(Aki), J-resolved",1.0869565217391305e-07,2/8,no,0.9382929999999998,4.8898671,,,
Hg I,Hg,0,5d10.6s.7d,3D,2.0,5,9.5601496,9e-07,even,,no,10.437504,1.7761989342806394e-08,"ASD 1/sum(Aki), J-resolved",1.7761989342806394e-08,4/6,no,4.673655000000001,4.673655000000001,,,
Hg I,Hg,0,5d10.6s.7d,3D,3.0,7,9.5628234,1.6e-06,even,,no,10.437504,1.8761726078799248e-08,"ASD 1/sum(Aki), J-resolved",1.8761726078799248e-08,2/3,no,4.1021985999999995,4.1021985999999995,,,
Hg I,Hg,0,5d10.6s.5f,3F*,2.0,5,9.57615,1e-05,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.5f,3F*,3.0,7,9.576423,6e-06,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.5f,3F*,4.0,9,9.582349,9e-06,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.5f,1F*,3.0,7,9.576727,7e-06,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.9s,3S,1.0,3,9.697563,4e-06,even,,no,10.437504,1.25e-07,"ASD 1/sum(Aki), J-resolved",1.25e-07,1/7,no,4.236938200000001,5.030180100000001,,,
Hg I,Hg,0,5d10.6s.9s,1S,0.0,1,9.720887,6e-06,even,,no,10.437504,4.545454545454545e-07,"ASD 1/sum(Aki), J-resolved",4.545454545454545e-07,1/5,no,3.017224699999999,4.8343924,,,
Hg I,Hg,0,5d9.6s2.(2D<5/2>).6p,2[5/2]*,2.0,5,9.754706,1.9e-05,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d9.6s2.(2D<5/2>).6p,2[5/2]*,3.0,7,9.934544,2.5e-05,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.9p,3P*,0.0,1,9.8413266,2e-06,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.9p,3P*,1.0,3,9.8459094,2e-06,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.9p,3P*,2.0,5,9.87059,0.00017,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.8d,1D,2.0,5,9.876651,5e-06,even,,no,10.437504,2.325581395348837e-06,"ASD 1/sum(Aki), J-resolved",2.325581395348837e-06,1/7,no,1.2396882000000016,5.209268100000001,,,
Hg I,Hg,0,5d10.6s.8d,3D,1.0,3,9.878884,4e-06,even,,no,10.437504,2.173913043478261e-07,"ASD 1/sum(Aki), J-resolved",2.173913043478261e-07,2/7,no,5.2115010999999996,5.2115010999999996,,,
Hg I,Hg,0,5d10.6s.8d,3D,2.0,5,9.880321,4e-06,even,,no,10.437504,9.09090909090909e-07,"ASD 1/sum(Aki), J-resolved",9.09090909090909e-07,1/5,no,1.2433582000000012,4.9938264000000006,,,
Hg I,Hg,0,5d10.6s.8d,3D,3.0,7,9.881854,4e-06,even,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.6f,3F*,3.0,7,9.88695,4e-05,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.6f,3F*,2.0,5,9.886959,2.5e-05,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.6f,3F*,4.0,9,9.88757,4e-05,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.6f,1F*,3.0,7,9.88705,4e-05,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.5g,3G,4.0,9,9.89195,7e-06,even,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.5g,3G,5.0,11,9.8925,0.0007,even,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.5g,1G,4.0,9,9.892,0.0007,even,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.9p,1P*,1.0,3,9.914254,1.9e-05,odd,,no,10.437504,3.3333333333333333e-06,"ASD 1/sum(Aki), J-resolved",3.3333333333333333e-06,1/4,no,1.9881772999999994,9.914254,,,
Hg I,Hg,0,5d10.6s.10s,3S,1.0,3,9.95196,4e-06,even,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.10s,1S,0.0,1,9.9640556,1.1e-06,even,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.10p,3P*,0.0,1,10.0305869,2.4e-06,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.10p,3P*,1.0,3,10.0323737,2.2e-06,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.10p,3P*,2.0,5,10.045526,6e-06,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.9d,1D,2.0,5,10.0498662,1.1e-06,even,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.9d,3D,1.0,3,10.051518,6e-06,even,,no,10.437504,3.225806451612903e-06,"ASD 1/sum(Aki), J-resolved",3.225806451612903e-06,1/7,no,1.4325609999999998,5.3841351,,,
Hg I,Hg,0,5d10.6s.9d,3D,2.0,5,10.052323,1.7e-05,even,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.9d,3D,3.0,7,10.053254,1.4e-05,even,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.7f,3F*,2.0,5,10.05556,4e-05,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.7f,3F*,3.0,7,10.055788,2.5e-05,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.7f,3F*,4.0,9,10.05595,5e-05,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.7f,1F*,3.0,7,10.05586,6e-05,odd,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.6g,3G,5.0,11,10.0566,0.0007,even,,no,10.437504,,,,,,,,,,
Hg I,Hg,0,5d10.6s.6g,3G,4.0,9,10.05822,0.00025,even,,no,10.437504,,,,,,,,,,
