Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""5s2.5p""","=""2P*""","=""1/2""",2,"=""""","=""0.0000000""","=""""","=""0""","=""L4218"""
"=""5s2.5p""","=""2P*""","=""3/2""",4,"=""""","=""0.2743273""","=""""","=""0.0000010""","=""L15947"""
"=""5s2.6s""","=""2S""","=""1/2""",2,"=""""","=""3.0218615""","=""""","=""0.0000007""","=""L15947"""
"=""5s2.6p""","=""2P*""","=""1/2""",2,"=""""","=""3.9448030""","=""""","=""0.0000006""","=""L10358"""
"=""5s2.6p""","=""2P*""","=""3/2""",4,"=""""","=""3.9817837""","=""""","=""0.0000006""","=""L10358"""
"=""5s2.5d""","=""2D""","=""3/2""",4,"=""""","=""4.0781168""","=""""","=""0.0000006""","=""L10358"""
"=""5s2.5d""","=""2D""","=""5/2""",6,"=""""","=""4.0810067""","=""""","=""0.0000006""","=""L10358"""
"=""5s.5p2""","=""4P""","=""1/2""",2,"=""""","=""4.33667937""","=""""","=""0.00000025""","=""L9805"""
"=""5s.5p2""","=""4P""","=""3/2""",4,"=""""","=""4.46600754""","=""""","=""0.00000025""","=""L9805"""
"=""5s.5p2""","=""4P""","=""5/2""",6,"=""""","=""4.64345149""","=""""","=""0.00000025""","=""L9805"""
"=""5s2.7s""","=""2S""","=""1/2""",2,"=""""","=""4.5008575""","=""""","=""0.0000006""","=""L10358"""
"=""5s2.7p""","=""2P*""","=""1/2""",2,"=""""","=""4.818203""","=""""","=""0.000004""","=""L4218"""
"=""5s2.7p""","=""2P*""","=""3/2""",4,"=""""","=""4.832024""","=""""","=""0.000004""","=""L4218"""
"=""5s2.6d""","=""2D""","=""3/2""",4,"=""""","=""4.841401""","=""""","=""0.000004""","=""L4218"""
"=""5s2.6d""","=""2D""","=""5/2""",6,"=""""","=""4.847581""","=""""","=""0.000004""","=""L4218"""
"=""5s2.4f""","=""2F*""","=""7/2""",8,"=""""","=""4.923114""","=""""","=""0.000004""","=""L4218"""
"=""5s2.4f""","=""2F*""","=""5/2""",6,"=""""","=""4.923114""","=""""","=""0.000004""","=""L4218"""
"=""5s2.8s""","=""2S""","=""1/2""",2,"=""""","=""5.038343""","=""""","=""0.000004""","=""L10358"""
"=""5s2.8p""","=""2P*""","=""1/2""",2,"=""""","=""5.18590""","=""""","=""0.00003""","=""L3466"""
"=""5s2.8p""","=""2P*""","=""3/2""",4,"=""""","=""5.19264""","=""""","=""0.00003""","=""L3466"""
"=""5s2.7d""","=""2D""","=""3/2""",4,"=""""","=""5.187054""","=""""","=""0.000010""","=""L4218"""
"=""5s2.7d""","=""2D""","=""5/2""",6,"=""""","=""5.190222""","=""""","=""0.000010""","=""L4218"""
"=""5s2.5f""","=""2F*""","=""5/2,7/2""",14,"=""""","=""5.234644""","=""""","=""0.000005""","=""L4218"""
"=""5s2.9s""","=""2S""","=""1/2""",2,"=""""","=""5.296483""","=""""","=""0.000012""","=""L4218"""
"=""5s2.8d""","=""2D""","=""3/2""",4,"=""""","=""5.372971""","=""""","=""0.000005""","=""L4218"""
"=""5s2.8d""","=""2D""","=""5/2""",6,"=""""","=""5.375345""","=""""","=""0.000005""","=""L4218"""
"=""5s2.9p""","=""2P*""","=""1/2""",2,"=""""","=""5.37708""","=""""","=""0.00003""","=""L3466"""
"=""5s2.9p""","=""2P*""","=""3/2""",4,"=""""","=""5.38086""","=""""","=""0.00003""","=""L3466"""
"=""5s2.6f""","=""2F*""","=""5/2,7/2""",14,"=""""","=""5.403809""","=""""","=""0.000004""","=""L4218"""
"=""5s2.10s""","=""2S""","=""1/2""",2,"=""""","=""5.440583""","=""""","=""0.000025""","=""L4218"""
"=""5s2.9d""","=""2D""","=""3/2""",4,"=""""","=""5.484404""","=""""","=""0.000012""","=""L4218"""
"=""5s2.9d""","=""2D""","=""5/2""",6,"=""""","=""5.486272""","=""""","=""0.000006""","=""L4218"""
"=""5s2.10p""","=""2P*""","=""1/2""",2,"=""""","=""5.48942""","=""""","=""0.00003""","=""L3466"""
"=""5s2.10p""","=""2P*""","=""3/2""",4,"=""""","=""5.49177""","=""""","=""0.00003""","=""L3466"""
"=""5s2.7f""","=""2F*""","=""7/2""",8,"=""""","=""5.505681""","=""""","=""0.000004""","=""L4218"""
"=""5s2.7f""","=""2F*""","=""5/2""",6,"=""""","=""5.505681""","=""""","=""0.000004""","=""L4218"""
"=""5s2.11s""","=""2S""","=""1/2""",2,"=""""","=""5.52918""","=""""","=""0.00003""","=""L3466"""
"=""5s2.10d""","=""2D""","=""3/2""",4,"=""""","=""5.55636""","=""""","=""0.00003""","=""L3466"""
"=""5s2.10d""","=""2D""","=""5/2""",6,"=""""","=""5.55784""","=""""","=""0.00003""","=""L3466"""
"=""5s2.11p""","=""2P*""","=""1/2""",2,"=""[""","=""5.56109""","=""]""","=""0.00003""","=""L3466"""
"=""5s2.11p""","=""2P*""","=""3/2""",4,"=""""","=""5.56265""","=""""","=""0.00003""","=""L3466"""
"=""5s2.8f""","=""2F*""","=""5/2""",6,"=""""","=""5.571702""","=""""","=""0.000007""","=""L4218"""
"=""5s2.8f""","=""2F*""","=""7/2""",8,"=""""","=""5.571702""","=""""","=""0.000007""","=""L4218"""
