spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
In I,In,0,5s2.5p,2P*,0.5,2,0.0,0.0,odd,,no,5.7863558,,,,,,,,,,L4218
In I,In,0,5s2.5p,2P*,1.5,4,0.2743273,1e-06,odd,,no,5.7863558,,,,,,,,,,L15947
In I,In,0,5s2.6s,2S,0.5,2,3.0218615,7e-07,even,,no,5.7863558,7.199424046076314e-09,"ASD 1/sum(Aki), J-resolved",7.199424046076314e-09,2/2,yes,2.7475342,3.0218615,,,L15947
In I,In,0,5s2.6p,2P*,0.5,2,3.944803,6e-07,odd,,no,5.7863558,,,,,,,,,,L10358
In I,In,0,5s2.6p,2P*,1.5,4,3.9817837,6e-07,odd,,no,5.7863558,,,,,,,,,,L10358
In I,In,0,5s2.5d,2D,1.5,4,4.0781168,6e-07,even,,no,5.7863558,7.092198581560283e-09,"ASD 1/sum(Aki), J-resolved",7.092198581560283e-09,2/2,yes,4.0781168,4.0781168,,,L10358
In I,In,0,5s2.5d,2D,2.5,6,4.0810067,6e-07,even,,no,5.7863558,7.692307692307693e-09,"ASD 1/sum(Aki), J-resolved",7.692307692307693e-09,1/1,yes,3.8066793999999997,3.8066793999999997,,,L10358
In I,In,0,5s.5p2,4P,0.5,2,4.33667937,2.5e-07,even,,no,5.7863558,1.5313935681470138e-06,"ASD 1/sum(Aki), J-resolved",1.5313935681470138e-06,1/2,no,4.33667937,4.33667937,,,L9805
In I,In,0,5s.5p2,4P,1.5,4,4.46600754,2.5e-07,even,,no,5.7863558,1.658374792703151e-06,"ASD 1/sum(Aki), J-resolved",1.658374792703151e-06,2/2,yes,4.191680239999999,4.46600754,,,L9805
In I,In,0,5s.5p2,4P,2.5,6,4.64345149,2.5e-07,even,,no,5.7863558,6.896551724137931e-06,"ASD 1/sum(Aki), J-resolved",6.896551724137931e-06,1/1,yes,4.36912419,4.36912419,,,L9805
In I,In,0,5s2.7s,2S,0.5,2,4.5008575,6e-07,even,,no,5.7863558,2.785515320334262e-08,"ASD 1/sum(Aki), J-resolved",2.785515320334262e-08,2/4,no,4.2265302,4.5008575,,,L10358
In I,In,0,5s2.7p,2P*,0.5,2,4.818203,4e-06,odd,,no,5.7863558,,,,,,,,,,L4218
In I,In,0,5s2.7p,2P*,1.5,4,4.832024,4e-06,odd,,no,5.7863558,,,,,,,,,,L4218
In I,In,0,5s2.6d,2D,1.5,4,4.841401,4e-06,even,,no,5.7863558,4.110152075626798e-08,"ASD 1/sum(Aki), J-resolved",4.110152075626798e-08,2/4,no,4.841401,4.841401,,,L4218
In I,In,0,5s2.6d,2D,2.5,6,4.847581,4e-06,even,,no,5.7863558,3.676470588235294e-08,"ASD 1/sum(Aki), J-resolved",3.676470588235294e-08,1/2,no,4.5732536999999995,4.5732536999999995,,,L4218
In I,In,0,5s2.4f,2F*,3.5,8,4.923114,4e-06,odd,,no,5.7863558,,,,,,,,,,L4218
In I,In,0,5s2.4f,2F*,2.5,6,4.923114,4e-06,odd,,no,5.7863558,,,,,,,,,,L4218
In I,In,0,5s2.8s,2S,0.5,2,5.038343,4e-06,even,,no,5.7863558,6.510416666666667e-08,"ASD 1/sum(Aki), J-resolved",6.510416666666667e-08,2/4,no,4.7640157,5.038343,,,L10358
In I,In,0,5s2.8p,2P*,0.5,2,5.1859,3e-05,odd,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.8p,2P*,1.5,4,5.19264,3e-05,odd,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.7d,2D,1.5,4,5.187054,1e-05,even,,no,5.7863558,2.347417840375587e-07,"ASD 1/sum(Aki), J-resolved",2.347417840375587e-07,2/3,no,5.187054,5.187054,,,L4218
In I,In,0,5s2.7d,2D,2.5,6,5.190222,1e-05,even,,no,5.7863558,1.876172607879925e-07,"ASD 1/sum(Aki), J-resolved",1.876172607879925e-07,1/2,no,4.9158947,4.9158947,,,L4218
In I,In,0,5s2.5f,2F*,,14,5.234644,5e-06,odd,,no,5.7863558,,,,,,,,,,L4218
In I,In,0,5s2.9s,2S,0.5,2,5.296483,1.2e-05,even,,no,5.7863558,1.2121212121212122e-07,"ASD 1/sum(Aki), J-resolved",1.2121212121212122e-07,2/4,no,5.0221557,5.296483,,,L4218
In I,In,0,5s2.8d,2D,1.5,4,5.372971,5e-06,even,,no,5.7863558,7.092198581560284e-06,"ASD 1/sum(Aki), J-resolved",7.092198581560284e-06,1/3,no,5.372971,5.372971,,,L4218
In I,In,0,5s2.8d,2D,2.5,6,5.375345,5e-06,even,,no,5.7863558,1.2771392081736908e-06,"ASD 1/sum(Aki), J-resolved",1.2771392081736908e-06,1/2,no,5.1010177,5.1010177,,,L4218
In I,In,0,5s2.9p,2P*,0.5,2,5.37708,3e-05,odd,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.9p,2P*,1.5,4,5.38086,3e-05,odd,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.6f,2F*,,14,5.403809,4e-06,odd,,no,5.7863558,,,,,,,,,,L4218
In I,In,0,5s2.10s,2S,0.5,2,5.440583,2.5e-05,even,,no,5.7863558,1.9880715705765407e-07,"ASD 1/sum(Aki), J-resolved",1.9880715705765407e-07,2/2,yes,5.1662557,5.440583,,,L4218
In I,In,0,5s2.9d,2D,1.5,4,5.484404,1.2e-05,even,,no,5.7863558,,,,,,,,,,L4218
In I,In,0,5s2.9d,2D,2.5,6,5.486272,6e-06,even,,no,5.7863558,,,,,,,,,,L4218
In I,In,0,5s2.10p,2P*,0.5,2,5.48942,3e-05,odd,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.10p,2P*,1.5,4,5.49177,3e-05,odd,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.7f,2F*,3.5,8,5.505681,4e-06,odd,,no,5.7863558,,,,,,,,,,L4218
In I,In,0,5s2.7f,2F*,2.5,6,5.505681,4e-06,odd,,no,5.7863558,,,,,,,,,,L4218
In I,In,0,5s2.11s,2S,0.5,2,5.52918,3e-05,even,,no,5.7863558,3.174603174603175e-07,"ASD 1/sum(Aki), J-resolved",3.174603174603175e-07,2/2,yes,5.2548527,5.52918,,,L3466
In I,In,0,5s2.10d,2D,1.5,4,5.55636,3e-05,even,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.10d,2D,2.5,6,5.55784,3e-05,even,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.11p,2P*,0.5,2,5.56109,3e-05,odd,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.11p,2P*,1.5,4,5.56265,3e-05,odd,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.8f,2F*,2.5,6,5.571702,7e-06,odd,,no,5.7863558,,,,,,,,,,L4218
In I,In,0,5s2.8f,2F*,3.5,8,5.571702,7e-06,odd,,no,5.7863558,,,,,,,,,,L4218
In I,In,0,5s2.12s,2S,0.5,2,5.58762,3e-05,even,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.11d,2D,1.5,4,5.60551,3e-05,even,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.11d,2D,2.5,6,5.6067,3e-05,even,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.9f,2F*,3.5,8,5.61689,3e-05,odd,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.9f,2F*,2.5,6,5.6169,3e-05,odd,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.13s,2S,0.5,2,5.62815,3e-05,even,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.12d,2D,1.5,4,5.64053,3e-05,even,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.12d,2D,2.5,6,5.64153,3e-05,even,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.10f,2F*,3.5,8,5.6492,3e-05,odd,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.10f,2F*,2.5,6,5.64922,3e-05,odd,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.14s,2S,0.5,2,5.65745,3e-05,even,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.13d,2D,1.5,4,5.66634,3e-05,even,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.13d,2D,2.5,6,5.6672,3e-05,even,,no,5.7863558,,,,,,,,,,L3466
In I,In,0,5s2.11f,2F*,2.5,6,5.67308,3e-05,odd,,no,5.7863558,,,,,,,,,,L3466
