Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""5s2""","=""1S""","=""0""",1,"=""""","=""0.0000000000000""","=""""","=""0.0000000000000""","=""  98                             ""","=""L18318"""
"=""5s.5p""","=""3P*""","=""0""",1,"=""""","=""5.2415553834603""","=""""","=""0.0000000000010""","="" 100                             ""","=""L18318"""
"=""5s.5p""","=""3P*""","=""1""",3,"=""""","=""5.37478712""","=""""","=""0.00000019""","=""  99                             ""","=""L18318"""
"=""5s.5p""","=""3P*""","=""2""",5,"=""""","=""5.6821036""","=""""","=""0.0000007""","="" 100                             ""","=""L18318"""
"=""5s.5p""","=""1P*""","=""1""",3,"=""""","=""7.8157836""","=""""","=""0.0000012""","=""  98                             ""","=""L18318"""
"=""5s.6s""","=""3S""","=""1""",3,"=""""","=""11.6450775""","=""""","=""0.0000006""","="" 100                             ""","=""L18318"""
"=""5s.6s""","=""1S""","=""0""",1,"=""""","=""12.0302131""","=""""","=""0.0000015""","=""  99                             ""","=""L18318"""
"=""5s.5d""","=""1D""","=""2""",5,"=""""","=""12.1043834""","=""""","=""0.0000011""","=""  67         :    31  5p2   1D   ""","=""L18318"""
"=""5p2""","=""3P""","=""0""",1,"=""""","=""12.597794""","=""""","=""0.000025""","=""  97                             ""","=""L18318"""
"=""5p2""","=""3P""","=""1""",3,"=""""","=""12.801293""","=""""","=""0.000024""","="" 100                             ""","=""L18318"""
"=""5p2""","=""3P""","=""2""",5,"=""""","=""13.0884270""","=""""","=""0.0000015""","=""  96                             ""","=""L18318"""
"=""5s.5d""","=""3D""","=""1""",3,"=""""","=""12.657388""","=""""","=""0.000005""","="" 100                             ""","=""L18318"""
"=""5s.5d""","=""3D""","=""2""",5,"=""""","=""12.668047""","=""""","=""0.000004""","="" 100                             ""","=""L18318"""
"=""5s.5d""","=""3D""","=""3""",7,"=""""","=""12.6846246""","=""""","=""0.0000025""","="" 100                             ""","=""L18318"""
"=""5s.6p""","=""3P*""","=""0""",1,"=""""","=""13.3484744""","=""""","=""0.0000007""","="" 100                             ""","=""L18318"""
"=""5s.6p""","=""3P*""","=""1""",3,"=""""","=""13.3707029""","=""""","=""0.0000007""","=""  96         :     4        1P*  ""","=""L18318"""
"=""5s.6p""","=""3P*""","=""2""",5,"=""""","=""13.4436484""","=""""","=""0.0000007""","="" 100                             ""","=""L18318"""
"=""5s.6p""","=""1P*""","=""1""",3,"=""""","=""13.6110127""","=""""","=""0.0000010""","=""  94         :     4        3P*  ""","=""L18318"""
"=""5p2""","=""1D""","=""2""",5,"=""""","=""14.1199304""","=""""","=""0.0000014""","=""  58         :    27  5s.5d 1D   ""","=""L18318"""
"=""5p2""","=""1S""","=""0""",1,"=""""","=""15.037985""","=""""","=""0.000004""","=""  56         :    42  5s.7s 1S   ""","=""L18318"""
"=""5s.7s""","=""3S""","=""1""",3,"=""""","=""15.0569561""","=""""","=""0.0000015""","="" 100                             ""","=""L18318"""
"=""5s.7s""","=""1S""","=""0""",1,"=""""","=""15.2962837""","=""""","=""0.0000022""","=""  57         :    39  5p2   1S   ""","=""L18318"""
"=""5s.4f""","=""3F*""","=""2""",5,"=""""","=""15.329772""","=""""","=""0.000004""","="" 100                             ""","=""L18318"""
"=""5s.4f""","=""3F*""","=""3""",7,"=""""","=""15.330410""","=""""","=""0.000003""","="" 100                             ""","=""L18318"""
"=""5s.4f""","=""3F*""","=""4""",9,"=""""","=""15.332487""","=""""","=""0.000004""","="" 100                             ""","=""L18318"""
"=""5s.4f""","=""1F*""","=""3""",7,"=""""","=""15.3367424""","=""""","=""0.0000012""","="" 100                             ""","=""L18318"""
"=""5s.6d""","=""3D""","=""1""",3,"=""""","=""15.4661273""","=""""","=""0.0000007""","="" 100                             ""","=""L18318"""
"=""5s.6d""","=""3D""","=""2""",5,"=""""","=""15.4703409""","=""""","=""0.0000007""","="" 100                             ""","=""L18318"""
"=""5s.6d""","=""3D""","=""3""",7,"=""""","=""15.4769693""","=""""","=""0.0000010""","="" 100                             ""","=""L18318"""
"=""5s.6d""","=""1D""","=""2""",5,"=""""","=""15.7051956""","=""""","=""0.0000010""","=""  88         :     7  5p2   1D   ""","=""L18318"""
"=""5s.7p""","=""3P*""","=""0""",1,"=""""","=""15.737671""","=""""","=""0.000003""","="" 100                             ""","=""L18318"""
"=""5s.7p""","=""3P*""","=""1""",3,"=""""","=""15.7453596""","=""""","=""0.0000014""","=""  91         :     9        1P*  ""","=""L18318"""
"=""5s.7p""","=""3P*""","=""2""",5,"=""""","=""15.7774935""","=""""","=""0.0000009""","="" 100                             ""","=""L18318"""
"=""5s.7p""","=""1P*""","=""1""",3,"=""""","=""15.8170757""","=""""","=""0.0000012""","=""  90         :     9        3P*  ""","=""L18318"""
"=""5s.8s""","=""3S""","=""1""",3,"=""""","=""16.4988886""","=""""","=""0.0000009""","="" 100                             ""","=""L18318"""
"=""5s.8s""","=""1S""","=""0""",1,"=""""","=""16.5586330""","=""""","=""0.0000017""","=""  98                             ""","=""L18318"""
"=""5s.5f""","=""3F*""","=""2""",5,"=""""","=""16.606535""","=""""","=""0.000005""","="" 100                             ""","=""L18318"""
"=""5s.5f""","=""3F*""","=""3""",7,"=""""","=""16.607029""","=""""","=""0.000007""","="" 100                             ""","=""L18318"""
"=""5s.5f""","=""3F*""","=""4""",9,"=""""","=""16.609031""","=""""","=""0.000004""","="" 100                             ""","=""L18318"""
"=""5s.5f""","=""1F*""","=""3""",7,"=""""","=""16.612004""","=""""","=""0.000007""","="" 100                             ""","=""L18318"""
"=""5s<1/2,F=4>.5g""","=""""","=""""",7,"=""""","=""16.677391""","=""""","=""0.000007""","=""                                 ""","=""L18318"""
"=""5s<1/2,F=5>.5g""","=""""","=""""",11,"=""""","=""16.677876""","=""""","=""0.000007""","=""                                 ""","=""L18318"""
"=""5s.7d""","=""3D""","=""1""",3,"=""""","=""16.7039556""","=""""","=""0.0000012""","="" 100                             ""","=""L18318"""
"=""5s.7d""","=""3D""","=""2""",5,"=""""","=""16.7061292""","=""""","=""0.0000011""","="" 100                             ""","=""L18318"""
"=""5s.7d""","=""3D""","=""3""",7,"=""""","=""16.7095856""","=""""","=""0.0000011""","="" 100                             ""","=""L18318"""
"=""5s.7d""","=""1D""","=""2""",5,"=""""","=""16.7875008""","=""""","=""0.0000012""","=""  95                             ""","=""L18318"""
"=""5s.8p""","=""3P*""","=""0""",1,"=""[""","=""16.8399""","=""]""","=""0.0014""","="" 100                             ""","=""L18318"""
"=""5s.8p""","=""3P*""","=""1""",3,"=""""","=""16.844694""","=""""","=""0.000006""","=""  86         :    14        1P*  ""","=""L18318"""
"=""5s.8p""","=""3P*""","=""2""",5,"=""""","=""16.86177""","=""""","=""0.00003""","="" 100                             ""","=""L18318"""
"=""5s.8p""","=""1P*""","=""1""",3,"=""""","=""16.873869""","=""""","=""0.000011""","=""  85         :    14        3P*  ""","=""L18318"""
"=""5s.9s""","=""3S""","=""1""",3,"=""""","=""17.250796""","=""""","=""0.000003""","="" 100                             ""","=""L18318"""
"=""5s.9s""","=""1S""","=""0""",1,"=""""","=""17.281823""","=""""","=""0.000006""","=""  99                             ""","=""L18318"""
"=""5s.6f""","=""3F*""","=""2""",5,"=""""","=""17.301923""","=""""","=""0.000012""","="" 100                             ""","=""L18318"""
"=""5s.6f""","=""3F*""","=""3""",7,"=""""","=""17.302336""","=""""","=""0.000009""","="" 100                             ""","=""L18318"""
"=""5s.6f""","=""3F*""","=""4""",9,"=""""","=""17.304148""","=""""","=""0.000017""","="" 100                             ""","=""L18318"""
"=""5s.6f""","=""1F*""","=""3""",7,"=""""","=""17.306476""","=""""","=""0.000011""","="" 100                             ""","=""L18318"""
"=""5s<1/2,F=4>.6g""","=""""","=""""",7,"=""""","=""17.348087""","=""""","=""0.000009""","=""                                 ""","=""L18318"""
"=""5s<1/2,F=5>.6g""","=""""","=""""",11,"=""""","=""17.348547""","=""""","=""0.000009""","=""                                 ""","=""L18318"""
"=""5s<1/2,F=4>.6h""","=""""","=""""",9,"=""[""","=""17.3553""","=""]""","=""0.0004""","=""                                 ""","=""L18318"""
"=""5s<1/2,F=5>.6h""","=""""","=""""",11,"=""[""","=""17.3558""","=""]""","=""0.0004""","=""                                 ""","=""L18318"""
"=""5s.8d""","=""3D""","=""1""",3,"=""""","=""17.367983""","=""""","=""0.000004""","="" 100                             ""","=""L18318"""
"=""5s.8d""","=""3D""","=""2""",5,"=""""","=""17.369274""","=""""","=""0.000005""","="" 100                             ""","=""L18318"""
"=""5s.8d""","=""3D""","=""3""",7,"=""""","=""17.371308""","=""""","=""0.000006""","="" 100                             ""","=""L18318"""
"=""5s.8d""","=""1D""","=""2""",5,"=""""","=""17.408418""","=""""","=""0.000006""","=""  97                             ""","=""L18318"""
"=""5s.9p""","=""3P*""","=""0""",1,"=""[""","=""17.4466""","=""]""","=""0.0021""","="" 100                             ""","=""L18318"""
"=""5s.9p""","=""3P*""","=""1""",3,"=""""","=""17.448865""","=""""","=""0.000006""","=""  85         :    15        1P*  ""","=""L18318"""
"=""5s.9p""","=""3P*""","=""2""",5,"=""""","=""17.459762""","=""""","=""0.000022""","="" 100                             ""","=""L18318"""
"=""5s.9p""","=""1P*""","=""1""",3,"=""""","=""17.462554""","=""""","=""0.000005""","=""  84         :    15        3P*  ""","=""L18318"""
"=""5s.10s""","=""3S""","=""1""",3,"=""""","=""17.693577""","=""""","=""0.000003""","="" 100                             ""","=""L18318"""
"=""5s.10s""","=""1S""","=""0""",1,"=""""","=""17.711993""","=""""","=""0.000004""","=""  99                             ""","=""L18318"""
"=""5s.7f""","=""3F*""","=""2""",5,"=""""","=""17.720790""","=""""","=""0.000004""","="" 100                             ""","=""L18318"""
"=""5s.7f""","=""3F*""","=""3""",7,"=""""","=""17.721089""","=""""","=""0.000006""","="" 100                             ""","=""L18318"""
"=""5s.7f""","=""3F*""","=""4""",9,"=""""","=""17.722702""","=""""","=""0.000019""","="" 100                             ""","=""L18318"""
"=""5s.7f""","=""1F*""","=""3""",7,"=""""","=""17.724752""","=""""","=""0.000011""","="" 100                             ""","=""L18318"""
"=""5s<1/2,F=4>.7g""","=""""","=""""",7,"=""""","=""17.752537""","=""""","=""0.000006""","=""                                 ""","=""L18318"""
"=""5s<1/2,F=5>.7g""","=""""","=""""",11,"=""""","=""17.752979""","=""""","=""0.000006""","=""                                 ""","=""L18318"""
"=""5s<1/2,F=4>.7h""","=""""","=""""",9,"=""[""","=""17.75736""","=""]""","=""0.00012""","=""                                 ""","=""L18318"""
"=""5s<1/2,F=5>.7h""","=""""","=""""",11,"=""[""","=""17.75780""","=""]""","=""0.00012""","=""                                 ""","=""L18318"""
"=""5s.9d""","=""3D""","=""1""",3,"=""""","=""17.766746""","=""""","=""0.000005""","="" 100                             ""","=""L18318"""
"=""5s.9d""","=""3D""","=""2""",5,"=""""","=""17.767582""","=""""","=""0.000004""","="" 100                             ""","=""L18318"""
"=""5s.9d""","=""3D""","=""3""",7,"=""""","=""17.768892""","=""""","=""0.000017""","="" 100                             ""","=""L18318"""
"=""5s.9d""","=""1D""","=""2""",5,"=""""","=""17.789735""","=""""","=""0.000009""","=""  97                             ""","=""L18318"""
"=""5s.10p""","=""3P*""","=""0""",1,"=""[""","=""17.8136""","=""]""","=""0.0021""","="" 100                             ""","=""L18318"""
"=""5s.10p""","=""3P*""","=""1""",3,"=""""","=""17.817340""","=""""","=""0.000010""","=""  88                             ""","=""L18318"""
"=""5s.10p""","=""3P*""","=""2""",5,"=""""","=""17.82160""","=""""","=""0.00004""","="" 100                             ""","=""L18318"""
"=""5s.10p""","=""1P*""","=""1""",3,"=""""","=""17.824353""","=""""","=""0.000010""","=""  87                             ""","=""L18318"""
"=""5s.11s""","=""3S""","=""1""",3,"=""""","=""17.976468""","=""""","=""0.000005""","="" 100                             ""","=""L18318"""
