Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
K 2Po;v=3p6.4p,K 2S;v=3p6.4s,2.6781e-08,-1.60992247446914
K 2S;v=3p6.5s,K 2Po;v=3p6.4p,4.2068e-08,-0.9969835340384599
K 2D;v=3p6.3d,K 2Po;v=3p6.4p,4.1418e-08,-1.0602636091215598
K 2D;v=3p6.3d,K 2S;v=3p6.4s,0.0064935,-2.6701860835907
K 2Po;v=3p6.5p,K 2S;v=3p6.5s,2.2075e-07,-0.45560662209124025
K 2Po;v=3p6.5p,K 2D;v=3p6.3d,6.0606e-07,-0.3923265470081403
K 2Po;v=3p6.5p,K 2S;v=3p6.4s,9.3458e-07,-3.06251263059884
K 2D;v=3p6.4d,K 2Po;v=3p6.5p,2.896e-07,-0.3343404750716896
K 2D;v=3p6.4d,K 2Po;v=3p6.4p,4.6729e-05,-1.7869306312013897
K 2S;v=3p6.6s,K 2Po;v=3p6.4p,1.3412e-07,-1.7934520495975002
K 2S;v=3p6.6s,K 2Po;v=3p6.5p,1.5193e-07,-0.34086189346780005
K 2Fo;v=3p6.4f,K 2D;v=3p6.3d,6.3837e-08,-0.8171362046584703
K 2Fo;v=3p6.4f,K 2D;v=3p6.4d,1.1249e-05,-0.09046918257864034
K 2Po;v=3p6.6p,K 2D;v=3p6.4d,1.2048e-06,-0.1985189189323302
K 2Po;v=3p6.6p,K 2D;v=3p6.3d,2.2371e-06,-0.9251859410121601
K 2Po;v=3p6.6p,K 2S;v=3p6.5s,2.4038e-06,-0.9884660160952601
K 2Po;v=3p6.6p,K 2S;v=3p6.4s,6.8965e-06,-3.59537202460286
K 2D;v=3p6.5d,K 2Po;v=3p6.4p,2.8794e-06,-2.13254100992719
K 2D;v=3p6.5d,K 2Po;v=3p6.5p,1.1696e-05,-0.6799508537974899
K 2Fo;v=3p6.5f,K 2D;v=3p6.3d,1.5302e-07,-1.1244735442421203
K 2Fo;v=3p6.5f,K 2D;v=3p6.4d,5.0176e-07,-0.3978065221622904
K 2D;v=3p6.6d,K 2Po;v=3p6.4p,2.1413e-06,-2.31981482147307
K 2D;v=3p6.6d,K 2Po;v=3p6.5p,0.0010526,-0.86722466534337
K 2Fo;v=3p6.6f,K 2D;v=3p6.3d,2.91e-07,-1.29141441630206
K 2Fo;v=3p6.6f,K 2D;v=3p6.4d,7.5872e-07,-0.5647473942222301
