conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3p6.4s,2S,0.5,2.0,0.0,3p6.4p,2P*,0.5,2.0,1.609958,1.609958,770.10835,37340000.0,0.332,0.664,0.0088113
3p6.4s,2S,0.5,2.0,0.0,3p6.4p,2P*,1.5,4.0,1.617113,1.617113,766.70089,37790000.0,0.66607,1.3321,0.017677
3p6.4s,2S,0.5,2.0,0.0,3p6.3d,2D,2.5,6.0,2.66996,2.66996,464.36725,154.0,1.4936e-06,2.9871e-06,3.9639e-08
3p6.4s,2S,0.5,2.0,0.0,3p6.3d,2D,1.5,4.0,2.670246,2.670246,464.31748,154.0,9.955e-07,1.991e-06,2.6421e-08
3p6.4s,2S,0.5,2.0,0.0,3p6.5p,2P*,0.5,2.0,3.062581,3.062581,404.83565,1070000.0,0.0026291,0.0052581,6.9775e-05
3p6.4s,2S,0.5,2.0,0.0,3p6.5p,2P*,1.5,4.0,3.064907,3.064907,404.52847,1150000.0,0.0056427,0.011285,0.00014976
3p6.4s,2S,0.5,2.0,0.0,3p6.6p,2P*,0.5,2.0,3.595451,3.595451,344.83629,145000.0,0.0002585,0.00051699,6.8605e-06
3p6.4s,2S,0.5,2.0,0.0,3p6.6p,2P*,1.5,4.0,3.596498,3.596498,344.7359,165000.0,0.00058796,0.0011759,1.5604e-05
3p6.4s,2S,0.5,2.0,0.0,3p6.7p,2P*,0.5,2.0,3.852177,3.852177,321.85488,40000.0,6.2121e-05,0.00012424,1.6487e-06
3p6.4s,2S,0.5,2.0,0.0,3p6.7p,2P*,1.5,4.0,3.852735,3.852735,321.80827,50100.0,0.00015557,0.00031114,4.1288e-06
3p6.4s,2S,0.5,2.0,0.0,3p6.8p,2P*,0.5,2.0,3.995693,3.995693,310.29461,12200.0,1.761e-05,3.5221e-05,4.6738e-07
3p6.4s,2S,0.5,2.0,0.0,3p6.8p,2P*,1.5,4.0,3.996024,3.996024,310.2689,16200.0,4.6761e-05,9.3521e-05,1.241e-06
3p6.4s,2S,0.5,2.0,0.0,3p6.9p,2P*,0.5,2.0,4.084065,4.084065,303.5804,4780.0,6.6044e-06,1.3209e-05,1.7528e-07
3p6.4s,2S,0.5,2.0,0.0,3p6.9p,2P*,1.5,4.0,4.084278,4.084278,303.56452,6740.0,1.8623e-05,3.7246e-05,4.9426e-07
3p6.4s,2S,0.5,2.0,0.0,3p6.10p,2P*,0.5,2.0,4.142341,4.142341,299.30951,2120.0,2.8473e-06,5.6946e-06,7.5568e-08
3p6.4s,2S,0.5,2.0,0.0,3p6.10p,2P*,1.5,4.0,4.142486,4.142486,299.29905,3160.0,8.4876e-06,1.6975e-05,2.2526e-07
3p6.4s,2S,0.5,2.0,0.0,3p6.11p,2P*,0.5,2.0,4.182793,4.182793,296.41488,1100.0,1.4489e-06,2.8979e-06,3.8455e-08
3p6.4s,2S,0.5,2.0,0.0,3p6.11p,2P*,1.5,4.0,4.182896,4.182896,296.40759,1730.0,4.5574e-06,9.1147e-06,1.2095e-07
3p6.4s,2S,0.5,2.0,0.0,3p6.12p,2P*,0.5,2.0,4.212017,4.212017,294.35827,682.0,8.8592e-07,1.7718e-06,2.3512e-08
3p6.4s,2S,0.5,2.0,0.0,3p6.12p,2P*,1.5,4.0,4.212092,4.212092,294.353,1130.0,2.9357e-06,5.8713e-06,7.7912e-08
3p6.4s,2S,0.5,2.0,0.0,3p6.13p,2P*,0.5,2.0,4.233816,4.233816,292.84268,469.0,6.0298e-07,1.206e-06,1.6003e-08
3p6.4s,2S,0.5,2.0,0.0,3p6.13p,2P*,1.5,4.0,4.233873,4.233873,292.83875,815.0,2.0956e-06,4.1912e-06,5.5617e-08
3p6.4p,2P*,0.5,2.0,1.609958,3p6.5s,2S,0.5,2.0,2.60696,0.997002,1243.56989,7951000.0,0.18434,0.36868,0.0048924
3p6.4p,2P*,0.5,2.0,1.609958,3p6.3d,2D,1.5,4.0,2.670246,1.060288,1169.34415,20170000.0,0.82695,1.6539,0.021947
3p6.4p,2P*,0.5,2.0,1.609958,3p6.4d,2D,1.5,4.0,3.396937,1.786979,693.81994,19000.0,0.00027424,0.00054849,7.2784e-06
3p6.4p,2P*,0.5,2.0,1.609958,3p6.6s,2S,0.5,2.0,3.403454,1.793496,691.29882,2500000.0,0.017911,0.035823,0.00047537
3p6.4p,2P*,0.5,2.0,1.609958,3p6.5d,2D,1.5,4.0,3.742556,2.132598,581.37636,286000.0,0.0028985,0.005797,7.6926e-05
3p6.4p,2P*,0.5,2.0,1.609958,3p6.7s,2S,0.5,2.0,3.753528,2.143571,578.40033,1186000.0,0.0059484,0.011897,0.00015787
3p6.4p,2P*,0.5,2.0,1.609958,3p6.6d,2D,1.5,4.0,3.929824,2.319866,534.44555,386000.0,0.0033059,0.0066117,8.7737e-05
3p6.4p,2P*,0.5,2.0,1.609958,3p6.8s,2S,0.5,2.0,3.938405,2.328447,532.47594,662000.0,0.002814,0.0056279,7.4682e-05
3p6.4p,2P*,0.5,2.0,1.609958,3p6.7d,2D,1.5,4.0,4.041692,2.431734,509.8592,339000.0,0.0026423,0.0052847,7.0128e-05
3p6.4p,2P*,0.5,2.0,1.609958,3p6.9s,2S,0.5,2.0,4.04788,2.437922,508.56512,407400.0,0.0015797,0.0031594,4.1925e-05
3p6.4p,2P*,0.5,2.0,1.609958,3p6.8d,2D,1.5,4.0,4.113577,2.503619,495.21997,269000.0,0.0019781,0.0039561,5.2498e-05
3p6.4p,2P*,0.5,2.0,1.609958,3p6.10s,2S,0.5,2.0,4.118039,2.508081,494.33881,269000.0,0.00098551,0.001971,2.6155e-05
3p6.4p,2P*,0.5,2.0,1.609958,3p6.9d,2D,1.5,4.0,4.162413,2.552455,485.74486,210000.0,0.0014857,0.0029714,3.943e-05
3p6.4p,2P*,0.5,2.0,1.609958,3p6.11s,2S,0.5,2.0,4.16569,2.555733,485.12194,187100.0,0.00066014,0.0013203,1.752e-05
3p6.4p,2P*,0.5,2.0,1.609958,3p6.10d,2D,1.5,4.0,4.197069,2.587111,479.23806,130000.0,0.00089523,0.0017905,2.3759e-05
3p6.4p,2P*,0.5,2.0,1.609958,3p6.12s,2S,0.5,2.0,4.199528,2.58957,478.7829,103000.0,0.00035398,0.00070795,9.3945e-06
3p6.4p,2P*,0.5,2.0,1.609958,3p6.11d,2D,1.5,4.0,4.222535,2.612577,474.56672,98000.0,0.00066177,0.0013235,1.7564e-05
3p6.4p,2P*,0.5,2.0,1.609958,3p6.13s,2S,0.5,2.0,4.224419,2.614461,474.22462,80000.0,0.00026972,0.00053945,7.1584e-06
3p6.4p,2P*,1.5,4.0,1.617113,3p6.5s,2S,0.5,2.0,2.60696,0.989847,1252.5591,15820000.0,0.18605,0.7442,0.0049378
3p6.4p,2P*,1.5,4.0,1.617113,3p6.3d,2D,2.5,6.0,2.66996,1.052847,1177.6089,23830000.0,0.74315,2.9726,0.019723
3p6.4p,2P*,1.5,4.0,1.617113,3p6.3d,2D,1.5,4.0,2.670246,1.053133,1177.28887,3974000.0,0.082576,0.3303,0.0021916
3p6.4p,2P*,1.5,4.0,1.617113,3p6.4d,2D,2.5,6.0,3.396805,1.779692,696.66115,13700.0,0.00014953,0.0005981,3.9684e-06
3p6.4p,2P*,1.5,4.0,1.617113,3p6.4d,2D,1.5,4.0,3.396937,1.779824,696.6092,2400.0,1.746e-05,6.9841e-05,4.6339e-07
3p6.4p,2P*,1.5,4.0,1.617113,3p6.6s,2S,0.5,2.0,3.403454,1.786341,694.06781,4956000.0,0.017896,0.071585,0.00047497
3p6.4p,2P*,1.5,4.0,1.617113,3p6.5d,2D,2.5,6.0,3.742493,2.12538,583.35065,371000.0,0.0028391,0.011356,7.535e-05
3p6.4p,2P*,1.5,4.0,1.617113,3p6.5d,2D,1.5,4.0,3.742556,2.125443,583.33353,61300.0,0.00031272,0.0012509,8.2996e-06
3p6.4p,2P*,1.5,4.0,1.617113,3p6.7s,2S,0.5,2.0,3.753528,2.136415,580.33748,2348000.0,0.0059277,0.023711,0.00015732
3p6.4p,2P*,1.5,4.0,1.617113,3p6.6d,2D,2.5,6.0,3.929791,2.312678,536.10667,486000.0,0.0031412,0.012565,8.3366e-05
3p6.4p,2P*,1.5,4.0,1.617113,3p6.6d,2D,1.5,4.0,3.929824,2.312711,536.09904,81000.0,0.00034901,0.001396,9.2627e-06
3p6.4p,2P*,1.5,4.0,1.617113,3p6.8s,2S,0.5,2.0,3.938405,2.321292,534.11725,1311000.0,0.0028035,0.011214,7.4406e-05
3p6.4p,2P*,1.5,4.0,1.617113,3p6.7d,2D,2.5,6.0,4.041673,2.42456,511.36791,422000.0,0.0024816,0.0099264,6.5861e-05
3p6.4p,2P*,1.5,4.0,1.617113,3p6.7d,2D,1.5,4.0,4.041692,2.424579,511.36384,70100.0,0.00027481,0.0010993,7.2935e-06
3p6.4p,2P*,1.5,4.0,1.617113,3p6.9s,2S,0.5,2.0,4.04788,2.430767,510.06212,806400.0,0.0015726,0.0062905,4.1738e-05
3p6.4p,2P*,1.5,4.0,1.617113,3p6.8d,2D,2.5,6.0,4.113564,2.496451,496.64176,336000.0,0.0018637,0.0074548,4.9463e-05
3p6.4p,2P*,1.5,4.0,1.617113,3p6.8d,2D,1.5,4.0,4.113577,2.496464,496.63933,55600.0,0.0002056,0.00082239,5.4565e-06
3p6.4p,2P*,1.5,4.0,1.617113,3p6.10s,2S,0.5,2.0,4.118039,2.500926,495.75311,532200.0,0.00098047,0.0039219,2.6022e-05
3p6.4p,2P*,1.5,4.0,1.617113,3p6.9d,2D,2.5,6.0,4.162405,2.545292,487.11192,261000.0,0.0013927,0.0055707,3.6962e-05
3p6.4p,2P*,1.5,4.0,1.617113,3p6.9d,2D,1.5,4.0,4.162413,2.5453,487.11036,43800.0,0.00015581,0.00062323,4.1351e-06
3p6.4p,2P*,1.5,4.0,1.617113,3p6.11s,2S,0.5,2.0,4.16569,2.548577,486.48393,369800.0,0.00065604,0.0026242,1.7411e-05
3p6.4p,2P*,1.5,4.0,1.617113,3p6.10d,2D,2.5,6.0,4.197063,2.57995,480.56823,160000.0,0.00083096,0.0033238,2.2054e-05
3p6.4p,2P*,1.5,4.0,1.617113,3p6.10d,2D,1.5,4.0,4.197069,2.579956,480.56717,26000.0,9.002e-05,0.00036008,2.3891e-06
3p6.4p,2P*,1.5,4.0,1.617113,3p6.12s,2S,0.5,2.0,4.199528,2.582415,480.10948,207000.0,0.00035767,0.0014307,9.4925e-06
3p6.4p,2P*,1.5,4.0,1.617113,3p6.11d,2D,2.5,6.0,4.22253,2.605417,475.87076,120000.0,0.0006111,0.0024444,1.6219e-05
3p6.4p,2P*,1.5,4.0,1.617113,3p6.11d,2D,1.5,4.0,4.222535,2.605422,475.87,19000.0,6.4504e-05,0.00025802,1.7119e-06
3p6.4p,2P*,1.5,4.0,1.617113,3p6.13s,2S,0.5,2.0,4.224419,2.607306,475.52602,160000.0,0.00027121,0.0010848,7.1978e-06
3p6.5s,2S,0.5,2.0,2.60696,3p6.5p,2P*,0.5,2.0,3.062581,0.455621,2721.21403,4530000.0,0.5029,1.0058,0.013347
3p6.5s,2S,0.5,2.0,2.60696,3p6.5p,2P*,1.5,4.0,3.064907,0.457947,2707.39482,4580000.0,1.0066,2.0132,0.026715
3p6.5s,2S,0.5,2.0,2.60696,3p6.6p,2P*,0.5,2.0,3.595451,0.988491,1254.27759,416000.0,0.0098116,0.019623,0.0002604
3p6.5s,2S,0.5,2.0,2.60696,3p6.6p,2P*,1.5,4.0,3.596498,0.989538,1252.95048,435000.0,0.020476,0.040952,0.00054343
3p6.5s,2S,0.5,2.0,2.60696,3p6.7p,2P*,0.5,2.0,3.852177,1.245217,995.68355,115000.0,0.0017092,0.0034185,4.5363e-05
3p6.5s,2S,0.5,2.0,2.60696,3p6.7p,2P*,1.5,4.0,3.852735,1.245775,995.23757,124000.0,0.0036827,0.0073654,9.7739e-05
3p6.5s,2S,0.5,2.0,2.60696,3p6.8p,2P*,0.5,2.0,3.995693,1.388733,892.7865,47700.0,0.00057,0.00114,1.5128e-05
3p6.5s,2S,0.5,2.0,2.60696,3p6.8p,2P*,1.5,4.0,3.996024,1.389064,892.57376,52300.0,0.0012493,0.0024987,3.3157e-05
3p6.5s,2S,0.5,2.0,2.60696,3p6.9p,2P*,0.5,2.0,4.084065,1.477105,839.37318,24700.0,0.0002609,0.00052179,6.9242e-06
