obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""32.528""","=""0.002""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3496""",
"=""32.760""","=""0.002""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3496""",
"=""32.905""","=""0.002""","=""32.9053""","=""0.0020""","=""10""","=""""",,"=""0.0000""","=""37.6790""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).3d""","=""2D""","=""3/2""",4,4,,"=""""","=""L3496""",
"=""33.068""","=""0.002""","=""33.0683""","=""0.0020""","=""25""","=""""",,"=""0.0000""","=""37.4933""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).3d""","=""2D""","=""5/2""",4,6,,"=""""","=""L3496""",
"=""33.142""","=""0.002""","=""33.1415""","=""0.0020""","=""5""","=""""",,"=""0.268475""","=""37.6790""","=""3s2.3p5""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).3d""","=""2D""","=""3/2""",2,4,,"=""""","=""L3496""",
"=""34.192""","=""0.002""","=""""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3496""",
"=""34.540""","=""0.002""","=""34.5400""","=""0.0021""","=""10""","=""""",,"=""0.0000""","=""35.8958""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(1D).5s""","=""2D""","=""3/2""",4,4,,"=""""","=""L3496""",
"=""34.800""","=""0.002""","=""34.8003""","=""0.0021""","=""15""","=""""",,"=""0.268475""","=""35.8958""","=""3s2.3p5""","=""2P*""","=""1/2""","=""3s2.3p4.(1D).5s""","=""2D""","=""3/2""",2,4,,"=""""","=""L3496""",
"=""37.912""","=""0.002""","=""37.9118""","=""0.0021""","=""30""","=""""",,"=""0.0000""","=""32.7033""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""1/2""",4,2,,"=""""","=""L3496""",
"=""38.048""","=""0.002""","=""38.0477""","=""0.0021""","=""25""","=""""",,"=""0.0000""","=""32.5865""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""3/2""",4,4,,"=""""","=""L3496""",
"=""38.223""","=""0.002""","=""38.2256""","=""0.0020""","=""30""","=""""",,"=""0.268475""","=""32.7033""","=""3s2.3p5""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""1/2""",2,2,,"=""""","=""L3496""",
"=""39.863""","=""0.002""","=""39.8632""","=""0.0021""","=""15""","=""1.79e+10""",,"=""0.0000""","=""31.1024""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(1D).3d""","=""2S""","=""1/2""",4,2,,"=""T7942""","=""L3496""",
"=""40.210""","=""0.002""","=""40.2103""","=""0.0021""","=""20""","=""1.07e+10""",,"=""0.268475""","=""31.1024""","=""3s2.3p5""","=""2P*""","=""1/2""","=""3s2.3p4.(1D).3d""","=""2S""","=""1/2""",2,2,,"=""T7942""","=""L3496""",
