conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p5,2P*,0.5,2.0,0.268475,0.268475,4618.09101,0.118,1.8864e-08,7.5456e-08,5.0065e-10
3s2.3p5,2P*,1.5,4.0,0.0,3s.3p6,2S,0.5,2.0,16.1936,16.1936,76.5637,323000000.0,0.014193,0.056772,0.00037669
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(1D).3d,2P,1.5,4.0,22.9713,22.9713,53.97352,16900000.0,0.00073809,0.0029523,1.9589e-05
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(1D).3d,2D,1.5,4.0,23.6707,23.6707,52.37876,45400000.0,0.0018674,0.0074694,4.9559e-05
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(1D).3d,2D,2.5,6.0,23.8151,23.8151,52.06117,168000000.0,0.01024,0.040959,0.00027176
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(3P).3d,2F,2.5,6.0,24.9413,24.9413,49.7104,2230000.0,0.00012392,0.00049569,3.2889e-06
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(3P).4s,4P,2.5,6.0,25.717038,25.717038,48.21092,6690000.0,0.00034968,0.0013987,9.2804e-06
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(3P).4s,4P,1.5,4.0,25.87399,25.87399,47.91847,111000000.0,0.0038211,0.015284,0.00010141
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(3P).4s,2P,1.5,4.0,26.374588,26.374588,47.00896,7600000000.0,0.25179,1.0072,0.0066824
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(3P).4s,2P,0.5,2.0,26.56142,26.56142,46.6783,3060000000.0,0.049978,0.19991,0.0013264
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(1D).4s,2D,2.5,6.0,27.9028,27.9028,44.43432,4030000000.0,0.17893,0.71574,0.0047489
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(3P).3d,2P,1.5,4.0,29.8854,29.8854,41.48654,40100000000.0,1.0347,4.1388,0.027461
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(1S).4s,2S,0.5,2.0,29.9629,29.9629,41.37924,6240000000.0,0.08009,0.32036,0.0021256
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(3P).3d,2P,0.5,2.0,30.0722,30.0722,41.22884,14000000000.0,0.17839,0.71354,0.0047344
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(1S).3d,2D,2.5,6.0,30.317,30.317,40.89593,188000000.0,0.0070708,0.028283,0.00018766
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(1S).3d,2D,1.5,4.0,30.5014,30.5014,40.64869,5320000.0,0.00013178,0.00052714,3.4976e-06
3s2.3p5,2P*,1.5,4.0,0.0,3s2.3p4.(1D).3d,2S,0.5,2.0,31.1024,31.1024,39.86323,17900000000.0,0.21322,0.85288,0.0056589
3s2.3p5,2P*,0.5,2.0,0.268475,3s.3p6,2S,0.5,2.0,16.1936,15.925125,77.85446,161000000.0,0.01463,0.029261,0.00038829
3s2.3p5,2P*,0.5,2.0,0.268475,3s2.3p4.(1D).3d,2P,0.5,2.0,22.798,22.529525,55.03187,13300000.0,0.00060386,0.0012077,1.6027e-05
3s2.3p5,2P*,0.5,2.0,0.268475,3s2.3p4.(1D).3d,2P,1.5,4.0,22.9713,22.702825,54.61179,6960000.0,0.0006224,0.0012448,1.6519e-05
3s2.3p5,2P*,0.5,2.0,0.268475,3s2.3p4.(1D).3d,2D,1.5,4.0,23.6707,23.402225,52.97966,130000000.0,0.010941,0.021882,0.00029037
