spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
K V,K,4,3s2.3p3,4S*,1.5,4,0.0,0.00025,odd,,no,82.66,,,,,,,,,,L7185
K V,K,4,3s2.3p3,2D*,1.5,4,2.97717,0.00025,odd,,no,82.66,11.312217194570135,"ASD 1/sum(Aki), J-resolved",11.312217194570135,1/1,yes,2.97717,2.97717,,,L7185
K V,K,4,3s2.3p3,2D*,2.5,6,3.00657,0.00025,odd,,no,82.66,211.28248453917092,"ASD 1/sum(Aki), J-resolved",211.28248453917092,3/3,yes,3.00657,3.00657,,,L7185
K V,K,4,3s2.3p3,2P*,0.5,2,4.92938,0.00025,odd,,no,82.66,0.24446829368465056,"ASD 1/sum(Aki), J-resolved",0.24446829368465056,5/5,yes,4.92938,4.92938,,,L7185
K V,K,4,3s2.3p3,2P*,1.5,4,4.96931,0.00025,odd,,no,82.66,,,,,,,,,,L7185
K V,K,4,3s.3p4,4P,2.5,6,16.94077,0.00025,even,,no,82.66,2.631578947368421e-09,"ASD 1/sum(Aki), J-resolved",2.631578947368421e-09,1/1,yes,16.94077,16.94077,,,L7185
K V,K,4,3s.3p4,4P,1.5,4,17.11447,0.00025,even,,no,82.66,2.5839793281653747e-09,"ASD 1/sum(Aki), J-resolved",2.5839793281653747e-09,1/1,yes,17.11447,17.11447,,,L7185
K V,K,4,3s.3p4,4P,0.5,2,17.20952,0.00025,even,,no,82.66,2.5510204081632654e-09,"ASD 1/sum(Aki), J-resolved",2.5510204081632654e-09,1/1,yes,17.20952,17.20952,,,L7185
K V,K,4,3s.3p4,2D,1.5,4,21.02518,0.00025,even,,no,82.66,1.328374070138151e-09,"ASD 1/sum(Aki), J-resolved",1.328374070138151e-09,3/3,yes,18.048009999999998,18.048009999999998,,,L7185
K V,K,4,3s.3p4,2D,2.5,6,21.04084,0.00025,even,,no,82.66,1.3640703860319192e-09,"ASD 1/sum(Aki), J-resolved",1.3640703860319192e-09,3/3,yes,18.03427,18.06367,,,L7185
K V,K,4,3s2.3p2.(3P).3d,2P,1.5,4,24.15275,0.00025,even,,no,82.66,5.60161326462021e-10,"ASD 1/sum(Aki), J-resolved",5.60161326462021e-10,4/4,yes,21.14618,21.17558,,,L7185
K V,K,4,3s2.3p2.(3P).3d,2P,0.5,2,24.34197,0.00025,even,,no,82.66,5.412719891745602e-10,"ASD 1/sum(Aki), J-resolved",5.412719891745602e-10,3/3,yes,21.3648,21.3648,,,L7185
K V,K,4,3s.3p4,2S,0.5,2,25.51594,0.00025,even,,no,82.66,4.3122035360068995e-10,"ASD 1/sum(Aki), J-resolved",4.3122035360068995e-10,2/2,yes,20.54663,20.58656,,,L7185
K V,K,4,3s2.3p2.(3P).3d,4F,1.5,4,25.63,0.0012,even,,no,82.66,2.808988764044944e-05,"ASD 1/sum(Aki), J-resolved",2.808988764044944e-05,1/1,yes,25.63,25.63,,,L7185
K V,K,4,3s2.3p2.(3P).3d,4F,2.5,6,25.6852,0.0012,even,,no,82.66,1.1148272017837235e-05,"ASD 1/sum(Aki), J-resolved",1.1148272017837235e-05,1/1,yes,25.6852,25.6852,,,L7185
K V,K,4,3s2.3p2.(3P).3d,4D,2.5,6,27.5699,0.0012,even,,no,82.66,1.3927576601671308e-07,"ASD 1/sum(Aki), J-resolved",1.3927576601671308e-07,1/1,yes,27.5699,27.5699,,,L7185
K V,K,4,3s2.3p2.(3P).3d,4D,1.5,4,27.6126,0.0012,even,,no,82.66,1.3192612137203167e-07,"ASD 1/sum(Aki), J-resolved",1.3192612137203167e-07,1/1,yes,27.6126,27.6126,,,L7185
K V,K,4,3s2.3p2.(3P).3d,4P,2.5,6,31.9712,0.0012,even,,no,82.66,2.3474178403755868e-11,"ASD 1/sum(Aki), J-resolved",2.3474178403755868e-11,1/1,yes,31.9712,31.9712,,,L7185
K V,K,4,3s2.3p2.(3P).3d,4P,1.5,4,32.1461,0.0012,even,,no,82.66,1.160092807424594e-09,"ASD 1/sum(Aki), J-resolved",1.160092807424594e-09,2/2,yes,29.139529999999997,29.168929999999996,,,L7185
K V,K,4,3s2.3p2.(3P).3d,4P,0.5,2,32.2019,0.0012,even,,no,82.66,,,,,,,,,,L7185
K V,K,4,3s.3p4,2P,1.5,4,32.1389,0.0012,even,,no,82.66,6.101281269066504e-10,"ASD 1/sum(Aki), J-resolved",6.101281269066504e-10,2/2,yes,27.16959,27.209519999999998,,,L7185
K V,K,4,3s.3p4,2P,0.5,2,32.3452,0.0012,even,,no,82.66,3.349298322001541e-11,"ASD 1/sum(Aki), J-resolved",3.349298322001541e-11,4/4,yes,29.368029999999997,32.3452,,,L7185
K V,K,4,3s2.3p2.(1D).3d,2D,2.5,6,34.7881,0.0012,even,,no,82.66,2.8935185185185184e-11,"ASD 1/sum(Aki), J-resolved",2.8935185185185184e-11,3/3,yes,31.78153,31.81093,,,L7185
K V,K,4,3s2.3p2.(1D).3d,2D,1.5,4,34.8439,0.0012,even,,no,82.66,2.7896337210924207e-11,"ASD 1/sum(Aki), J-resolved",2.7896337210924207e-11,3/3,yes,31.866729999999997,31.866729999999997,,,L7185
K V,K,4,3s2.3p2.(1D).3d,2P,1.5,4,35.9847,0.0012,even,,no,82.66,3.401360544217687e-11,"ASD 1/sum(Aki), J-resolved",3.401360544217687e-11,1/2,no,31.015389999999996,32.97812999999999,,,L7185
K V,K,4,3s2.3p2.(1D).3d,2P,0.5,2,36.0526,0.0012,even,,no,82.66,2.7808676307007787e-11,"ASD 1/sum(Aki), J-resolved",2.7808676307007787e-11,2/2,yes,31.123219999999996,31.123219999999996,,,L7185
K V,K,4,3s2.3p2.(1D).3d,2F,2.5,6,36.265,0.0012,even,,no,82.66,1.908761213972132e-11,"ASD 1/sum(Aki), J-resolved",1.908761213972132e-11,2/2,yes,33.28783,33.28783,,,L7185
