conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2D*,1.5,4.0,2.97717,2.97717,416.44984,0.0884,2.2985e-10,9.1938e-10,6.1001e-12
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2D*,2.5,6.0,3.00657,3.00657,412.37755,0.00459,1.7553e-11,7.0212e-11,4.6586e-13
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2P*,0.5,2.0,4.92938,4.92938,251.52088,0.00051,2.4185e-13,9.674e-13,6.4187e-15
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p3,2P*,0.5,2.0,4.92938,4.92938,251.52088,2.4,1.1381e-09,4.5525e-09,3.0206e-11
3s2.3p3,4S*,1.5,4.0,0.0,3s.3p4,4P,2.5,6.0,16.94077,16.94077,73.18687,380000000.0,0.045772,0.18309,0.0012148
3s2.3p3,4S*,1.5,4.0,0.0,3s.3p4,4P,1.5,4.0,17.11447,17.11447,72.44408,387000000.0,0.030449,0.1218,0.00080812
3s2.3p3,4S*,1.5,4.0,0.0,3s.3p4,4P,0.5,2.0,17.20952,17.20952,72.04396,392000000.0,0.015251,0.061006,0.00040477
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p2.(3P).3d,4F,1.5,4.0,25.63,25.63,48.37464,35600.0,1.2489e-06,4.9958e-06,3.3147e-08
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p2.(3P).3d,4F,2.5,6.0,25.6852,25.6852,48.27068,89700.0,4.7001e-06,1.8801e-05,1.2474e-07
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p2.(3P).3d,4D,2.5,6.0,27.5699,27.5699,44.97086,7180000.0,0.00032654,0.0013062,8.6664e-06
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p2.(3P).3d,4D,1.5,4.0,27.6126,27.6126,44.90131,7580000.0,0.00022911,0.00091645,6.0806e-06
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p2.(3P).3d,4P,2.5,6.0,31.9712,31.9712,38.77996,42600000000.0,1.4407,5.7628,0.038236
3s2.3p3,4S*,1.5,4.0,0.0,3s.3p4,2P,0.5,2.0,32.3452,32.3452,38.33156,497000000.0,0.0054739,0.021896,0.00014528
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p2.(3P).4s,4P,0.5,2.0,41.7366,41.7366,29.70635,4680000000.0,0.030958,0.12383,0.00082163
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p2.(3P).4s,4P,1.5,4.0,41.8626,41.8626,29.61694,4710000000.0,0.061939,0.24775,0.0016438
3s2.3p3,4S*,1.5,4.0,0.0,3s2.3p2.(3P).4s,4P,2.5,6.0,42.052,42.052,29.48354,4780000000.0,0.093441,0.37376,0.0024799
3s2.3p3,2D*,1.5,4.0,2.97717,3s2.3p3,2D*,2.5,6.0,3.00657,0.0294,42171.49605,0.000143,5.7191e-09,2.2876e-08,1.5178e-10
3s2.3p3,2D*,1.5,4.0,2.97717,3s2.3p3,2D*,2.5,6.0,3.00657,0.0294,42171.49605,3.2e-12,1.2798e-16,5.1192e-16,3.3966e-18
3s2.3p3,2D*,1.5,4.0,2.97717,3s2.3p3,2P*,0.5,2.0,4.92938,1.95221,635.09663,1.2,3.6282e-09,1.4513e-08,9.6292e-11
3s2.3p3,2D*,1.5,4.0,2.97717,3s2.3p3,2P*,0.5,2.0,4.92938,1.95221,635.09663,0.3,9.0705e-10,3.6282e-09,2.4073e-11
3s2.3p3,2D*,1.5,4.0,2.97717,3s.3p4,2D,1.5,4.0,21.02518,18.04801,68.69688,649000000.0,0.045918,0.18367,0.0012187
3s2.3p3,2D*,1.5,4.0,2.97717,3s.3p4,2D,2.5,6.0,21.04084,18.06367,68.63732,29200000.0,0.0030935,0.012374,8.2102e-05
3s2.3p3,2D*,1.5,4.0,2.97717,3s2.3p2.(3P).3d,2P,1.5,4.0,24.15275,21.17558,58.55056,160000000.0,0.0082232,0.032893,0.00021824
3s2.3p3,2D*,1.5,4.0,2.97717,3s2.3p2.(3P).3d,2P,0.5,2.0,24.34197,21.3648,58.032,1640000000.0,0.041401,0.1656,0.0010988
3s2.3p3,2D*,1.5,4.0,2.97717,3s2.3p2.(3P).3d,4P,1.5,4.0,32.1461,29.16893,42.50557,267000000.0,0.0072321,0.028928,0.00019194
3s2.3p3,2D*,1.5,4.0,2.97717,3s.3p4,2P,0.5,2.0,32.3452,29.36803,42.2174,26500000000.0,0.35405,1.4162,0.0093964
3s2.3p3,2D*,1.5,4.0,2.97717,3s2.3p2.(1D).3d,2D,2.5,6.0,34.7881,31.81093,38.97535,2290000000.0,0.078229,0.31291,0.0020762
3s2.3p3,2D*,1.5,4.0,2.97717,3s2.3p2.(1D).3d,2D,1.5,4.0,34.8439,31.86673,38.9071,31100000000.0,0.70579,2.8232,0.018732
3s2.3p3,2D*,1.5,4.0,2.97717,3s2.3p2.(1D).3d,2F,2.5,6.0,36.265,33.28783,37.2461,48600000000.0,1.5162,6.0647,0.040239
3s2.3p3,2D*,1.5,4.0,2.97717,3s2.3p2.(3P).4s,2P,0.5,2.0,42.6183,39.64113,31.27666,11600000000.0,0.085061,0.34024,0.0022575
3s2.3p3,2D*,1.5,4.0,2.97717,3s2.3p2.(1D).4s,2D,1.5,4.0,44.2686,41.29143,30.02662,6130000000.0,0.082858,0.33143,0.002199
3s2.3p3,2D*,2.5,6.0,3.00657,3s2.3p3,2P*,0.5,2.0,4.92938,1.92281,644.80733,0.19,3.9478e-10,2.3687e-09,1.0477e-11
3s2.3p3,2D*,2.5,6.0,3.00657,3s.3p4,2D,1.5,4.0,21.02518,18.01861,68.80897,45200000.0,0.0021389,0.012834,5.6767e-05
3s2.3p3,2D*,2.5,6.0,3.00657,3s.3p4,2D,2.5,6.0,21.04084,18.03427,68.74922,620000000.0,0.043933,0.2636,0.001166
3s2.3p3,2D*,2.5,6.0,3.00657,3s2.3p2.(3P).3d,2P,1.5,4.0,24.15275,21.14618,58.63196,1500000000.0,0.051538,0.30923,0.0013678
3s2.3p3,2D*,2.5,6.0,3.00657,3s2.3p2.(3P).3d,4P,1.5,4.0,32.1461,29.13953,42.54846,595000000.0,0.010766,0.064596,0.00028573
3s2.3p3,2D*,2.5,6.0,3.00657,3s2.3p2.(1D).3d,2D,2.5,6.0,34.7881,31.78153,39.0114,31100000000.0,0.70958,4.2575,0.018832
3s2.3p3,2D*,2.5,6.0,3.00657,3s2.3p2.(1D).3d,2D,1.5,4.0,34.8439,31.83733,38.94303,3860000000.0,0.058508,0.35105,0.0015528
3s2.3p3,2D*,2.5,6.0,3.00657,3s2.3p2.(1D).3d,2F,2.5,6.0,36.265,33.25843,37.27903,3790000000.0,0.078964,0.47378,0.0020957
3s2.3p3,2D*,2.5,6.0,3.00657,3s2.3p2.(1D).3d,2F,3.5,8.0,36.3224,33.31583,37.2148,52300000000.0,1.4479,8.6873,0.038427
3s2.3p3,2D*,2.5,6.0,3.00657,3s2.3p2.(3P).4s,2P,1.5,4.0,42.8415,39.83493,31.12449,10000000000.0,0.096822,0.58093,0.0025696
3s2.3p3,2D*,2.5,6.0,3.00657,3s2.3p2.(1D).4s,2D,2.5,6.0,44.2638,41.25723,30.05151,6460000000.0,0.087463,0.52478,0.0023213
3s2.3p3,2P*,0.5,2.0,4.92938,3s.3p4,2D,1.5,4.0,21.02518,16.0958,77.02891,58600000.0,0.010425,0.020851,0.00027669
3s2.3p3,2P*,0.5,2.0,4.92938,3s2.3p2.(3P).3d,2P,1.5,4.0,24.15275,19.22337,64.4966,29200000.0,0.0036421,0.0072841,9.666e-05
3s2.3p3,2P*,0.5,2.0,4.92938,3s2.3p2.(3P).3d,2P,0.5,2.0,24.34197,19.41259,63.86793,154000000.0,0.0094177,0.018835,0.00024995
