obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""25.683""","=""0.002""","=""25.6829""","=""0.0020""","=""3""","=""3.75e+09""",,"=""0.140415""","=""48.415""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4s""","=""3P*""","=""2""",3,5,,"=""T4909""","=""L3496""",
"=""25.766""","=""0.002""","=""25.7655""","=""0.0020""","=""2""","=""4.78e+09""",,"=""0.00000""","=""48.120""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.4s""","=""3P*""","=""1""",1,3,,"=""T4909""","=""L3496""",
"=""25.802""","=""0.002""","=""25.8019""","=""0.0020""","=""4""","=""1.10e+10""",,"=""0.36293""","=""48.415""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4s""","=""3P*""","=""2""",5,5,,"=""T4909""","=""L3496""",
"=""25.841""","=""0.002""","=""25.8409""","=""0.0020""","=""1""","=""3.46e+09""",,"=""0.140415""","=""48.120""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4s""","=""3P*""","=""1""",3,3,,"=""T4909""","=""L3496""",
"=""25.887""","=""0.002""","=""25.8873""","=""0.0020""","=""3""","=""1.46e+10""",,"=""0.140415""","=""48.034""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4s""","=""3P*""","=""0""",3,1,,"=""T4909""","=""L3496""",
"=""25.961""","=""0.002""","=""25.9613""","=""0.0020""","=""2""","=""6.11e+09""",,"=""0.36293""","=""48.120""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4s""","=""3P*""","=""1""",5,3,,"=""T4909""","=""L3496""",
"=""26.634""","=""0.002""","=""26.6353""","=""0.0021""","=""4""","=""2.18e+10""",,"=""2.35295""","=""48.902""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.4s""","=""1P*""","=""1""",5,3,,"=""T4909""","=""L3496""",
"=""28.486""","=""0.002""","=""28.4851""","=""0.0024""","=""0""","=""3.34e+09""",,"=""5.37581""","=""48.902""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.4s""","=""1P*""","=""1""",1,3,,"=""T4909""","=""L3496""",
"=""37.494""","=""0.002""","=""37.4940""","=""0.0023""","=""5""","=""3.38e+10""",,"=""2.35295""","=""35.4207""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.3d""","=""1F*""","=""3""",5,7,,"=""T4909""","=""L1111""",
"=""38.451""","=""0.002""","=""38.4513""","=""0.0021""","=""2""","=""1.47e+10""",,"=""0.00000""","=""32.2444""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.3d""","=""3D*""","=""1""",1,3,,"=""T4909""","=""L1111""",
