conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p2,3P,1.0,3.0,0.140415,0.140415,8829.84,0.0259,9.0821e-08,9.0821e-08,2.4104e-09
3s2.3p2,3P,0.0,1.0,0.0,3s.3p3,3D*,1.0,3.0,17.4497,17.4497,71.05234,221000000.0,0.05018,0.05018,0.0013318
3s2.3p2,3P,0.0,1.0,0.0,3s.3p3,3P*,1.0,3.0,20.26336,20.26336,61.1864,367000000.0,0.061795,0.061795,0.0016401
3s2.3p2,3P,0.0,1.0,0.0,3s.3p3,3S*,1.0,3.0,27.0679,27.0679,45.80488,2810000000.0,0.26516,0.26516,0.0070374
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p.3d,3P*,1.0,3.0,31.4304,31.4304,39.44722,10000000000.0,0.69986,0.69986,0.018574
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p.3d,3D*,1.0,3.0,32.2444,32.2444,38.45139,14700000000.0,0.97751,0.97751,0.025943
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p.4s,3P*,1.0,3.0,48.12,48.12,25.76563,4780000000.0,0.14272,0.14272,0.0037878
3s2.3p2,3P,1.0,3.0,0.140415,3s2.3p2,3P,2.0,5.0,0.36293,0.222515,5571.94789,0.0772,5.9888e-08,1.7966e-07,1.5894e-09
3s2.3p2,3P,1.0,3.0,0.140415,3s2.3p2,1D,2.0,5.0,2.35295,2.212535,560.37169,0.54,4.237e-09,1.2711e-08,1.1245e-10
3s2.3p2,3P,1.0,3.0,0.140415,3s2.3p2,1S,0.0,1.0,5.37581,5.235395,236.81919,15.7,4.4002e-09,1.3201e-08,1.1678e-10
3s2.3p2,3P,1.0,3.0,0.140415,3s.3p3,3D*,1.0,3.0,17.4497,17.309285,71.62872,120000000.0,0.0092303,0.027691,0.00024497
3s2.3p2,3P,1.0,3.0,0.140415,3s.3p3,3D*,2.0,5.0,17.4564,17.315985,71.60101,290000000.0,0.037149,0.11145,0.00098593
3s2.3p2,3P,1.0,3.0,0.140415,3s.3p3,3P*,0.0,1.0,20.26166,20.121245,61.61855,1110000000.0,0.021061,0.063184,0.00055897
3s2.3p2,3P,1.0,3.0,0.140415,3s.3p3,3P*,1.0,3.0,20.26336,20.122945,61.61335,346000000.0,0.019692,0.059075,0.00052262
3s2.3p2,3P,1.0,3.0,0.140415,3s.3p3,3P*,2.0,5.0,20.26373,20.123315,61.61221,224000000.0,0.021247,0.06374,0.00056389
3s2.3p2,3P,1.0,3.0,0.140415,3s.3p3,3S*,1.0,3.0,27.0679,26.927485,46.04374,8980000000.0,0.28542,0.85625,0.0075749
3s2.3p2,3P,1.0,3.0,0.140415,3s.3p3,1P*,1.0,3.0,27.75264,27.612225,44.90192,986000000.0,0.029803,0.08941,0.00079098
3s2.3p2,3P,1.0,3.0,0.140415,3s2.3p.3d,3P*,2.0,5.0,31.2846,31.144185,39.80974,7710000000.0,0.30531,0.91593,0.0081029
3s2.3p2,3P,1.0,3.0,0.140415,3s2.3p.3d,3P*,1.0,3.0,31.4304,31.289985,39.62424,2990000000.0,0.070381,0.21114,0.0018679
