Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""3s2.3p""","=""2P*""","=""1/2""",2,"=""""","=""0.00000""","=""""","=""0.0005""","=""L12392"""
"=""3s2.3p""","=""2P*""","=""3/2""",4,"=""""","=""0.388601""","=""""","=""0.000017""","=""L7248"""
"=""3s.3p2""","=""4P""","=""1/2""",2,"=""""","=""14.2444""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p2""","=""4P""","=""3/2""",4,"=""""","=""14.3855""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p2""","=""4P""","=""5/2""",6,"=""""","=""14.6009""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p2""","=""2D""","=""3/2""",4,"=""""","=""18.83120""","=""""","=""0.00025""","=""L3633"""
"=""3s.3p2""","=""2D""","=""5/2""",6,"=""""","=""18.85201""","=""""","=""0.00025""","=""L3633"""
"=""3s.3p2""","=""2S""","=""1/2""",2,"=""""","=""23.93943""","=""""","=""0.00025""","=""L3633"""
"=""3s.3p2""","=""2P""","=""1/2""",2,"=""""","=""25.60310""","=""""","=""0.00025""","=""L3633"""
"=""3s.3p2""","=""2P""","=""3/2""",4,"=""""","=""25.84234""","=""""","=""0.00025""","=""L3633"""
"=""3s2.3d""","=""2D""","=""3/2""",4,"=""""","=""31.0784""","=""""","=""0.0005""","=""L11207"""
"=""3s2.3d""","=""2D""","=""5/2""",6,"=""""","=""31.0936""","=""""","=""0.0005""","=""L11207"""
"=""3p3""","=""2D*""","=""3/2""",4,"=""""","=""36.9210""","=""""","=""0.0005""","=""L11207"""
"=""3p3""","=""2D*""","=""5/2""",6,"=""""","=""36.9594""","=""""","=""0.0005""","=""L11207"""
"=""3p3""","=""4S*""","=""3/2""",4,"=""""","=""38.1897""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.3d""","=""4F*""","=""5/2""",6,"=""""","=""41.5134""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.3d""","=""4F*""","=""7/2""",8,"=""""","=""41.6271""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.3d""","=""4F*""","=""9/2""",10,"=""""","=""41.7777""","=""""","=""0.0005""","=""L11207"""
"=""3p3""","=""2P*""","=""1/2""",2,"=""""","=""41.5874""","=""""","=""0.0005""","=""L11207"""
"=""3p3""","=""2P*""","=""3/2""",4,"=""""","=""41.5917""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.3d""","=""4P*""","=""5/2""",6,"=""""","=""44.9740""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.3d""","=""4P*""","=""3/2""",4,"=""""","=""45.0766""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.3d""","=""4P*""","=""1/2""",2,"=""""","=""45.1665""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.3d""","=""4D*""","=""1/2""",2,"=""""","=""45.3699""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.3d""","=""4D*""","=""3/2""",4,"=""""","=""45.4224""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.3d""","=""4D*""","=""5/2""",6,"=""""","=""45.4603""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.3d""","=""4D*""","=""7/2""",8,"=""""","=""45.4774""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.(3P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""46.6510""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.(3P*).3d""","=""2D*""","=""3/2""",4,"=""""","=""46.6539""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.(3P*).3d""","=""2F*""","=""5/2""",6,"=""""","=""48.8953""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.(3P*).3d""","=""2F*""","=""7/2""",8,"=""""","=""49.2035""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.(3P*).3d""","=""2P*""","=""3/2""",4,"=""""","=""53.3573""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.(3P*).3d""","=""2P*""","=""1/2""",2,"=""""","=""53.4724""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.(1P*).3d""","=""2F*""","=""7/2""",8,"=""""","=""53.5132""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.(1P*).3d""","=""2F*""","=""5/2""",6,"=""""","=""53.5958""","=""""","=""0.0005""","=""L11207"""
"=""3s2.4s""","=""2S""","=""1/2""",2,"=""""","=""54.4690""","=""""","=""0.0007""","=""L1111"""
"=""3s.3p.(1P*).3d""","=""2P*""","=""1/2""",2,"=""""","=""55.3783""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.(1P*).3d""","=""2P*""","=""3/2""",4,"=""""","=""55.3893""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.(1P*).3d""","=""2D*""","=""3/2""",4,"=""""","=""55.9154""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.(1P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""55.9697""","=""""","=""0.0005""","=""L11207"""
"=""3p2.3d""","=""4F""","=""5/2""",6,"=""""","=""63.1836""","=""""","=""0.0005""","=""L11207"""
"=""3p2.3d""","=""4F""","=""7/2""",8,"=""""","=""63.2947""","=""""","=""0.0005""","=""L11207"""
"=""3p2.3d""","=""4F""","=""9/2""",10,"=""""","=""63.4356""","=""""","=""0.0005""","=""L11207"""
"=""3p2.(3P).3d""","=""2P""","=""3/2""",4,"=""""","=""64.1358""","=""""","=""0.0005""","=""L11207"""
"=""3p2.3d""","=""4D""","=""3/2""",4,"=""""","=""64.5733""","=""""","=""0.0005""","=""L11207"""
"=""3p2.3d""","=""4D""","=""5/2""",6,"=""""","=""64.5984""","=""""","=""0.0005""","=""L11207"""
"=""3p2.3d""","=""4D""","=""7/2""",8,"=""""","=""64.6821""","=""""","=""0.0005""","=""L11207"""
"=""3p2.(1D).3d""","=""2D""","=""5/2""",6,"=""""","=""67.6546""","=""""","=""0.0005""","=""L11207"""
"=""3p2.(1D).3d""","=""2D""","=""3/2""",4,"=""""","=""67.7096""","=""""","=""0.0005""","=""L11207"""
"=""3p2.3d""","=""4P""","=""5/2""",6,"=""""","=""68.2926""","=""""","=""0.0005""","=""L11207"""
"=""3p2.3d""","=""4P""","=""3/2""",4,"=""""","=""68.3721""","=""""","=""0.0005""","=""L11207"""
"=""3p2.3d""","=""4P""","=""1/2""",2,"=""""","=""68.4209""","=""""","=""0.0005""","=""L11207"""
"=""3s.3p.4s""","=""4P*""","=""1/2""",2,"=""""","=""70.2037""","=""""","=""0.0005""","=""L1111,L11207"""
"=""3s.3p.4s""","=""4P*""","=""3/2""",4,"=""""","=""70.3372""","=""""","=""0.0005""","=""L1111,L11207"""
"=""3s.3p.4s""","=""4P*""","=""5/2""",6,"=""""","=""70.5817""","=""""","=""0.0005""","=""L1111,L11207"""
"=""3s2.4d""","=""2D""","=""3/2""",4,"=""""","=""70.7625""","=""""","=""0.0007""","=""L1111"""
"=""3s2.4d""","=""2D""","=""5/2""",6,"=""""","=""70.7853""","=""""","=""0.0007""","=""L1111"""
"=""3p2.(1S).3d""","=""2D""","=""3/2""",4,"=""""","=""71.0536""","=""""","=""0.0005""","=""L11207"""
"=""3p2.(1S).3d""","=""2D""","=""5/2""",6,"=""""","=""71.2804""","=""""","=""0.0005""","=""L11207"""
"=""3p2.(3P).3d""","=""2F""","=""5/2""",6,"=""""","=""72.0565""","=""""","=""0.0005""","=""L11207"""
"=""3p2.(3P).3d""","=""2F""","=""7/2""",8,"=""""","=""72.1355""","=""""","=""0.0005""","=""L11207"""
"=""3s.3d2""","=""4F""","=""5/2""",6,"=""""","=""73.2124""","=""""","=""0.0005""","=""L11207"""
"=""3s.3d2""","=""4F""","=""7/2""",8,"=""""","=""73.2232""","=""""","=""0.0005""","=""L11207"""
"=""3s.3d2""","=""4F""","=""9/2""",10,"=""""","=""73.2329""","=""""","=""0.0005""","=""L11207"""
"=""3s2.4f""","=""2F*""","=""5/2""",6,"=""""","=""75.4484""","=""""","=""0.0007""","=""L1111"""
"=""3s2.4f""","=""2F*""","=""7/2""",8,"=""""","=""75.4488""","=""""","=""0.0007""","=""L1111"""
"=""3p2.(3P).3d""","=""2D""","=""5/2""",6,"=""""","=""75.5691""","=""""","=""0.0005""","=""L11207"""
"=""3p2.(3P).3d""","=""2D""","=""3/2""",4,"=""""","=""75.7041""","=""""","=""0.0005""","=""L11207"""
