spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
K VII,K,6,3s2.3p,2P*,0.5,2,0.0,0.0005,odd,,no,117.56,,,,,,,,,,L12392
K VII,K,6,3s2.3p,2P*,1.5,4,0.388601,1.7e-05,odd,,no,117.56,3.623188405797101,"ASD 1/sum(Aki), J-resolved",3.623188405797101,1/1,yes,0.388601,0.388601,,,L7248
K VII,K,6,3s.3p2,4P,0.5,2,14.2444,0.0005,even,,no,117.56,,,,,,,,,,L11207
K VII,K,6,3s.3p2,4P,1.5,4,14.3855,0.0005,even,,no,117.56,,,,,,,,,,L11207
K VII,K,6,3s.3p2,4P,2.5,6,14.6009,0.0005,even,,no,117.56,,,,,,,,,,L11207
K VII,K,6,3s.3p2,2D,1.5,4,18.8312,0.00025,even,,no,117.56,1.5384615384615385e-09,"ASD 1/sum(Aki), J-resolved",1.5384615384615385e-09,2/2,yes,18.8312,18.8312,,,L3633
K VII,K,6,3s.3p2,2D,2.5,6,18.85201,0.00025,even,,no,117.56,1.6420361247947455e-09,"ASD 1/sum(Aki), J-resolved",1.6420361247947455e-09,1/1,yes,18.463409,18.463409,,,L3633
K VII,K,6,3s.3p2,2S,0.5,2,23.93943,0.00025,even,,no,117.56,1.6638935108153077e-10,"ASD 1/sum(Aki), J-resolved",1.6638935108153077e-10,2/2,yes,23.550829,23.93943,,,L3633
K VII,K,6,3s.3p2,2P,0.5,2,25.6031,0.00025,even,,no,117.56,5.691519635742743e-11,"ASD 1/sum(Aki), J-resolved",5.691519635742743e-11,2/2,yes,25.6031,25.6031,,,L3633
K VII,K,6,3s.3p2,2P,1.5,4,25.84234,0.00025,even,,no,117.56,5.617977528089888e-11,"ASD 1/sum(Aki), J-resolved",5.617977528089888e-11,2/2,yes,25.453739,25.84234,,,L3633
K VII,K,6,3s2.3d,2D,1.5,4,31.0784,0.0005,even,,no,117.56,4.6274872744099956e-11,"ASD 1/sum(Aki), J-resolved",4.6274872744099956e-11,2/2,yes,31.0784,31.0784,,,L11207
K VII,K,6,3s2.3d,2D,2.5,6,31.0936,0.0005,even,,no,117.56,4.7393364928909954e-11,"ASD 1/sum(Aki), J-resolved",4.7393364928909954e-11,1/1,yes,30.704998999999997,30.704998999999997,,,L11207
