Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3s2""","=""1S""","=""0""",1,"=""""","=""0.000""","=""""","=""0.005""","="" 100                             ""","=""L12392"""
"=""3s.3p""","=""3P*""","=""0""",1,"=""""","=""15.882""","=""""","=""0.005""","="" 100                             ""","=""L10375"""
"=""3s.3p""","=""3P*""","=""1""",3,"=""""","=""16.020""","=""""","=""0.005""","="" 100                             ""","=""L10375"""
"=""3s.3p""","=""3P*""","=""2""",5,"=""""","=""16.314""","=""""","=""0.005""","="" 100                             ""","=""L10375"""
"=""3s.3p""","=""1P*""","=""1""",3,"=""""","=""23.872""","=""""","=""0.005""","=""  96                             ""","=""L10375"""
"=""3p2""","=""1D""","=""2""",5,"=""""","=""37.235""","=""""","=""0.005""","=""  74         :    24  3s.3d 1D   ""","=""L10375"""
"=""3p2""","=""3P""","=""0""",1,"=""""","=""37.793""","=""""","=""0.005""","=""  99                             ""","=""L10375"""
"=""3p2""","=""3P""","=""1""",3,"=""""","=""37.961""","=""""","=""0.005""","=""  99                             ""","=""L10375"""
"=""3p2""","=""3P""","=""2""",5,"=""""","=""38.281""","=""""","=""0.005""","=""  98                             ""","=""L10375"""
"=""3p2""","=""1S""","=""0""",1,"=""""","=""44.336""","=""""","=""0.005""","=""  93                             ""","=""L10375"""
"=""3s.3d""","=""3D""","=""1""",3,"=""""","=""45.642""","=""""","=""0.005""","="" 100                             ""","=""L10375"""
"=""3s.3d""","=""3D""","=""2""",5,"=""""","=""45.652""","=""""","=""0.005""","="" 100                             ""","=""L10375"""
"=""3s.3d""","=""3D""","=""3""",7,"=""""","=""45.668""","=""""","=""0.005""","="" 100                             ""","=""L10375"""
"=""3s.3d""","=""1D""","=""2""",5,"=""""","=""51.953""","=""""","=""0.005""","=""  74         :    24  3p2   1D   ""","=""L10375"""
"=""3p.3d""","=""3F*""","=""2""",5,"=""""","=""62.458""","=""""","=""0.005""","=""  97                             ""","=""L10522"""
"=""3p.3d""","=""3F*""","=""3""",7,"=""""","=""62.635""","=""""","=""0.005""","="" 100                             ""","=""L10375"""
"=""3p.3d""","=""3F*""","=""4""",9,"=""""","=""62.853""","=""""","=""0.005""","="" 100                             ""","=""L10375"""
"=""3p.3d""","=""1D*""","=""2""",5,"=""""","=""63.355""","=""""","=""0.005""","=""  97                             ""","=""L10375"""
"=""3p.3d""","=""3P*""","=""2""",5,"=""""","=""66.372""","=""""","=""0.005""","=""  86         :    13  3p.3d 3D*  ""","=""L10375"""
"=""3p.3d""","=""3P*""","=""1""",3,"=""""","=""66.482""","=""""","=""0.005""","=""  82         :    17  3p.3d 3D*  ""","=""L10375"""
"=""3p.3d""","=""3P*""","=""0""",1,"=""""","=""66.618""","=""""","=""0.005""","=""  99                             ""","=""L10375"""
"=""3p.3d""","=""3D*""","=""1""",3,"=""""","=""66.771""","=""""","=""0.005""","=""  83         :    17  3p.3d 3P*  ""","=""L10375"""
"=""3p.3d""","=""3D*""","=""2""",5,"=""""","=""66.830""","=""""","=""0.005""","=""  86         :    13  3p.3d 3P*  ""","=""L10375"""
"=""3p.3d""","=""3D*""","=""3""",7,"=""""","=""66.849""","=""""","=""0.005""","="" 100                             ""","=""L10375"""
"=""3p.3d""","=""1F*""","=""3""",7,"=""""","=""71.467""","=""""","=""0.005""","=""  98                             ""","=""L10375"""
"=""3p.3d""","=""1P*""","=""1""",3,"=""""","=""72.583""","=""""","=""0.005""","=""  95                             ""","=""L10375"""
"=""3s.4s""","=""3S""","=""1""",3,"=""""","=""78.341""","=""""","=""0.005""","=""                                 ""","=""L10375"""
"=""3s.4s""","=""1S""","=""0""",1,"=""""","=""79.902""","=""""","=""0.005""","=""                                 ""","=""L10375"""
"=""3s.4p""","=""1P*""","=""1""",3,"=""""","=""86.217""","=""""","=""0.006""","=""                                 ""","=""L3851,L10375"""
