spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
K VIII,K,7,3s2,1S,0.0,1,0.0,0.005,even,,no,154.87,,,,,,,,,,L12392
K VIII,K,7,3s.3p,3P*,0.0,1,15.882,0.005,odd,,no,154.87,,,,,,,,,,L10375
K VIII,K,7,3s.3p,3P*,1.0,3,16.02,0.005,odd,,no,154.87,40.48582995951417,"ASD 1/sum(Aki), J-resolved",40.48582995951417,1/1,yes,0.1379999999999999,0.1379999999999999,,,L10375
K VIII,K,7,3s.3p,3P*,2.0,5,16.314,0.005,odd,,no,154.87,5.555555555555555,"ASD 1/sum(Aki), J-resolved",5.555555555555555,1/1,yes,0.2940000000000005,0.2940000000000005,,,L10375
K VIII,K,7,3s.3p,1P*,1.0,3,23.872,0.005,odd,,no,154.87,1.1074196997801105e-10,"ASD 1/sum(Aki), J-resolved",1.1074196997801105e-10,4/4,yes,23.872,23.872,,,L10375
K VIII,K,7,3p2,1D,2.0,5,37.235,0.005,even,,no,154.87,1.2054001928640308e-09,"ASD 1/sum(Aki), J-resolved",1.2054001928640308e-09,3/3,yes,13.363,21.215,,,L10375
K VIII,K,7,3p2,3P,0.0,1,37.793,0.005,even,,no,154.87,1.3089005235602094e-10,"ASD 1/sum(Aki), J-resolved",1.3089005235602094e-10,1/1,yes,21.773,21.773,,,L10375
K VIII,K,7,3p2,3P,1.0,3,37.961,0.005,even,,no,154.87,1.2903225806451612e-10,"ASD 1/sum(Aki), J-resolved",1.2903225806451612e-10,3/3,yes,21.647,22.079,,,L10375
K VIII,K,7,3p2,3P,2.0,5,38.281,0.005,even,,no,154.87,1.3054830287206265e-10,"ASD 1/sum(Aki), J-resolved",1.3054830287206265e-10,2/2,yes,21.967,22.261,,,L10375
K VIII,K,7,3p2,1S,0.0,1,44.336,0.005,even,,no,154.87,1.2919896640826873e-10,"ASD 1/sum(Aki), J-resolved",1.2919896640826873e-10,1/1,yes,20.464,20.464,,,L10375
K VIII,K,7,3s.3d,3D,1.0,3,45.642,0.005,even,,no,154.87,8.561643835616439e-11,"ASD 1/sum(Aki), J-resolved",8.561643835616439e-11,3/3,yes,29.760000000000005,29.760000000000005,,,L10375
K VIII,K,7,3s.3d,3D,2.0,5,45.652,0.005,even,,no,154.87,8.680555555555556e-11,"ASD 1/sum(Aki), J-resolved",8.680555555555556e-11,2/2,yes,29.632,29.632,,,L10375
K VIII,K,7,3s.3d,3D,3.0,7,45.668,0.005,even,,no,154.87,8.849557522123894e-11,"ASD 1/sum(Aki), J-resolved",8.849557522123894e-11,1/1,yes,29.354,29.354,,,L10375
K VIII,K,7,3s.3d,1D,2.0,5,51.953,0.005,even,,no,154.87,4.901960784313726e-11,"ASD 1/sum(Aki), J-resolved",4.901960784313726e-11,1/1,yes,28.081000000000003,28.081000000000003,,,L10375
K VIII,K,7,3p.3d,3F*,2.0,5,62.458,0.005,odd,,no,154.87,6.203473945409429e-10,"ASD 1/sum(Aki), J-resolved",6.203473945409429e-10,2/2,yes,16.815999999999995,16.815999999999995,,,L10522
K VIII,K,7,3p.3d,3F*,3.0,7,62.635,0.005,odd,,no,154.87,5.780346820809248e-10,"ASD 1/sum(Aki), J-resolved",5.780346820809248e-10,2/2,yes,16.982999999999997,16.982999999999997,,,L10375
K VIII,K,7,3p.3d,3F*,4.0,9,62.853,0.005,odd,,no,154.87,5.555555555555555e-10,"ASD 1/sum(Aki), J-resolved",5.555555555555555e-10,1/1,yes,17.185000000000002,17.185000000000002,,,L10375
K VIII,K,7,3p.3d,1D*,2.0,5,63.355,0.005,odd,,no,154.87,1.2150668286755771e-10,"ASD 1/sum(Aki), J-resolved",1.2150668286755771e-10,1/1,yes,26.119999999999997,26.119999999999997,,,L10375
K VIII,K,7,3p.3d,3P*,2.0,5,66.372,0.005,odd,,no,154.87,7.230657989877078e-11,"ASD 1/sum(Aki), J-resolved",7.230657989877078e-11,3/3,yes,28.411,28.411,,,L10375
K VIII,K,7,3p.3d,3P*,1.0,3,66.482,0.005,odd,,no,154.87,6.702412868632708e-11,"ASD 1/sum(Aki), J-resolved",6.702412868632708e-11,3/3,yes,28.689,28.689,,,L10375
K VIII,K,7,3p.3d,3P*,0.0,1,66.618,0.005,odd,,no,154.87,7.385524372230429e-11,"ASD 1/sum(Aki), J-resolved",7.385524372230429e-11,2/2,yes,28.656999999999996,28.656999999999996,,,L10375
K VIII,K,7,3p.3d,3D*,1.0,3,66.771,0.005,odd,,no,154.87,5.458515283842795e-11,"ASD 1/sum(Aki), J-resolved",5.458515283842795e-11,4/4,yes,28.810000000000002,28.978,,,L10375
K VIII,K,7,3p.3d,3D*,2.0,5,66.83,0.005,odd,,no,154.87,5.52791597567717e-11,"ASD 1/sum(Aki), J-resolved",5.52791597567717e-11,3/3,yes,28.549,28.869,,,L10375
K VIII,K,7,3p.3d,3D*,3.0,7,66.849,0.005,odd,,no,154.87,5.263157894736842e-11,"ASD 1/sum(Aki), J-resolved",5.263157894736842e-11,3/3,yes,28.568000000000005,28.568000000000005,,,L10375
K VIII,K,7,3p.3d,1F*,3.0,7,71.467,0.005,odd,,no,154.87,4.628558204119417e-11,"ASD 1/sum(Aki), J-resolved",4.628558204119417e-11,3/3,yes,34.232,34.232,,,L10375
K VIII,K,7,3p.3d,1P*,1.0,3,72.583,0.005,odd,,no,154.87,5.6625141562853906e-11,"ASD 1/sum(Aki), J-resolved",5.6625141562853906e-11,2/2,yes,28.247,28.247,,,L10375
K VIII,K,7,3s.4s,3S,1.0,3,78.341,0.005,even,,no,154.87,2.1231422505307854e-11,"ASD 1/sum(Aki), J-resolved",2.1231422505307854e-11,3/3,yes,62.026999999999994,62.458999999999996,,,L10375
K VIII,K,7,3s.4s,1S,0.0,1,79.902,0.005,even,,no,154.87,3.436426116838488e-11,"ASD 1/sum(Aki), J-resolved",3.436426116838488e-11,1/1,yes,56.03,56.03,,,L10375
K VIII,K,7,3s.4p,1P*,1.0,3,86.217,0.006,odd,,no,154.87,4.329004329004329e-11,"ASD 1/sum(Aki), J-resolved",4.329004329004329e-11,1/1,yes,86.217,86.217,,,"L3851,L10375"
K VIII,K,7,3d2,3F,2.0,5,92.078,0.005,even,,no,154.87,1.773049645390071e-10,"ASD 1/sum(Aki), J-resolved",1.773049645390071e-10,1/1,yes,25.307000000000002,25.307000000000002,,,L10375
K VIII,K,7,3d2,3F,3.0,7,92.095,0.005,even,,no,154.87,1.3104442405975627e-10,"ASD 1/sum(Aki), J-resolved",1.3104442405975627e-10,2/2,yes,25.265,29.46,,,L10375
K VIII,K,7,3d2,3F,4.0,9,92.114,0.005,even,,no,154.87,5.871990604815033e-11,"ASD 1/sum(Aki), J-resolved",5.871990604815033e-11,2/2,yes,25.265,29.261000000000003,,,L10375
K VIII,K,7,3d2,1G,4.0,9,93.839,0.005,even,,no,154.87,1.2165450121654502e-10,"ASD 1/sum(Aki), J-resolved",1.2165450121654502e-10,1/1,yes,22.372,22.372,,,L10375
K VIII,K,7,3d2,1D,2.0,5,93.908,0.005,even,,no,154.87,5.640157924421884e-11,"ASD 1/sum(Aki), J-resolved",5.640157924421884e-11,2/2,yes,30.553000000000004,30.553000000000004,,,L10375
K VIII,K,7,3d2,3P,0.0,1,94.525,0.005,even,,no,154.87,4.2372881355932206e-11,"ASD 1/sum(Aki), J-resolved",4.2372881355932206e-11,1/1,yes,28.043000000000006,28.043000000000006,,,L10375
K VIII,K,7,3d2,3P,1.0,3,94.534,0.005,even,,no,154.87,6.013229104028863e-11,"ASD 1/sum(Aki), J-resolved",6.013229104028863e-11,2/2,yes,28.162000000000006,28.162000000000006,,,L10375
K VIII,K,7,3d2,3P,2.0,5,94.542,0.005,even,,no,154.87,9.68710646130001e-12,"ASD 1/sum(Aki), J-resolved",9.68710646130001e-12,5/5,yes,28.17,28.17,,,L10375
K VIII,K,7,3s.4d,3D,1.0,3,95.51,0.006,even,,no,154.87,4.032258064516129e-11,"ASD 1/sum(Aki), J-resolved",4.032258064516129e-11,2/2,yes,79.628,79.628,,,"L3851,L10375"
K VIII,K,7,3s.4d,3D,2.0,5,95.521,0.006,even,,no,154.87,3.9138943248532287e-11,"ASD 1/sum(Aki), J-resolved",3.9138943248532287e-11,2/2,yes,79.501,79.501,,,"L3851,L10375"
