Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""2s2.2p6""","=""1S""","=""0""",1,"=""""","=""0.000""","=""""","=""0.04""","=""                                      ""","=""L12392"""
"=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""",5,"=""""","=""297.4589""","=""""","=""0.0025""","=""         or  :   100  2s2.2p5.3s 3P*  ""","=""L7205"""
"=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""",3,"=""""","=""298.4120""","=""""","=""0.0025""","=""         or  :    66  2s2.2p5.3s 3P*  ""","=""L3851,L7205"""
"=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""0""",1,"=""""","=""300.3678""","=""""","=""0.0025""","=""         or  :   100  2s2.2p5.3s 3P*  ""","=""L7205"""
"=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""",3,"=""""","=""301.2986""","=""""","=""0.0025""","=""         or  :    66  2s2.2p5.3s 1P*  ""","=""L7205"""
"=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""",3,"=""[""","=""314.4544""","=""]""","=""0.0025""","=""         or  :    95  2s2.2p5.3p 3S   ""","=""L7205"""
"=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""",1,"=""""","=""330.6986""","=""""","=""0.0025""","=""         or  :    99  2s2.2p5.3p 1S   ""","=""L7205"""
"=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""",7,"=""""","=""317.2644""","=""""","=""0.0025""","=""         or  :   100  2s2.2p5.3p 3D   ""","=""L7205"""
"=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""",5,"=""""","=""317.3250""","=""""","=""0.0025""","=""         or  :    71  2s2.2p5.3p 3D   ""","=""L7205"""
"=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""",3,"=""""","=""318.2053""","=""""","=""0.0025""","=""         or  :    51  2s2.2p5.3p 3D   ""","=""L7205"""
"=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""",5,"=""[""","=""318.9692""","=""]""","=""0.0025""","=""         or  :    64  2s2.2p5.3p 3P   ""","=""L7205"""
