conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p6,1S,0.0,1.0,0.0,2s2.2p5.(2P*<3/2>).3s,2[3/2]*,1.0,3.0,298.412,298.412,4.1548,108000000000.0,0.08385,0.08385,0.0022254
2s2.2p6,1S,0.0,1.0,0.0,2s2.2p5.(2P*<1/2>).3s,2[1/2]*,1.0,3.0,301.2986,301.2986,4.11499,208000000000.0,0.15841,0.15841,0.0042042
2s2.2p6,1S,0.0,1.0,0.0,2s2.2p5.(2P*<3/2>).3d,2[1/2]*,1.0,3.0,342.207,342.207,3.62308,10400000000.0,0.00614,0.00614,0.00016296
2s2.2p6,1S,0.0,1.0,0.0,2s2.2p5.(2P*<3/2>).3d,2[3/2]*,1.0,3.0,346.5098,346.5098,3.57809,313000000000.0,0.18023,0.18023,0.0047833
2s2.2p6,1S,0.0,1.0,0.0,2s2.2p5.(2P*<1/2>).3d,2[3/2]*,1.0,3.0,351.1378,351.1378,3.53093,3510000000000.0,1.9682,1.9682,0.052236
2s2.2p6,1S,0.0,1.0,0.0,2s.2p6.3p,3P*,1.0,3.0,399.15,399.15,3.10621,16000000000.0,0.0069432,0.0069432,0.00018427
2s2.2p6,1S,0.0,1.0,0.0,2s.2p6.3p,1P*,1.0,3.0,401.41,401.41,3.08872,634000000000.0,0.27204,0.27204,0.0072198
2s2.2p5.(2P*<3/2>).3s,2[3/2]*,2.0,5.0,297.4589,2s2.2p5.(2P*<3/2>).3p,2[5/2],3.0,7.0,317.2644,19.8055,62.60089,2680000000.0,0.22044,1.1022,0.0058504
2s2.2p5.(2P*<3/2>).3s,2[3/2]*,2.0,5.0,297.4589,2s2.2p5.(2P*<3/2>).3p,2[5/2],2.0,5.0,317.325,19.8661,62.40993,1120000000.0,0.065401,0.32701,0.0017357
2s2.2p5.(2P*<3/2>).3s,2[3/2]*,2.0,5.0,297.4589,2s2.2p5.(2P*<1/2>).3p,2[1/2],1.0,3.0,321.2279,23.769,52.16214,610000000.0,0.01493,0.074649,0.00039623
2s2.2p5.(2P*<3/2>).3s,2[3/2]*,1.0,3.0,298.412,2s2.2p5.(2P*<3/2>).3p,2[5/2],2.0,5.0,317.325,18.913,65.55501,1360000000.0,0.14604,0.43811,0.0038758
2s2.2p5.(2P*<3/2>).3s,2[3/2]*,1.0,3.0,298.412,2s2.2p5.(2P*<3/2>).3p,2[3/2],1.0,3.0,318.2053,19.7933,62.63948,2160000000.0,0.12706,0.38118,0.0033722
2s2.2p5.(2P*<3/2>).3s,2[3/2]*,1.0,3.0,298.412,2s2.2p5.(2P*<3/2>).3p,2[3/2],2.0,5.0,318.9692,20.5572,60.31181,1120000000.0,0.1018,0.30539,0.0027017
2s2.2p5.(2P*<3/2>).3s,2[3/2]*,1.0,3.0,298.412,2s2.2p5.(2P*<1/2>).3p,2[1/2],0.0,1.0,320.5227,22.1107,56.0743,2890000000.0,0.045411,0.13623,0.0012052
2s2.2p5.(2P*<3/2>).3s,2[3/2]*,1.0,3.0,298.412,2s2.2p5.(2P*<3/2>).3p,2[1/2],0.0,1.0,330.6986,32.2866,38.40113,3380000000.0,0.024908,0.074725,0.00066106
2s2.2p5.(2P*<1/2>).3s,2[1/2]*,0.0,1.0,300.3678,2s2.2p5.(2P*<1/2>).3p,2[3/2],1.0,3.0,320.1954,19.8276,62.53112,1260000000.0,0.22159,0.22159,0.0058809
2s2.2p5.(2P*<1/2>).3s,2[1/2]*,0.0,1.0,300.3678,2s2.2p5.(2P*<1/2>).3p,2[1/2],1.0,3.0,321.2279,20.8601,59.43605,1340000000.0,0.2129,0.2129,0.0056505
2s2.2p5.(2P*<1/2>).3s,2[1/2]*,1.0,3.0,301.2986,2s2.2p5.(2P*<1/2>).3p,2[3/2],1.0,3.0,320.1954,18.8968,65.61121,1190000000.0,0.0768,0.2304,0.0020383
2s2.2p5.(2P*<1/2>).3s,2[1/2]*,1.0,3.0,301.2986,2s2.2p5.(2P*<1/2>).3p,2[3/2],2.0,5.0,321.13,19.8314,62.51914,2470000000.0,0.24123,0.72369,0.0064022
2s2.2p5.(2P*<1/2>).3s,2[1/2]*,1.0,3.0,301.2986,2s2.2p5.(2P*<1/2>).3p,2[1/2],1.0,3.0,321.2279,19.9293,62.21202,1190000000.0,0.069049,0.20715,0.0018326
2s2.2p5.(2P*<1/2>).3s,2[1/2]*,1.0,3.0,301.2986,2s2.2p5.(2P*<3/2>).3p,2[1/2],0.0,1.0,330.6986,29.4,42.1715,7680000000.0,0.068255,0.20477,0.0018115
2s2.2p5.(2P*<3/2>).3p,2[1/2],1.0,3.0,314.4544,2s2.2p5.(2P*<3/2>).3d,2[1/2]*,0.0,1.0,341.891,27.4366,45.18935,5390000000.0,0.055005,0.16501,0.0014598
2s2.2p5.(2P*<3/2>).3p,2[1/2],1.0,3.0,314.4544,2s2.2p5.(2P*<3/2>).3d,2[1/2]*,1.0,3.0,342.207,27.7526,44.6748,4810000000.0,0.14392,0.43177,0.0038197
2s2.2p5.(2P*<3/2>).3p,2[1/2],1.0,3.0,314.4544,2s2.2p5.(2P*<3/2>).3d,2[3/2]*,2.0,5.0,342.838,28.3836,43.68163,3580000000.0,0.17068,0.51205,0.0045299
2s2.2p5.(2P*<3/2>).3p,2[5/2],3.0,7.0,317.2644,2s2.2p5.(2P*<3/2>).3d,2[7/2]*,4.0,9.0,343.2276,25.9632,47.75382,6460000000.0,0.28396,1.9877,0.0075362
2s2.2p5.(2P*<3/2>).3p,2[5/2],3.0,7.0,317.2644,2s2.2p5.(2P*<3/2>).3d,2[7/2]*,3.0,7.0,343.6624,26.398,46.96727,987000000.0,0.032641,0.22849,0.0008663
