Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""2s2.2p5""","=""2P*""","=""3/2""",4,"=""""","=""0.000""","=""""","=""0.12""","=""                                           ""","=""L12392"""
"=""2s2.2p5""","=""2P*""","=""1/2""",2,"=""""","=""2.9130""","=""""","=""0.0006""","=""                                           ""","=""L6826"""
"=""2s.2p6""","=""2S""","=""1/2""",2,"=""""","=""81.3214""","=""""","=""0.0025""","="" 100                                       ""","=""L5515"""
"=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""",6,"=""""","=""327.38""","=""""","=""0.03""","="" 100                                       ""","=""L2181"""
"=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""",4,"=""""","=""328.93""","=""""","=""0.03""","=""  80         :    19  2s2.2p4.(3P).3s 2P   ""","=""L2181"""
"=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""",2,"=""""","=""330.12""","=""""","=""0.03""","=""  97                                       ""","=""L2181"""
"=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""",4,"=""""","=""331.22""","=""""","=""0.03""","=""  78         :    20  2s2.2p4.(3P).3s 4P   ""","=""L2181"""
"=""2s2.2p4.(3P).3s""","=""2P""","=""1/2""",2,"=""""","=""332.97""","=""""","=""0.03""","=""  98                                       ""","=""L2181"""
"=""2s2.2p4.(1D).3s""","=""2D""","=""5/2""",6,"=""""","=""338.20""","=""""","=""0.03""","=""  98                                       ""","=""L2181"""
"=""2s2.2p4.(1D).3s""","=""2D""","=""3/2""",4,"=""""","=""338.29""","=""""","=""0.03""","=""  96                                       ""","=""L2181"""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""",6,"=""""","=""345.32""","=""""","=""0.03""","=""  91         :     8  2s2.2p4.(3P).3p 4D*  ""","=""L11908"""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""",8,"=""""","=""347.56""","=""""","=""0.03""","=""  97                                       ""","=""L11908"""
