obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""3.1457""","=""0.0010""","=""3.1455""","=""0.0010""","=""1""","=""4.96e+10""",,"=""0.000""","=""394.16""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1S).3d""","=""2D""","=""3/2""",4,4,,"=""T6437""","=""L2181""",
"=""3.1483""","=""0.0010""","=""3.1483""","=""0.0010""","=""10""","=""4.72e+11""",,"=""0.000""","=""393.81""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1S).3d""","=""2D""","=""5/2""",4,6,,"=""T6437""","=""L2181""",
"=""3.1688""","=""0.0010""","=""3.1690""","=""0.0003""","=""9""","=""1.17e+12""",,"=""2.9130""","=""394.16""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1S).3d""","=""2D""","=""3/2""",2,4,,"=""T6437""","=""L2181""",
"=""3.2099""","=""0.0010""","=""3.2099""","=""0.0011""","=""10""","=""3.48e+11""",,"=""0.000""","=""386.26""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).3d""","=""2D""","=""3/2""",4,4,,"=""T6437""","=""L2181""",
"=""3.2178""","=""0.0010""","=""3.2178""","=""0.0011""","=""20""","=""3.10e+12""",,"=""0.000""","=""385.31""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).3d""","=""2D""","=""5/2""",4,6,,"=""T6437""","=""L2181""",
"=""3.2278""","=""0.0010""","=""3.2278""","=""0.0011""","=""8""","=""8.76e+10""",,"=""0.000""","=""384.12""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).3d""","=""2F""","=""5/2""",4,6,,"=""T6437""","=""L2181""",
"=""3.2318""","=""0.0010""","=""3.2317""","=""0.0011""","=""10""","=""2.30e+12""",,"=""0.000""","=""383.64""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).3d""","=""2S""","=""1/2""",4,2,,"=""T6437""","=""L2181""",
"=""3.2341""","=""0.0010""","=""3.2343""","=""0.0003""","=""18""","=""2.80e+12""",,"=""2.9130""","=""386.26""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1D).3d""","=""2D""","=""3/2""",2,4,,"=""T6437""","=""L2181""",
"=""3.2421""","=""0.0010""","=""3.2421""","=""0.0003""","=""8""","=""4.30e+11""",,"=""2.9130""","=""385.33""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1D).3d""","=""2P""","=""3/2""",2,4,,"=""T6437""","=""L2181""",
"=""3.2563""","=""0.0010""","=""3.2565""","=""0.0003""","=""6""","=""7.47e+11""",,"=""2.9130""","=""383.64""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1D).3d""","=""2S""","=""1/2""",2,2,,"=""T6437""","=""L2181""",
"=""3.2808""","=""0.0010""","=""3.2808""","=""0.0011""","=""20""","=""1.35e+12""",,"=""0.000""","=""377.90""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).3d""","=""2D""","=""5/2""",4,6,,"=""T6437""","=""L2181""",
