conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p5,2P*,0.5,2.0,2.913,2.913,425.62375,225.0,3.0554e-07,1.2221e-06,8.109e-09
2s2.2p5,2P*,1.5,4.0,0.0,2s.2p6,2S,0.5,2.0,81.3214,81.3214,15.2462,36800000000.0,0.064121,0.25648,0.0017018
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3s,4P,2.5,6.0,327.38,327.38,3.78716,3400000000.0,0.0010966,0.0043865,2.9104e-05
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3s,4P,1.5,4.0,328.93,328.93,3.76932,81400000000.0,0.017338,0.069354,0.00046016
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3s,2P,1.5,4.0,331.22,331.22,3.74326,375000000000.0,0.078775,0.3151,0.0020907
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3s,2P,0.5,2.0,332.97,332.97,3.72358,204000000000.0,0.021202,0.084809,0.00056271
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(1D).3s,2D,2.5,6.0,338.2,338.2,3.666,192000000000.0,0.058028,0.23211,0.0015401
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(1S).3s,2S,0.5,2.0,348.62,348.62,3.55643,90000000000.0,0.008533,0.034132,0.00022646
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,4P,0.5,2.0,374.18,374.18,3.31349,89900000000.0,0.0073988,0.029595,0.00019636
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,4F,2.5,6.0,374.49,374.49,3.31075,108000000000.0,0.026621,0.10648,0.00070653
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,2P,0.5,2.0,375.4,375.4,3.30272,149000000000.0,0.012183,0.048733,0.00032334
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,4P,2.5,6.0,375.57,375.57,3.30123,99000000000.0,0.024263,0.09705,0.00064393
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,2F,2.5,6.0,376.21,376.21,3.29561,139000000000.0,0.03395,0.1358,0.00090103
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,2D,1.5,4.0,376.22,376.22,3.29552,511000000000.0,0.083201,0.3328,0.0022082
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,2P,1.5,4.0,377.82,377.82,3.28157,20400000000.0,0.0032935,0.013174,8.7408e-05
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,2D,2.5,6.0,377.9,377.9,3.28087,1350000000000.0,0.32679,1.3071,0.0086729
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(1D).3d,2S,0.5,2.0,383.64,383.64,3.23178,2300000000000.0,0.18007,0.72028,0.0047791
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(1D).3d,2F,2.5,6.0,384.12,384.12,3.22775,87600000000.0,0.020524,0.082094,0.0005447
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(1D).3d,2D,2.5,6.0,385.31,385.31,3.21778,3100000000000.0,0.72181,2.8873,0.019157
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(1D).3d,2D,1.5,4.0,386.26,386.26,3.20986,348000000000.0,0.053754,0.21502,0.0014266
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(1S).3d,2D,2.5,6.0,393.81,393.81,3.14833,472000000000.0,0.10521,0.42084,0.0027922
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(1S).3d,2D,1.5,4.0,394.16,394.16,3.14553,49600000000.0,0.0073575,0.02943,0.00019527
2s2.2p5,2P*,0.5,2.0,2.913,2s.2p6,2S,0.5,2.0,81.3214,78.4084,15.81262,16200000000.0,0.060727,0.12145,0.0016117
2s2.2p5,2P*,0.5,2.0,2.913,2s2.2p4.(3P).3s,4P,1.5,4.0,328.93,326.017,3.803,5120000000.0,0.0022203,0.0044406,5.8927e-05
2s2.2p5,2P*,0.5,2.0,2.913,2s2.2p4.(3P).3s,4P,0.5,2.0,330.12,327.207,3.78917,6680000000.0,0.0014379,0.0028758,3.8161e-05
2s2.2p5,2P*,0.5,2.0,2.913,2s2.2p4.(3P).3s,2P,1.5,4.0,331.22,328.307,3.77647,43100000000.0,0.018431,0.036861,0.00048915
2s2.2p5,2P*,0.5,2.0,2.913,2s2.2p4.(3P).3s,2P,0.5,2.0,332.97,330.057,3.75645,304000000000.0,0.064311,0.12862,0.0017068
2s2.2p5,2P*,0.5,2.0,2.913,2s2.2p4.(1D).3s,2D,1.5,4.0,338.29,335.377,3.69686,198000000000.0,0.081137,0.16227,0.0021534
2s2.2p5,2P*,0.5,2.0,2.913,2s2.2p4.(1S).3s,2S,0.5,2.0,348.62,345.707,3.5864,98100000000.0,0.018917,0.037833,0.00050205
2s2.2p5,2P*,0.5,2.0,2.913,2s2.2p4.(3P).3d,4P,1.5,4.0,374.72,371.807,3.33464,2060000000.0,0.00068684,0.0013737,1.8229e-05
2s2.2p5,2P*,0.5,2.0,2.913,2s2.2p4.(3P).3d,2P,0.5,2.0,375.4,372.487,3.32855,82400000000.0,0.013687,0.027373,0.00036324
