obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""13.109""","=""13.1091+""","=""""","=""""",,"=""0.00000000""","=""94.579""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.8p""","=""(3/2,1/2)*""","=""1""",1,3,,"=""""","=""L3379""",
"=""13.143""","=""13.1430+""","=""""","=""""",,"=""0.00000000""","=""94.335""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.7p""","=""(3/2,1/2)*""","=""1""",1,3,,"=""""","=""L3379""",
"=""13.212""","=""13.2120+""","=""""","=""""",,"=""0.00000000""","=""93.842""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.6p""","=""(3/2,1/2)*""","=""1""",1,3,,"=""""","=""L3379""",
"=""13.282""","=""13.2820+""","=""""","=""""",,"=""0.00000000""","=""93.348""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.8p""","=""(5/2,3/2)*""","=""1""",1,3,,"=""""","=""L3379""",
"=""13.317""","=""13.3170+""","=""""","=""""",,"=""0.00000000""","=""93.102""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.7p""","=""(5/2,3/2)*""","=""1""",1,3,,"=""""","=""L3379""",
"=""13.390""","=""13.3899+""","=""""","=""""",,"=""0.00000000""","=""92.595""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.6p""","=""(5/2,3/2)*""","=""1""",1,3,,"=""""","=""L3379""",
"=""13.409""","=""13.4090+""","=""""","=""""",,"=""0.00000000""","=""92.464""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.5p""","=""(3/2,1/2)*""","=""1""",1,3,,"=""""","=""L3379""",
"=""13.588""","=""13.5881+""","=""""","=""""",,"=""0.00000000""","=""91.245""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.5p""","=""(5/2,3/2)*""","=""1""",1,3,,"=""""","=""L3379""",
"=""45.145""","=""45.1451+""","=""""","=""""",,"=""0.00000000""","=""27.4635""","=""4s2.4p6""","=""1S""","=""0""","=""4s.4p6.19p""","=""(1/2,3/2)*""","=""1""",1,3,,"=""""","=""L1526""",
"=""45.156""","=""45.1559+""","=""""","=""""",,"=""0.00000000""","=""27.4569""","=""4s2.4p6""","=""1S""","=""0""","=""4s.4p6.18p""","=""(1/2,3/2)*""","=""1""",1,3,,"=""""","=""L1526""",
"=""45.169""","=""45.1690+""","=""""","=""""",,"=""0.00000000""","=""27.4490""","=""4s2.4p6""","=""1S""","=""0""","=""4s.4p6.17p""","=""(1/2,3/2)*""","=""1""",1,3,,"=""""","=""L1526""",
"=""45.186""","=""45.1861+""","=""""","=""""",,"=""0.00000000""","=""27.4386""","=""4s2.4p6""","=""1S""","=""0""","=""4s.4p6.16p""","=""(1/2,3/2)*""","=""1""",1,3,,"=""""","=""L1526""",
