conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
4s2.4p4.(3P).5s,4P,2.5,6.0,13.988923,4s2.4p4.(3P).5p,4P*,2.5,6.0,16.604442,2.615519,474.03282,76000000.0,0.25603,1.5362,0.006795
4s2.4p4.(3P).5s,4P,2.5,6.0,13.988923,4s2.4p4.(3P).5p,4P*,1.5,4.0,16.649425,2.660502,466.0181,65000000.0,0.14109,0.84652,0.0037445
4s2.4p4.(3P).5s,4P,2.5,6.0,13.988923,4s2.4p4.(3P).5p,4D*,3.5,8.0,16.83475,2.845827,435.6702,100000000.0,0.37941,2.2765,0.01007
4s2.4p4.(3P).5s,4P,1.5,4.0,14.269591,4s2.4p4.(3P).5p,4P*,2.5,6.0,16.604442,2.334851,531.01537,2400000.0,0.015219,0.060875,0.0004039
4s2.4p4.(3P).5s,4P,1.5,4.0,14.269591,4s2.4p4.(3P).5p,4P*,1.5,4.0,16.649425,2.379834,520.97837,14000000.0,0.056967,0.22787,0.0015119
4s2.4p4.(3P).5s,4P,1.5,4.0,14.269591,4s2.4p4.(3P).5p,4P*,0.5,2.0,16.834731,2.56514,483.34276,73000000.0,0.12784,0.51136,0.0033928
4s2.4p4.(3P).5s,4P,1.5,4.0,14.269591,4s2.4p4.(3P).5p,4D*,2.5,6.0,16.870434,2.600843,476.70766,67000000.0,0.3424,1.3696,0.0090872
4s2.4p4.(3P).5s,4P,1.5,4.0,14.269591,4s2.4p4.(3P).5p,4D*,1.5,4.0,17.156885,2.887294,429.41313,96000000.0,0.26539,1.0616,0.0070434
4s2.4p4.(3P).5s,4P,0.5,2.0,14.580916,4s2.4p4.(3P).5p,4D*,1.5,4.0,17.156885,2.575969,481.31085,17000000.0,0.11808,0.23617,0.0031339
4s2.4p4.(3P).5s,4P,0.5,2.0,14.580916,4s2.4p4.(3P).5p,2P*,1.5,4.0,17.374575,2.793659,443.80579,66000000.0,0.38978,0.77956,0.010345
4s2.4p4.(3P).5s,4P,0.5,2.0,14.580916,4s2.4p4.(3P).5p,4D*,0.5,2.0,17.377806,2.796891,443.29295,180000000.0,0.53029,1.0606,0.014074
4s2.4p4.(3P).5s,2P,1.5,4.0,14.688948,4s2.4p4.(3P).5p,2D*,2.5,6.0,17.372322,2.683374,462.04595,81000000.0,0.38887,1.5555,0.010321
4s2.4p4.(3P).5s,2P,1.5,4.0,14.688948,4s2.4p4.(3P).5p,2P*,1.5,4.0,17.374575,2.685626,461.65843,54000000.0,0.17254,0.69017,0.0045793
4s2.4p4.(3P).5s,2P,1.5,4.0,14.688948,4s2.4p4.(3P).5p,2D*,1.5,4.0,17.605005,2.916056,425.17764,12000000.0,0.032522,0.13009,0.00086314
4s2.4p4.(3P).4d,4D,2.5,6.0,14.931036,4s2.4p4.(3P).5p,4P*,2.5,6.0,16.604442,1.673406,740.90912,7000000.0,0.057609,0.34565,0.0015289
4s2.4p4.(3P).5s,2P,0.5,2.0,15.002354,4s2.4p4.(3P).5p,4S*,1.5,4.0,17.571159,2.568805,482.65331,19000000.0,0.13271,0.26543,0.0035222
4s2.4p4.(3P).5s,2P,0.5,2.0,15.002354,4s2.4p4.(3P).5p,2D*,1.5,4.0,17.605005,2.60265,476.37671,42000000.0,0.28579,0.57157,0.0075847
4s2.4p4.(1D).5s,2D,1.5,4.0,15.820073,4s2.4p4.(1D).5p,2F*,2.5,6.0,18.494926,2.674853,463.5178,71000000.0,0.34304,1.3722,0.0091042
4s2.4p4.(1D).5s,2D,2.5,6.0,15.852807,4s2.4p4.(1D).5p,2F*,3.5,8.0,18.560782,2.707975,457.84839,96000000.0,0.40227,2.4136,0.010676
4s2.4p4.(3P).5p,4D*,2.5,6.0,16.870434,4s2.4p4.(3P).6s,4P,1.5,4.0,19.575078,2.704644,458.41232,76000000.0,0.15962,0.95774,0.0042364
