Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""4s2.4p4""","=""3P""","=""2""",5,"=""""","=""0.00000""","=""""","=""0""","=""                                            ""","=""L12196"""
"=""4s2.4p4""","=""3P""","=""1""",3,"=""""","=""0.56393""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p4""","=""3P""","=""0""",1,"=""""","=""0.65872""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p4""","=""1D""","=""2""",5,"=""""","=""1.81566""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p4""","=""1S""","=""0""",1,"=""""","=""4.10135""","=""""","=""""","=""                                            ""","="""""
"=""4s.4p5""","=""3P*""","=""2""",5,"=""""","=""14.373603""","=""""","=""""","=""  77         :    16  4s2.4p3.(2D*).4d 3P*  ""","="""""
"=""4s.4p5""","=""3P*""","=""1""",3,"=""""","=""14.801262""","=""""","=""""","=""  76         :    16  4s2.4p3.(2D*).4d 3P*  ""","="""""
"=""4s.4p5""","=""3P*""","=""0""",1,"=""""","=""15.069406""","=""""","=""""","=""  77         :    17  4s2.4p3.(2D*).4d 3P*  ""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""0""",1,"=""""","=""17.165202""","=""""","=""""","=""  98                                        ""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""1""",3,"=""""","=""17.168212""","=""""","=""""","=""  98                                        ""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""2""",5,"=""""","=""17.169406""","=""""","=""""","=""  98                                        ""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""3""",7,"=""""","=""17.170888""","=""""","=""""","=""  97                                        ""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""4""",9,"=""""","=""17.190304""","=""""","=""""","=""  97                                        ""","="""""
"=""4s.4p5""","=""1P*""","=""1""",3,"=""""","=""17.590402""","=""""","=""""","=""  40         :    50  4s2.4p3.(2D*).4d 1P*  ""","="""""
"=""4s2.4p3.(4S*).5s""","=""5S*""","=""2""",5,"=""""","=""18.066837""","=""""","=""""","=""  98                                        ""","="""""
"=""4s2.4p3.(4S*).4d""","=""3D*""","=""2""",5,"=""""","=""18.325429""","=""""","=""""","=""  47         :    32  4s2.4p3.(2D*).4d 3D*  ""","="""""
"=""4s2.4p3.(4S*).4d""","=""3D*""","=""3""",7,"=""""","=""18.440829""","=""""","=""""","=""  50         :    38  4s2.4p3.(2D*).4d 3D*  ""","="""""
"=""4s2.4p3.(4S*).4d""","=""3D*""","=""1""",3,"=""""","=""18.482554""","=""""","=""""","=""  56         :    37  4s2.4p3.(2D*).4d 3D*  ""","="""""
"=""4s2.4p3.(4S*).5s""","=""3S*""","=""1""",3,"=""""","=""18.793548""","=""""","=""""","=""  96                                        ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3F*""","=""2""",5,"=""""","=""19.039410""","=""""","=""""","=""  72         :    15  4s2.4p3.(2P*).4d 3F*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3F*""","=""3""",7,"=""""","=""19.180338""","=""""","=""""","=""  76         :    14  4s2.4p3.(2P*).4d 3F*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3F*""","=""4""",9,"=""""","=""19.351697""","=""""","=""""","=""  78         :    12  4s2.4p3.(2P*).4d 3F*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""1S*""","=""0""",1,"=""""","=""19.143124""","=""""","=""""","=""  97                                        ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3G*""","=""3""",7,"=""""","=""19.837029""","=""""","=""""","=""  91                                        ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3G*""","=""4""",9,"=""""","=""19.888908""","=""""","=""""","=""  85         :    12  4s2.4p3.(2D*).4d 3F*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3G*""","=""5""",11,"=""""","=""19.974922""","=""""","=""""","=""  99                                        ""","="""""
"=""4s2.4p3.(2D*).4d""","=""1G*""","=""4""",9,"=""""","=""20.189717""","=""""","=""""","=""  92                                        ""","="""""
"=""4s2.4p3.(2D*).5s""","=""3D*""","=""1""",3,"=""""","=""20.242766""","=""""","=""""","=""  77                                        ""","="""""
"=""4s2.4p3.(2D*).5s""","=""3D*""","=""2""",5,"=""""","=""20.288258""","=""""","=""""","=""  66         :    12  4s2.4p3.(2D*).5s 1D*  ""","="""""
"=""4s2.4p3.(2D*).5s""","=""3D*""","=""3""",7,"=""""","=""20.464020""","=""""","=""""","=""  93                                        ""","="""""
"=""4s2.4p3.(2P*).4d""","=""1D*""","=""2""",5,"=""""","=""20.514847""","=""""","=""""","=""  24         :    33  4s2.4p3.(2D*).5s 1D*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3D*""","=""1""",3,"=""""","=""21.102396""","=""""","=""""","=""  40         :    26  4s2.4p3.(2P*).4d 3D*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3D*""","=""2""",5,"=""""","=""21.382994""","=""""","=""""","=""  39         :    25  4s2.4p3.(2P*).4d 3D*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3D*""","=""3""",7,"=""""","=""21.629161""","=""""","=""""","=""  38         :    18  4s2.4p3.(2P*).4d 3F*  ""","="""""
"=""4s2.4p3.(2D*).5s""","=""1D*""","=""2""",5,"=""""","=""21.188768""","=""""","=""""","=""  48         :    27  4s2.4p3.(2P*).4d 1D*  ""","="""""
"=""4s2.4p3.(2P*).4d""","=""3P*""","=""0""",1,"=""""","=""21.324770""","=""""","=""""","=""  50         :    28  4s2.4p3.(2D*).4d 3P*  ""","="""""
"=""4s2.4p3.(2P*).4d""","=""3P*""","=""1""",3,"=""""","=""21.447172""","=""""","=""""","=""  50         :    28  4s2.4p3.(2D*).4d 3P*  ""","="""""
"=""4s2.4p3.(2P*).4d""","=""3P*""","=""2""",5,"=""""","=""21.919259""","=""""","=""""","=""  38         :    31  4s2.4p3.(2P*).5s 3P*  ""","="""""
"=""4s2.4p3.(2P*).4d""","=""3F*""","=""3""",7,"=""""","=""21.676239""","=""""","=""""","=""  61         :    10  4s2.4p3.(2P*).4d 3D*  ""","="""""
"=""4s2.4p3.(2P*).4d""","=""3F*""","=""4""",9,"=""""","=""21.702564""","=""""","=""""","=""  81                                        ""","="""""
"=""4s2.4p3.(2P*).4d""","=""3F*""","=""2""",5,"=""""","=""21.723415""","=""""","=""""","=""  75         :    18  4s2.4p3.(2D*).4d 3F*  ""","="""""
"=""4s2.4p3.(4S*).5p""","=""5P""","=""1""",3,"=""""","=""21.764660""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(4S*).5p""","=""5P""","=""2""",5,"=""""","=""21.793774""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(4S*).5p""","=""5P""","=""3""",7,"=""""","=""21.885693""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2P*).5s""","=""3P*""","=""0""",1,"=""""","=""22.099380""","=""""","=""""","=""  79         :    18  4s2.4p3.(2P*).4d 3P*  ""","="""""
"=""4s2.4p3.(2P*).5s""","=""3P*""","=""1""",3,"=""""","=""22.101300""","=""""","=""""","=""  61         :    24  4s2.4p3.(2D*).4d 3S*  ""","="""""
"=""4s2.4p3.(2P*).5s""","=""3P*""","=""2""",5,"=""""","=""22.347791""","=""""","=""""","=""  42         :    44  4s2.4p3.(2P*).4d 3P*  ""","="""""
"=""4s2.4p3.(4S*).5p""","=""3P""","=""1""",3,"=""""","=""22.271137""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(4S*).5p""","=""3P""","=""2""",5,"=""""","=""22.327440""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(4S*).5p""","=""3P""","=""0""",1,"=""""","=""22.346555""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3S*""","=""1""",3,"=""""","=""22.473805""","=""""","=""""","=""  55         :    21  4s2.4p3.(2P*).5s 1P*  ""","="""""
"=""4s2.4p3.(2P*).5s""","=""1P*""","=""1""",3,"=""""","=""22.597971""","=""""","=""""","=""  67         :    12  4s2.4p3.(2D*).4d 3S*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""1F*""","=""3""",7,"=""""","=""22.684996""","=""""","=""""","=""  44         :    23  4s2.4p3.(2P*).4d 1F*  ""","="""""
"=""4s2.4p3.(2P*).4d""","=""3D*""","=""3""",7,"=""""","=""22.923664""","=""""","=""""","=""  59         :    22  4s2.4p3.(2P*).4d 1F*  ""","="""""
"=""4s2.4p3.(2P*).4d""","=""3D*""","=""2""",5,"=""""","=""23.022456""","=""""","=""""","=""  34         :    19  4s2.4p3.(2D*).4d 3P*  ""","="""""
"=""4s2.4p3.(2P*).4d""","=""3D*""","=""1""",3,"=""""","=""23.337946""","=""""","=""""","=""  51         :    19  4s2.4p3.(4S*).4d 3D*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3P*""","=""2""",5,"=""""","=""23.379594""","=""""","=""""","=""  43         :    21  4s2.4p3.(2P*).4d 3D*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3P*""","=""1""",3,"=""""","=""23.585044""","=""""","=""""","=""  48         :    17  4s2.4p3.(2P*).4d 3P*  ""","="""""
"=""4s2.4p3.(2D*).5p""","=""3D""","=""1""",3,"=""""","=""23.646710""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2D*).5p""","=""3D""","=""2""",5,"=""""","=""24.035001""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2D*).5p""","=""3D""","=""3""",7,"=""""","=""24.236183""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2D*).5p""","=""3F""","=""2""",5,"=""""","=""23.891984""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2D*).5p""","=""3F""","=""3""",7,"=""""","=""24.031250""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2D*).5p""","=""3F""","=""4""",9,"=""""","=""24.260546""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2D*).4d""","=""1D*""","=""2""",5,"=""""","=""24.009753""","=""""","=""""","=""  56         :    28  4s2.4p3.(2P*).4d 1D*  ""","="""""
"=""4s2.4p3.(2D*).5p""","=""1P""","=""1""",3,"=""""","=""24.067844""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2D*).5p""","=""1F""","=""3""",7,"=""""","=""24.172308""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2P*).4d""","=""1F*""","=""3""",7,"=""""","=""24.336391""","=""""","=""""","=""  46         :    40  4s2.4p3.(2D*).4d 1F*  ""","="""""
"=""4s2.4p3.(2D*).5p""","=""3P""","=""2""",5,"=""""","=""24.562234""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2D*).5p""","=""3P""","=""0""",1,"=""""","=""24.646677""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2D*).5p""","=""3P""","=""1""",3,"=""""","=""24.651078""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2D*).5p""","=""1D""","=""2""",5,"=""""","=""25.155890""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2P*).5p""","=""3D""","=""1""",3,"=""""","=""25.695354""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2P*).5p""","=""3D""","=""2""",5,"=""""","=""25.851944""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2P*).5p""","=""3D""","=""3""",7,"=""""","=""26.020381""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2P*).5p""","=""3S""","=""1""",3,"=""""","=""25.864287""","=""""","=""""","=""                                            ""","=""L10028"""
"=""4s2.4p3.(2P*).5p""","=""3P""","=""1""",3,"=""""","=""25.947960""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2P*).5p""","=""3P""","=""0""",1,"=""""","=""26.010191""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2P*).5p""","=""3P""","=""2""",5,"=""""","=""26.415767""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2P*).5p""","=""1D""","=""2""",5,"=""""","=""26.299951""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(2P*).5p""","=""1P""","=""1""",3,"=""""","=""26.317350""","=""""","=""""","=""                                            ""","="""""
"=""4s2.4p3.(4S*).6s""","=""5S*""","=""2""",5,"=""""","=""26.721220""","=""""","=""""","=""  99                                        ""","="""""
"=""4s2.4p3.(4S*).5d""","=""5D*""","=""0""",1,"=""""","=""26.842635""","=""""","=""""","=""  96                                        ""","="""""
"=""4s2.4p3.(4S*).5d""","=""5D*""","=""1""",3,"=""""","=""26.844388""","=""""","=""""","=""  96                                        ""","="""""
"=""4s2.4p3.(4S*).5d""","=""5D*""","=""2""",5,"=""""","=""26.846142""","=""""","=""""","=""  95                                        ""","="""""
"=""4s2.4p3.(4S*).5d""","=""5D*""","=""3""",7,"=""""","=""26.848131""","=""""","=""""","=""  95                                        ""","="""""
"=""4s2.4p3.(4S*).5d""","=""5D*""","=""4""",9,"=""""","=""26.855511""","=""""","=""""","=""  95                                        ""","="""""
"=""4s2.4p3.(4S*).6s""","=""3S*""","=""1""",3,"=""""","=""26.951175""","=""""","=""""","=""  98                                        ""","="""""
"=""4s2.4p3.(4S*).5d""","=""3D*""","=""2""",5,"=""""","=""27.448687""","=""""","=""""","=""  79                                        ""","="""""
"=""4s2.4p3.(4S*).5d""","=""3D*""","=""3""",7,"=""""","=""27.495681""","=""""","=""""","=""  84                                        ""","="""""
"=""4s2.4p3.(4S*).5d""","=""3D*""","=""1""",3,"=""""","=""27.497750""","=""""","=""""","=""  84                                        ""","="""""
"=""4s2.4p3.(2D*).5d""","=""3D*""","=""2""",5,"=""""","=""28.902074""","=""""","=""""","=""  41         :    26  4s2.4p3.(2D*).6s 3D*  ""","="""""
"=""4s2.4p3.(2D*).5d""","=""3D*""","=""1""",3,"=""""","=""29.014873""","=""""","=""""","=""  64         :    11  4s2.4p3.(2D*).6s 3D*  ""","="""""
"=""4s2.4p3.(2D*).5d""","=""3D*""","=""3""",7,"=""""","=""29.059434""","=""""","=""""","=""  45         :    35  4s2.4p3.(2D*).5d 3F*  ""","="""""
"=""4s2.4p3.(2D*).5d""","=""1S*""","=""0""",1,"=""""","=""28.905521""","=""""","=""""","=""  78         :    10  4s2.4p3.(2P*).5d 3P*  ""","="""""
"=""4s2.4p3.(2D*).5d""","=""3G*""","=""4""",9,"=""""","=""28.919790""","=""""","=""""","=""  54         :    27  4s2.4p3.(2D*).5d 1G*  ""","="""""
"=""4s2.4p3.(2D*).6s""","=""3D*""","=""2""",5,"=""""","=""28.931251""","=""""","=""""","=""  53         :    20  4s2.4p3.(2D*).5d 3D*  ""","="""""
"=""4s2.4p3.(2D*).6s""","=""3D*""","=""3""",7,"=""""","=""29.082588""","=""""","=""""","=""  97                                        ""","="""""
"=""4s2.4p3.(2D*).6s""","=""1D*""","=""2""",5,"=""""","=""29.158831""","=""""","=""""","=""  82         :    16  4s2.4p3.(2D*).6s 3D*  ""","="""""
