obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""6.22""","=""0.10""","=""6.22""","=""0.10""","=""""","=""""",,"=""0.000""","=""199""","=""3d10""","=""1S""","=""0""","=""3d9.6f""","=""*""","=""1""",1,3,,"=""""","=""L4443""",
"=""6.61""","=""0.05""","=""6.61""","=""0.05""","=""""","=""""",,"=""0.000""","=""187.6""","=""3d10""","=""1S""","=""0""","=""3d9.5f""","=""*""","=""1""",1,3,,"=""""","=""L9870""",
"=""7.5455""","=""0.0005""","=""7.5455""","=""0.0005""","=""9300""","=""""",,"=""0.000""","=""164.315""","=""3d10""","=""1S""","=""0""","=""3d9.4f""","=""(3/2,5/2)*""","=""1""",1,3,,"=""""","=""L10636""",
"=""7.6296""","=""0.0005""","=""7.62955""","=""0.00012""","=""4300""","=""""",,"=""0.000""","=""162.5053""","=""3d10""","=""1S""","=""0""","=""3d9.4f""","=""(5/2,7/2)*""","=""1""",1,3,,"=""""","=""L10636""",
"=""7.6789""","=""0.0005""","=""7.6789""","=""0.0005""","=""1000""","=""""",,"=""0.000""","=""161.461""","=""3d10""","=""1S""","=""0""","=""3d9.4f""","=""(5/2,5/2)*""","=""1""",1,3,,"=""""","=""L10636""",
"=""11.4948""","=""0.0005""","=""11.4948""","=""0.0003""","=""11000""","=""""",,"=""0.000""","=""107.86109""","=""3d10""","=""1S""","=""0""","=""3d9.4p""","=""(3/2,3/2)*""","=""1""",1,3,,"=""""","=""L10636""",
"=""11.5738""","=""0.0005""","=""11.5738""","=""0.0003""","=""28000""","=""""",,"=""0.000""","=""107.12496""","=""3d10""","=""1S""","=""0""","=""3d9.4p""","=""(3/2,1/2)*""","=""1""",1,3,,"=""""","=""L10636""",
"=""11.7709""","=""0.0005""","=""11.7709""","=""0.0003""","=""770""","=""""",,"=""0.000""","=""105.33085""","=""3d10""","=""1S""","=""0""","=""3d9.4p""","=""(5/2,3/2)*""","=""1""",1,3,,"=""""","=""L10636""",
"=""32.8640""","=""0.0010""","=""32.8640""","=""0.0010""","=""370""","=""""",,"=""107.12496""","=""144.8514""","=""3d9.4p""","=""(3/2,1/2)*""","=""1""","=""3d9.4d""","=""(5/2,5/2)""","=""0""",3,1,,"=""""","=""L12118""",
"=""38.5676""","=""0.0007""","=""38.5682""","=""0.0003""","=""210""","=""""",,"=""104.68309""","=""136.82982""","=""3d9.4p""","=""(5/2,1/2)*""","=""3""","=""3d9.4d""","=""(3/2,3/2)""","=""3""",7,7,,"=""""","=""L12118""",
"=""38.6632""","=""0.0007""","=""38.6634""","=""0.0003""","=""830""","=""""",,"=""105.63076""","=""137.69831""","=""3d9.4p""","=""(3/2,1/2)*""","=""2""","=""3d9.4d""","=""(3/2,3/2)""","=""2""",5,5,,"=""""","=""L12118""",
"=""38.8714""","=""0.0007""","=""38.8711""","=""0.0003""","=""660""","=""""",,"=""103.99175""","=""135.88802""","=""3d9.4p""","=""(5/2,1/2)*""","=""2""","=""3d9.4d""","=""(5/2,3/2)""","=""3""",5,7,,"=""""","=""L12118""",
"=""38.9737""","=""0.0007""","=""38.9737""","=""0.0003""","=""170""","=""""",,"=""105.63076""","=""137.4430""","=""3d9.4p""","=""(3/2,1/2)*""","=""2""","=""3d9.4d""","=""(3/2,5/2)""","=""2""",5,5,,"=""""","=""L12118""",
"=""39.2537""","=""0.0007""","=""39.2528""","=""0.0003""","=""130""","=""""",,"=""105.33085""","=""136.91697""","=""3d9.4p""","=""(5/2,3/2)*""","=""1""","=""3d9.4d""","=""(3/2,3/2)""","=""1""",3,3,,"=""""","=""L12118""",
"=""39.3075""","=""0.0007""","=""39.3085""","=""0.0004""","=""790""","=""""",,"=""103.99175""","=""135.5331""","=""3d9.4p""","=""(5/2,1/2)*""","=""2""","=""3d9.4d""","=""(5/2,3/2)""","=""2""",5,5,,"=""""","=""L12118""",
"=""39.3244""","=""0.0007""","=""39.3241""","=""0.0003""","=""290""","=""""",,"=""103.99175""","=""135.5206""","=""3d9.4p""","=""(5/2,1/2)*""","=""2""","=""3d9.4d""","=""(5/2,5/2)""","=""1""",5,3,,"=""""","=""L12118""",
"=""39.4596""","=""0.0007""","=""39.4596""","=""0.0003""","=""570""","=""""",,"=""104.68309""","=""136.10367""","=""3d9.4p""","=""(5/2,1/2)*""","=""3""","=""3d9.4d""","=""(5/2,5/2)""","=""3""",7,7,,"=""""","=""L12118""",
"=""39.6295""","=""0.0007""","=""39.6290""","=""0.0003""","=""150""","=""""",,"=""105.63076""","=""136.91697""","=""3d9.4p""","=""(3/2,1/2)*""","=""2""","=""3d9.4d""","=""(3/2,3/2)""","=""1""",5,3,,"=""""","=""L12118""",
"=""39.7329""","=""0.0007""","=""39.7323""","=""0.0003""","=""670""","=""""",,"=""104.68309""","=""135.88802""","=""3d9.4p""","=""(5/2,1/2)*""","=""3""","=""3d9.4d""","=""(5/2,3/2)""","=""3""",7,7,,"=""""","=""L12118""",
"=""39.7394""","=""0.0007""","=""39.7397""","=""0.0003""","=""730""","=""""",,"=""105.63076""","=""136.82982""","=""3d9.4p""","=""(3/2,1/2)*""","=""2""","=""3d9.4d""","=""(3/2,3/2)""","=""3""",5,7,,"=""""","=""L12118""",
"=""39.8826""","=""0.0007""","=""39.8832""","=""0.0003""","=""180""","=""""",,"=""105.33085""","=""136.41768""","=""3d9.4p""","=""(5/2,3/2)*""","=""1""","=""3d9.4d""","=""(3/2,5/2)""","=""1""",3,3,,"=""""","=""L12118""",
"=""39.9709""","=""0.0007""","=""39.9704""","=""0.0003""","=""230""","=""""",,"=""106.67934""","=""137.69831""","=""3d9.4p""","=""(5/2,3/2)*""","=""2""","=""3d9.4d""","=""(3/2,3/2)""","=""2""",5,5,,"=""""","=""L12118""",
