Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""4s2.4p2""","=""3P""","=""0""",1,"=""""","=""0.00000""","=""""","=""0""","=""  98                                      ""","=""L12196"""
"=""4s2.4p2""","=""3P""","=""1""",3,"=""""","=""0.464055""","=""""","=""""","="" 100                                      ""","="""""
"=""4s2.4p2""","=""3P""","=""2""",5,"=""""","=""0.941702""","=""""","=""""","=""  96                                      ""","="""""
"=""4s2.4p2""","=""1D""","=""2""",5,"=""""","=""2.445332""","=""""","=""""","=""  96                                      ""","="""""
"=""4s2.4p2""","=""1S""","=""0""",1,"=""""","=""4.860667""","=""""","=""""","=""  98                                      ""","="""""
"=""4s.4p3""","=""3D*""","=""1""",3,"=""""","=""16.075563""","=""""","=""""","=""  86                                      ""","="""""
"=""4s.4p3""","=""3D*""","=""2""",5,"=""""","=""16.090579""","=""""","=""""","=""  85                                      ""","="""""
"=""4s.4p3""","=""3D*""","=""3""",7,"=""""","=""16.243966""","=""""","=""""","=""  90         :    10  4s2.4p.4d      3D*  ""","="""""
"=""4s.4p3""","=""3P*""","=""0""",1,"=""""","=""18.340397""","=""""","=""""","=""  90         :    10  4s2.4p.4d      3P*  ""","="""""
"=""4s.4p3""","=""3P*""","=""1""",3,"=""""","=""18.385218""","=""""","=""""","=""  86                                      ""","="""""
"=""4s.4p3""","=""3P*""","=""2""",5,"=""""","=""18.432534""","=""""","=""""","=""  77                                      ""","="""""
"=""4s.4p3""","=""1D*""","=""2""",5,"=""""","=""20.257427""","=""""","=""""","=""  50         :    31  4s2.4p.4d      1D*  ""","="""""
"=""4s.4p3""","=""3S*""","=""1""",3,"=""""","=""22.944955""","=""""","=""""","=""  64         :    36  4s.4p3         1P*  ""","="""""
"=""4s2.4p.4d""","=""3F*""","=""2""",5,"=""""","=""23.5916""","=""""","=""""","=""  99                                      ""","="""""
"=""4s2.4p.4d""","=""3F*""","=""3""",7,"=""""","=""23.9226""","=""""","=""""","=""  99                                      ""","="""""
"=""4s.4p3""","=""1P*""","=""1""",3,"=""""","=""24.058025""","=""""","=""""","=""  46         :    29  4s.4p3         3S*  ""","="""""
"=""4s2.4p.4d""","=""3P*""","=""2""",5,"=""""","=""26.202395""","=""""","=""""","=""  58         :    12  4s2.4p.4d      1D*  ""","="""""
"=""4s2.4p.4d""","=""3P*""","=""1""",3,"=""""","=""26.524295""","=""""","=""""","=""  56         :    34  4s2.4p.4d      3D*  ""","="""""
"=""4s2.4p.4d""","=""3P*""","=""0""",1,"=""""","=""26.832695""","=""""","=""""","=""  90         :    10  4s.4p3         3P*  ""","="""""
"=""4s2.4p.4d""","=""1D*""","=""2""",5,"=""""","=""26.889016""","=""""","=""""","=""  40         :    44  4s.4p3         1D*  ""","="""""
"=""4s2.4p.4d""","=""3D*""","=""1""",3,"=""""","=""27.121148""","=""""","=""""","=""  56         :    32  4s2.4p.4d      3P*  ""","="""""
"=""4s2.4p.4d""","=""3D*""","=""3""",7,"=""""","=""27.199848""","=""""","=""""","=""  88         :    10  4s.4p3         3D*  ""","="""""
"=""4s2.4p.4d""","=""3D*""","=""2""",5,"=""""","=""27.254612""","=""""","=""""","=""  66         :    14  4s2.4p.4d      1D*  ""","="""""
"=""4s2.4p.4d""","=""1F*""","=""3""",7,"=""""","=""29.027288""","=""""","=""""","="" 100                                      ""","="""""
"=""4s2.4p.4d""","=""1P*""","=""1""",3,"=""""","=""29.473596""","=""""","=""""","=""  74         :    17  4s.4p3         1P*  ""","="""""
"=""4s2.4p.5s""","=""3P*""","=""1""",3,"=""""","=""29.8710""","=""""","=""""","=""  67         :    24  4s2.4p.4d      1P*  ""","="""""
"=""4s2.4p.5s""","=""3P*""","=""2""",5,"=""""","=""30.5991""","=""""","=""""","="" 100                                      ""","="""""
"=""4s2.4p.5s""","=""1P*""","=""1""",3,"=""""","=""31.1192""","=""""","=""""","=""  79         :    12  4s2.4p.5s      3P*  ""","="""""
"=""4s2.4p.5p""","=""3D""","=""1""",3,"=""""","=""34.5827""","=""""","=""""","=""  56         :    42  4s2.4p.5p      1P   ""","="""""
"=""4s2.4p.5p""","=""3D""","=""2""",5,"=""""","=""35.1715""","=""""","=""""","=""  85                                      ""","="""""
"=""4s2.4p.5p""","=""3D""","=""3""",7,"=""""","=""35.9552""","=""""","=""""","=""  99                                      ""","="""""
"=""4s2.4p.5p""","=""1P""","=""1""",3,"=""""","=""35.1568""","=""""","=""""","=""  32         :    32  4s2.4p.5p      3D   ""","="""""
"=""4s2.4p.5p""","=""3P""","=""1""",3,"=""""","=""35.7921""","=""""","=""""","=""  64         :    22  4s2.4p.5p      1P   ""","="""""
"=""4s2.4p.5p""","=""3P""","=""2""",5,"=""""","=""36.0965""","=""""","=""""","=""  78         :    13  4s2.4p.5p      3D   ""","="""""
"=""4s2.4p.5p""","=""3S""","=""1""",3,"=""""","=""36.4148""","=""""","=""""","=""  86                                      ""","="""""
"=""4s2.4p.5p""","=""1D""","=""2""",5,"=""""","=""36.7737""","=""""","=""""","=""  85         :    13  4s2.4p.5p      3P   ""","="""""
"=""4s2.4p.5p""","=""1S""","=""0""",1,"=""""","=""38.1458""","=""""","=""""","=""  68         :    21  4p4            1S   ""","="""""
"=""4p4""","=""3P""","=""2""",5,"=""""","=""38.86645""","=""""","=""""","=""  48         :    44  4s.4p2.(3P).4d 3P   ""","="""""
"=""4p4""","=""3P""","=""1""",3,"=""""","=""39.48161""","=""""","=""""","=""  48         :    46  4s.4p2.(3P).4d 3P   ""","="""""
"=""4p4""","=""3P""","=""0""",1,"=""""","=""39.62131""","=""""","=""""","=""  48         :    47  4s.4p2.(3P).4d 3P   ""","="""""
"=""4p4""","=""1D""","=""2""",5,"=""""","=""41.07034""","=""""","=""""","=""  61         :    29  4s.4p2.(1D).4d 1D   ""","="""""
"=""4p4""","=""1S""","=""0""",1,"=""""","=""44.20927""","=""""","=""""","=""  56         :    36  4s.4p2.(1D).4d 1S   ""","="""""
"=""Kr VI (4p 2P*<1/2>)""","=""Limit""","=""---""",,"=""[""","=""64.69""","=""]""","=""0.20""","=""                                          ""","=""L12196,L16139"""
