obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""11.4742""","=""11.4743""","=""0.0005""","=""4""","=""""",,"=""17.81603""","=""125.870""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4p2.(1S)""","=""2D""","=""3/2""",2,4,,"=""""","=""L10636""",
"=""11.5248""","=""11.52412""","=""0.00019""","=""5""","=""""",,"=""0.00000""","=""107.5867""","=""3d10.4s""","=""2S""","=""1/2""","=""3d10.8p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L10636""",
"=""11.6047""","=""11.6046""","=""0.0005""","=""1""","=""""",,"=""19.02860""","=""125.870""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4p2.(1S)""","=""2D""","=""3/2""",4,4,,"=""""","=""L10636""",
"=""11.7355""","=""11.7355""","=""0.0008""","=""12""","=""""",,"=""19.02860""","=""124.677""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4p2.(1S)""","=""2D""","=""5/2""",4,6,,"=""""","=""L10636""",
"=""11.8178""","=""11.8178""","=""0.0008""","=""350""","=""""",,"=""0.00000""","=""104.913""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.(2D).4s.4p.(1P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L10636""",
"=""11.9447""","=""11.9447""","=""0.0009""","=""600""","=""""",,"=""0.00000""","=""103.798""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.(2D).4s.4p.(1P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L10636""",
"=""11.9538""","=""11.9541""","=""0.0006""","=""3""","=""""",,"=""17.81603""","=""121.533""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4p2.(3P)""","=""2P""","=""3/2""",2,4,,"=""""","=""L10636""",
"=""11.9603""","=""11.9603""","=""0.0009""","=""5""","=""""",,"=""17.81603""","=""121.479""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4p2.(3P)""","=""4P""","=""1/2""",2,2,,"=""""","=""L10636""",
"=""11.9880""","=""11.9881""","=""0.0006""","=""20""","=""""",,"=""17.81603""","=""121.239""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4p2.(3P)""","=""2P""","=""1/2""",2,2,,"=""""","=""L10636""",
"=""12.0906""","=""12.0906""","=""0.0009""","=""100""","=""""",,"=""17.81603""","=""120.362""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4p2.(1D)""","=""2D""","=""3/2""",2,4,,"=""""","=""L10636""",
"=""12.0958""","=""12.0955""","=""0.0006""","=""100""","=""""",,"=""19.02860""","=""121.533""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4p2.(3P)""","=""2P""","=""3/2""",4,4,,"=""""","=""L10636""",
"=""12.1303""","=""12.1303""","=""0.0006""","=""20p""","=""""",,"=""19.02860""","=""121.239""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4p2.(3P)""","=""2P""","=""1/2""",4,2,,"=""""","=""L10636""",
"=""12.1493""","=""12.1493""","=""0.0007""","=""35""","=""""",,"=""19.02860""","=""121.079""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4p2.(3P)""","=""4P""","=""3/2""",4,4,,"=""""","=""L10636""",
"=""12.1577""","=""12.1577""","=""0.0007""","=""90""","=""""",,"=""17.81603""","=""119.796""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4p2.(3P)""","=""2D""","=""3/2""",2,4,,"=""""","=""L10636""",
"=""12.1595""","=""12.1595""","=""0.0007""","=""250""","=""""",,"=""19.02860""","=""120.993""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4p2.(3P)""","=""2D""","=""5/2""",4,6,,"=""""","=""L10636""",
"=""12.1890""","=""12.1890""","=""0.0007""","=""80""","=""""",,"=""17.81603""","=""119.534""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4p2.(3P)""","=""4F""","=""3/2""",2,4,,"=""""","=""L10636""",
"=""12.2914""","=""12.29181""","=""0.00010""","=""50""","=""""",,"=""0.00000""","=""100.8673""","=""3d10.4s""","=""2S""","=""1/2""","=""3d10.7p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L10636""",
"=""12.3076""","=""12.30806""","=""0.00010""","=""35""","=""""",,"=""0.00000""","=""100.7342""","=""3d10.4s""","=""2S""","=""1/2""","=""3d10.7p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L10636""",
