obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""12.55""","=""12.54""","=""0.08""","=""*""","=""""",,"=""[61.280467]""","=""160.2""","=""1s.2p""","=""3P*""","=""1""","=""2p.3p""","=""3P""","=""1""",3,3,,"=""""","=""L3160,L1992""",
"=""12.55""","=""12.54""","=""0.08""","=""*""","=""""",,"=""[61.280749]""","=""160.2""","=""1s.2p""","=""3P*""","=""2""","=""2p.3p""","=""3P""","=""1""",5,3,,"=""""","=""L3160,L1992""",
"=""12.55""","=""12.54""","=""0.08""","=""*""","=""""",,"=""[61.280467]""","=""160.2""","=""1s.2p""","=""3P*""","=""1""","=""2p.3p""","=""3P""","=""0""",3,1,,"=""""","=""L3160,L1992""",
"=""12.55""","=""12.54""","=""0.08""","=""*""","=""""",,"=""[61.280749]""","=""160.2""","=""1s.2p""","=""3P*""","=""2""","=""2p.3p""","=""3P""","=""2""",5,5,,"=""""","=""L3160,L1992""",
"=""12.55""","=""12.54""","=""0.08""","=""*""","=""""",,"=""[61.280467]""","=""160.2""","=""1s.2p""","=""3P*""","=""1""","=""2p.3p""","=""3P""","=""2""",3,5,,"=""""","=""L3160,L1992""",
"=""12.55""","=""12.54""","=""0.08""","=""*""","=""""",,"=""[61.281137]""","=""160.2""","=""1s.2p""","=""3P*""","=""0""","=""2p.3p""","=""3P""","=""1""",1,3,,"=""""","=""L3160,L1992""",
"=""12.55""","=""12.55""","=""0.08""","=""*""","=""""",,"=""[61.280749]""","=""160.1""","=""1s.2p""","=""3P*""","=""2""","=""2p.3p""","=""3D""","=""3""",5,7,,"=""""","=""L3160,L1992""",
"=""12.55""","=""12.55""","=""0.08""","=""*""","=""""",,"=""[61.281137]""","=""160.1""","=""1s.2p""","=""3P*""","=""0""","=""2p.3p""","=""3D""","=""1""",1,3,,"=""""","=""L3160,L1992""",
"=""12.55""","=""12.55""","=""0.08""","=""*""","=""""",,"=""[61.280749]""","=""160.1""","=""1s.2p""","=""3P*""","=""2""","=""2p.3p""","=""3D""","=""1""",5,3,,"=""""","=""L3160,L1992""",
"=""12.55""","=""12.55""","=""0.08""","=""*""","=""""",,"=""[61.280467]""","=""160.1""","=""1s.2p""","=""3P*""","=""1""","=""2p.3p""","=""3D""","=""1""",3,3,,"=""""","=""L3160,L1992""",
"=""12.55""","=""12.55""","=""0.08""","=""*""","=""""",,"=""[61.280749]""","=""160.1""","=""1s.2p""","=""3P*""","=""2""","=""2p.3p""","=""3D""","=""2""",5,5,,"=""""","=""L3160,L1992""",
"=""12.55""","=""12.55""","=""0.08""","=""*""","=""""",,"=""[61.280467]""","=""160.1""","=""1s.2p""","=""3P*""","=""1""","=""2p.3p""","=""3D""","=""2""",3,5,,"=""""","=""L3160,L1992""",
"=""13.65""","=""13.65""","=""0.06""","=""*""","=""""",,"=""[69.585174]""","=""160.4""","=""1s.3d""","=""3D""","=""2""","=""2p.3d""","=""3D*""","=""3""",5,7,,"=""""","=""L3160,L1992""",
"=""13.65""","=""13.65""","=""0.06""","=""*""","=""""",,"=""[69.585317]""","=""160.4""","=""1s.3d""","=""3D""","=""1""","=""2p.3d""","=""3D*""","=""1""",3,3,,"=""""","=""L3160,L1992""",
"=""13.65""","=""13.65""","=""0.06""","=""*""","=""""",,"=""[69.585174]""","=""160.4""","=""1s.3d""","=""3D""","=""2""","=""2p.3d""","=""3D*""","=""1""",5,3,,"=""""","=""L3160,L1992""",
"=""13.65""","=""13.65""","=""0.06""","=""*""","=""""",,"=""[69.585317]""","=""160.4""","=""1s.3d""","=""3D""","=""1""","=""2p.3d""","=""3D*""","=""2""",3,5,,"=""""","=""L3160,L1992""",
"=""13.65""","=""13.65""","=""0.06""","=""*""","=""""",,"=""[69.585251]""","=""160.4""","=""1s.3d""","=""3D""","=""3""","=""2p.3d""","=""3D*""","=""2""",7,5,,"=""""","=""L3160,L1992""",
"=""13.65""","=""13.65""","=""0.06""","=""*""","=""""",,"=""[69.585174]""","=""160.4""","=""1s.3d""","=""3D""","=""2""","=""2p.3d""","=""3D*""","=""2""",5,5,,"=""""","=""L3160,L1992""",
"=""13.65""","=""13.65""","=""0.06""","=""*""","=""""",,"=""[69.585251]""","=""160.4""","=""1s.3d""","=""3D""","=""3""","=""2p.3d""","=""3D*""","=""3""",7,7,,"=""""","=""L3160,L1992""",
"=""13.65""","=""13.65""","=""0.09""","=""*""","=""""",,"=""[69.36923]""","=""160.2""","=""1s.3p""","=""3P*""","=""2""","=""2p.3p""","=""3P""","=""2""",5,5,,"=""""","=""L3160,L1992""",
"=""13.65""","=""13.65""","=""0.09""","=""*""","=""""",,"=""[69.36910]""","=""160.2""","=""1s.3p""","=""3P*""","=""1""","=""2p.3p""","=""3P""","=""2""",3,5,,"=""""","=""L3160,L1992""",
"=""13.65""","=""13.65""","=""0.09""","=""*""","=""""",,"=""[69.36934]""","=""160.2""","=""1s.3p""","=""3P*""","=""0""","=""2p.3p""","=""3P""","=""1""",1,3,,"=""""","=""L3160,L1992""",
"=""13.65""","=""13.65""","=""0.09""","=""*""","=""""",,"=""[69.36923]""","=""160.2""","=""1s.3p""","=""3P*""","=""2""","=""2p.3p""","=""3P""","=""1""",5,3,,"=""""","=""L3160,L1992""",
"=""13.65""","=""13.65""","=""0.09""","=""*""","=""""",,"=""[69.36910]""","=""160.2""","=""1s.3p""","=""3P*""","=""1""","=""2p.3p""","=""3P""","=""1""",3,3,,"=""""","=""L3160,L1992""",
"=""13.65""","=""13.65""","=""0.09""","=""*""","=""""",,"=""[69.36910]""","=""160.2""","=""1s.3p""","=""3P*""","=""1""","=""2p.3p""","=""3P""","=""0""",3,1,,"=""""","=""L3160,L1992""",
"=""14.05""","=""14.05""","=""0.04""","=""*""","=""""",,"=""[61.280467]""","=""149.52""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""0""",3,1,,"=""""","=""L3160,L1992""",
"=""14.05""","=""14.05""","=""0.04""","=""*""","=""""",,"=""[61.281137]""","=""149.52""","=""1s.2p""","=""3P*""","=""0""","=""2p2""","=""3P""","=""1""",1,3,,"=""""","=""L3160,L1992""",
"=""14.05""","=""14.05""","=""0.04""","=""*""","=""""",,"=""[61.280749]""","=""149.52""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""2""",5,5,,"=""""","=""L3160,L1992""",
"=""14.05""","=""14.05""","=""0.04""","=""*""","=""""",,"=""[61.280749]""","=""149.52""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""1""",5,3,,"=""""","=""L3160,L1992""",
