spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Li II,Li,1,1s2,1S,0.0,1,0.0,1.2e-06,even,,no,75.640097,,metastable - no allowed radiative channel,,,,,,,yes,L3501
Li II,Li,1,1s.2s,3S,1.0,3,59.020708,1.2e-05,even,,no,75.640097,49.04364884747426,"ASD 1/sum(Aki), J-resolved",49.04364884747426,1/1,yes,59.020708,59.020708,49.0436,,L3501c202
Li II,Li,1,1s.2s,1S,0.0,1,60.922576,1.9e-05,even,,no,75.640097,,metastable - no allowed radiative channel,,,,,,,yes,L4834c203
Li II,Li,1,1s.2p,3P*,1.0,3,61.280467,1.2e-05,odd,,no,75.640097,4.401408438148975e-08,"ASD 1/sum(Aki), J-resolved",4.401408438148975e-08,2/2,yes,2.2597590000000025,2.2597590000000025,4.40024e-08,,L3501c202
Li II,Li,1,1s.2p,3P*,2.0,5,61.280749,1.2e-05,odd,,no,75.640097,4.400046024481416e-08,"ASD 1/sum(Aki), J-resolved",4.400046024481416e-08,2/2,yes,2.260041000000001,61.280749,4.40024e-08,,L3501c202
Li II,Li,1,1s.2p,3P*,0.0,1,61.281137,1.2e-05,odd,,no,75.640097,4.400246413799173e-08,"ASD 1/sum(Aki), J-resolved",4.400246413799173e-08,1/1,yes,2.260429000000002,2.260429000000002,4.40024e-08,,L3501c202
Li II,Li,1,1s.2p,1P*,1.0,3,62.216228,1.2e-05,odd,,no,75.640097,3.910199555390102e-11,"ASD 1/sum(Aki), J-resolved",3.910199555390102e-11,3/3,yes,62.216228,62.216228,3.9102e-11,,L3501c202
Li II,Li,1,1s.3s,3S,1.0,3,68.780678,1.2e-05,even,,no,75.640097,3.4982893365144444e-09,"ASD 1/sum(Aki), J-resolved",3.4982893365144444e-09,3/3,yes,7.4999289999999945,7.500210999999993,3.49829e-09,,L3501c202
Li II,Li,1,1s.3s,1S,0.0,1,69.27952,1.2e-05,even,,no,75.640097,4.878286745694912e-09,"ASD 1/sum(Aki), J-resolved",4.878286745694912e-09,1/1,yes,7.063292000000004,7.063292000000004,4.87829e-09,,L3501c202
Li II,Li,1,1s.3p,3P*,1.0,3,69.3691,0.00019,odd,,no,75.640097,3.421535968554716e-09,"ASD 1/sum(Aki), J-resolved",3.421535968554716e-09,2/2,yes,10.348392000000004,10.348392000000004,3.42177e-09,,L3501c202
Li II,Li,1,1s.3p,3P*,2.0,5,69.36923,0.0001,odd,,no,75.640097,3.4217699822436143e-09,"ASD 1/sum(Aki), J-resolved",3.4217699822436143e-09,3/3,yes,10.348522000000003,69.36923,3.42177e-09,,L3501c202
Li II,Li,1,1s.3p,3P*,0.0,1,69.36934,4e-05,odd,,no,75.640097,3.421770122745738e-09,"ASD 1/sum(Aki), J-resolved",3.421770122745738e-09,2/2,yes,10.348631999999995,10.348631999999995,3.42177e-09,,L3501c202
Li II,Li,1,1s.3d,3D,2.0,5,69.585174,1.2e-05,even,,no,75.640097,8.915038336697477e-10,"ASD 1/sum(Aki), J-resolved",8.915038336697477e-10,5/5,yes,8.304706999999993,8.304706999999993,8.91238e-10,,L3501c202
Li II,Li,1,1s.3d,3D,3.0,7,69.585251,1.2e-05,even,,no,75.640097,8.914959320461148e-10,"ASD 1/sum(Aki), J-resolved",8.914959320461148e-10,2/2,yes,8.304502,8.304502,8.91238e-10,,L3501c202
Li II,Li,1,1s.3d,3D,1.0,3,69.585317,2.5e-05,even,,no,75.640097,8.915078580518134e-10,"ASD 1/sum(Aki), J-resolved",8.915078580518134e-10,6/6,yes,8.304180000000002,8.304850000000002,8.91238e-10,,L3501c202
Li II,Li,1,1s.3d,1D,2.0,5,69.588952,1.2e-05,even,,no,75.640097,9.926933275455845e-10,"ASD 1/sum(Aki), J-resolved",9.926933275455845e-10,8/8,yes,7.372724000000005,69.588952,9.92693e-10,,L3501c202
Li II,Li,1,1s.3p,1P*,1.0,3,69.648365,1.9e-05,odd,,no,75.640097,1.2427303430689386e-10,"ASD 1/sum(Aki), J-resolved",1.2427303430689386e-10,7/7,yes,69.648365,69.648365,1.24273e-10,,L3501c202
Li II,Li,1,1s.4s,3S,1.0,3,71.908412,1.2e-05,even,,no,75.640097,5.661930650408621e-09,"ASD 1/sum(Aki), J-resolved",5.661930650408621e-09,6/6,yes,10.627662999999998,10.627944999999997,,,L3501c202
Li II,Li,1,1s.4s,1S,0.0,1,72.108701,1.9e-05,even,,no,75.640097,7.492315999220907e-09,"ASD 1/sum(Aki), J-resolved",7.492315999220907e-09,3/3,yes,9.892472999999995,9.892472999999995,,,L3501c202
Li II,Li,1,1s.4p,3P*,0.0,1,72.144509,1.2e-05,odd,,no,75.640097,5.445546441525994e-09,"ASD 1/sum(Aki), J-resolved",5.445546441525994e-09,4/4,yes,13.123801,13.123801,,,L3501c202
Li II,Li,1,1s.4p,3P*,1.0,3,72.144559,1.2e-05,odd,,no,75.640097,5.445917438040028e-09,"ASD 1/sum(Aki), J-resolved",5.445917438040028e-09,5/5,yes,13.123851000000002,13.123851000000002,,,L3501c202
Li II,Li,1,1s.4p,3P*,2.0,5,72.144648,1.2e-05,odd,,no,75.640097,5.445643876448803e-09,"ASD 1/sum(Aki), J-resolved",5.445643876448803e-09,7/7,yes,13.123940000000005,72.144648,,,L3501c202
Li II,Li,1,1s.4d,3D,1.0,3,72.2347,2.5e-05,even,,no,75.640097,2.030508072017859e-09,"ASD 1/sum(Aki), J-resolved",2.030508072017859e-09,9/9,yes,10.953563000000003,10.954233000000002,,,L3501c202
Li II,Li,1,1s.4d,3D,2.0,5,72.234749,1.2e-05,even,,no,75.640097,2.030357382182619e-09,"ASD 1/sum(Aki), J-resolved",2.030357382182619e-09,7/7,yes,10.954281999999992,10.954281999999992,,,L3501c202
Li II,Li,1,1s.4d,3D,3.0,7,72.234831,1.2e-05,even,,no,75.640097,2.03006948668004e-09,"ASD 1/sum(Aki), J-resolved",2.03006948668004e-09,3/3,yes,10.954082,10.954082,,,L3501c202
Li II,Li,1,1s.4d,1D,2.0,5,72.236923,1.9e-05,even,,no,75.640097,2.3529553107314586e-09,"ASD 1/sum(Aki), J-resolved",2.3529553107314586e-09,10/10,yes,10.020695000000003,72.236923,,,L3501c202
Li II,Li,1,1s.4f,3F*,2.0,5,72.238414,1.2e-05,odd,,no,75.640097,4.518119715804848e-09,"ASD 1/sum(Aki), J-resolved",4.518119715804848e-09,4/4,yes,2.6530970000000025,2.653240000000011,,,L3501c202
Li II,Li,1,1s.4f,3F*,3.0,7,72.238414,1.2e-05,odd,,no,75.640097,4.519651444480602e-09,"ASD 1/sum(Aki), J-resolved",4.519651444480602e-09,3/3,yes,2.653240000000011,2.653240000000011,,,L3501c202
Li II,Li,1,1s.4f,3F*,4.0,9,72.238414,1.2e-05,odd,,no,75.640097,4.518140333438757e-09,"ASD 1/sum(Aki), J-resolved",4.518140333438757e-09,1/1,yes,2.6531630000000064,2.6531630000000064,,,L3501c202
Li II,Li,1,1s.4f,1F*,3.0,7,72.238546,1.2e-05,odd,,no,75.640097,4.5226567578272205e-09,"ASD 1/sum(Aki), J-resolved",4.5226567578272205e-09,4/4,yes,2.6495939999999933,10.022317999999999,,,L3501c202
Li II,Li,1,1s.4p,1P*,1.0,3,72.26252,0.00015,odd,,no,75.640097,2.8795053561607593e-10,"ASD 1/sum(Aki), J-resolved",2.8795053561607593e-10,10/10,yes,72.26252,72.26252,,,L6124c204
Li II,Li,1,1s.5s,3S,1.0,3,73.297399,1.2e-05,even,,no,75.640097,9.461400325093715e-09,"ASD 1/sum(Aki), J-resolved",9.461400325093715e-09,9/9,yes,12.016649999999998,12.016931999999997,,,L3501c202
Li II,Li,1,1s.5s,1S,0.0,1,73.397242,1.9e-05,even,,no,75.640097,1.2135617476611337e-08,"ASD 1/sum(Aki), J-resolved",1.2135617476611337e-08,5/5,yes,11.181014000000005,11.181014000000005,,,L3501c202
Li II,Li,1,1s.5p,3P*,0.0,1,73.415108,1.2e-05,odd,,no,75.640097,8.994045671943803e-09,"ASD 1/sum(Aki), J-resolved",8.994045671943803e-09,6/6,yes,14.394400000000005,14.394400000000005,,,L3501c202
Li II,Li,1,1s.5p,3P*,1.0,3,73.415155,1.2e-05,odd,,no,75.640097,8.994180934925123e-09,"ASD 1/sum(Aki), J-resolved",8.994180934925123e-09,9/9,yes,14.394447,14.394447,,,L3501c202
Li II,Li,1,1s.5p,3P*,2.0,5,73.415238,1.2e-05,odd,,no,75.640097,8.994289005860388e-09,"ASD 1/sum(Aki), J-resolved",8.994289005860388e-09,12/12,yes,14.394530000000003,73.415238,,,L3501c202
Li II,Li,1,1s.5d,3D,1.0,3,73.460988,2.5e-05,even,,no,75.640097,3.867922190460384e-09,"ASD 1/sum(Aki), J-resolved",3.867922190460384e-09,13/13,yes,12.179851,12.180520999999999,,,L3501c202
Li II,Li,1,1s.5d,3D,2.0,5,73.461037,1.2e-05,even,,no,75.640097,3.8687192253492655e-09,"ASD 1/sum(Aki), J-resolved",3.8687192253492655e-09,12/12,yes,12.180570000000003,12.180570000000003,,,L3501c202
Li II,Li,1,1s.5d,3D,3.0,7,73.461119,1.2e-05,even,,no,75.640097,3.868048030477632e-09,"ASD 1/sum(Aki), J-resolved",3.868048030477632e-09,8/8,yes,12.180369999999996,12.180369999999996,,,L3501c202
Li II,Li,1,1s.5d,1D,2.0,5,73.462319,1.9e-05,even,,no,75.640097,4.558982286879408e-09,"ASD 1/sum(Aki), J-resolved",4.558982286879408e-09,16/16,yes,11.246090999999993,73.462319,,,L3501c202
Li II,Li,1,1s.5f,3F*,2.0,5,73.463023,1.2e-05,odd,,no,75.640097,8.732730817406222e-09,"ASD 1/sum(Aki), J-resolved",8.732730817406222e-09,8/8,yes,3.8777060000000034,3.877849000000012,,,L3501c202
Li II,Li,1,1s.5f,3F*,3.0,7,73.463023,1.2e-05,odd,,no,75.640097,8.73683686316104e-09,"ASD 1/sum(Aki), J-resolved",8.73683686316104e-09,6/6,yes,3.877849000000012,3.877849000000012,,,L3501c202
Li II,Li,1,1s.5f,3F*,4.0,9,73.463023,1.2e-05,odd,,no,75.640097,8.732938022338856e-09,"ASD 1/sum(Aki), J-resolved",8.732938022338856e-09,2/2,yes,3.8777720000000073,3.8777720000000073,,,L3501c202
Li II,Li,1,1s.5f,1F*,3.0,7,73.463147,1.2e-05,odd,,no,75.640097,8.747146243538045e-09,"ASD 1/sum(Aki), J-resolved",8.747146243538045e-09,6/6,yes,3.8741950000000003,3.8779730000000114,,,L3501c202
Li II,Li,1,1s.5g,1G,4.0,9,73.463317,2.5e-05,even,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.5g,3G,3.0,7,73.463317,2.5e-05,even,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.5g,3G,4.0,9,73.463317,2.5e-05,even,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.5g,3G,5.0,11,73.463317,2.5e-05,even,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.5p,1P*,1.0,3,73.4753,0.0003,odd,,no,75.640097,5.559127161203878e-10,"ASD 1/sum(Aki), J-resolved",5.559127161203878e-10,13/13,yes,73.4753,73.4753,,,L6124c204
Li II,Li,1,1s.6s,3S,1.0,3,74.033578,1.2e-05,even,,no,75.640097,1.5048591903255613e-08,"ASD 1/sum(Aki), J-resolved",1.5048591903255613e-08,12/12,yes,12.752829000000006,12.753111000000004,,,L3501c202
Li II,Li,1,1s.6s,1S,0.0,1,74.090435,1.9e-05,even,,no,75.640097,1.893829922036905e-08,"ASD 1/sum(Aki), J-resolved",1.893829922036905e-08,7/7,yes,11.874206999999998,11.874206999999998,,,L3501c202
Li II,Li,1,1s.6p,3P*,0.0,1,74.10058,1.2e-05,odd,,no,75.640097,1.4227648609461474e-08,"ASD 1/sum(Aki), J-resolved",1.4227648609461474e-08,8/8,yes,15.079871999999995,15.079871999999995,,,L3501c202
Li II,Li,1,1s.6p,3P*,1.0,3,74.100627,1.2e-05,odd,,no,75.640097,1.4227975372990927e-08,"ASD 1/sum(Aki), J-resolved",1.4227975372990927e-08,12/12,yes,15.079919000000004,15.079919000000004,,,L3501c202
Li II,Li,1,1s.6p,3P*,2.0,5,74.10071,1.2e-05,odd,,no,75.640097,1.4227874704661209e-08,"ASD 1/sum(Aki), J-resolved",1.4227874704661209e-08,16/16,yes,15.080002000000007,74.10071,,,L3501c202
Li II,Li,1,1s.6d,3D,1.0,3,74.127013,2.5e-05,even,,no,75.640097,6.5722083794444264e-09,"ASD 1/sum(Aki), J-resolved",6.5722083794444264e-09,17/17,yes,12.845876000000004,12.846546000000004,,,L3501c202
Li II,Li,1,1s.6d,3D,2.0,5,74.127061,1.2e-05,even,,no,75.640097,6.572757029098128e-09,"ASD 1/sum(Aki), J-resolved",6.572757029098128e-09,18/18,yes,12.846593999999996,12.846593999999996,,,L3501c202
Li II,Li,1,1s.6d,3D,3.0,7,74.127143,1.2e-05,even,,no,75.640097,6.572254739808987e-09,"ASD 1/sum(Aki), J-resolved",6.572254739808987e-09,13/13,yes,12.846394000000004,12.846394000000004,,,L3501c202
Li II,Li,1,1s.6d,1D,2.0,5,74.127877,1.9e-05,even,,no,75.640097,7.812067949393369e-09,"ASD 1/sum(Aki), J-resolved",7.812067949393369e-09,18/18,yes,11.911648999999997,74.127877,,,L3501c202
Li II,Li,1,1s.6f,3F*,2.0,5,74.128238,1.2e-05,odd,,no,75.640097,1.4964710623454953e-08,"ASD 1/sum(Aki), J-resolved",1.4964710623454953e-08,12/12,yes,4.542920999999993,4.543064000000001,,,L3501c202
Li II,Li,1,1s.6f,3F*,3.0,7,74.128238,1.2e-05,odd,,no,75.640097,1.4970709806264046e-08,"ASD 1/sum(Aki), J-resolved",1.4970709806264046e-08,9/9,yes,4.543064000000001,4.543064000000001,,,L3501c202
Li II,Li,1,1s.6f,3F*,4.0,9,74.128238,1.2e-05,odd,,no,75.640097,1.4964459408903853e-08,"ASD 1/sum(Aki), J-resolved",1.4964459408903853e-08,3/3,yes,4.5429869999999966,4.5429869999999966,,,L3501c202
Li II,Li,1,1s.6f,1F*,3.0,7,74.128368,1.2e-05,odd,,no,75.640097,1.4996618262581788e-08,"ASD 1/sum(Aki), J-resolved",1.4996618262581788e-08,9/9,yes,4.539415999999989,4.543194,,,L3501c202
Li II,Li,1,1s.6g,1G,4.0,9,74.128445,2.5e-05,even,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.6g,3G,3.0,7,74.128445,2.5e-05,even,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.6g,3G,4.0,9,74.128445,2.5e-05,even,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.6g,3G,5.0,11,74.128445,2.5e-05,even,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.6h,1H*,5.0,11,74.128465,2.5e-05,odd,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.6h,3H*,4.0,9,74.128465,2.5e-05,odd,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.6h,3H*,5.0,11,74.128465,2.5e-05,odd,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.6h,3H*,6.0,13,74.128465,2.5e-05,odd,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.6p,1P*,1.0,3,74.1347,0.0006,odd,,no,75.640097,9.538029271613483e-10,"ASD 1/sum(Aki), J-resolved",9.538029271613483e-10,14/14,yes,74.1347,74.1347,,,L6124c204
Li II,Li,1,1s.7s,3S,1.0,3,74.470245,1.2e-05,even,,no,75.640097,2.275423649752229e-08,"ASD 1/sum(Aki), J-resolved",2.275423649752229e-08,15/15,yes,13.189496000000005,13.189778000000004,,,L3501c202
Li II,Li,1,1s.7s,1S,0.0,1,74.50579,0.00025,even,,no,75.640097,2.8243321866544656e-08,"ASD 1/sum(Aki), J-resolved",2.8243321866544656e-08,5/5,yes,12.289562000000004,12.289562000000004,,,L3501c202
Li II,Li,1,1s.7p,3P*,0.0,1,74.511979,1.2e-05,odd,,no,75.640097,,,,,,,,,,u45
Li II,Li,1,1s.7p,3P*,1.0,3,74.512007,1.2e-05,odd,,no,75.640097,,,,,,,,,,u45
Li II,Li,1,1s.7p,3P*,2.0,5,74.51206,1.2e-05,odd,,no,75.640097,,,,,,,,,,u45
Li II,Li,1,1s.7d,3D,1.0,3,74.528537,2.5e-05,even,,no,75.640097,1.0314628665374209e-08,"ASD 1/sum(Aki), J-resolved",1.0314628665374209e-08,18/18,yes,13.247399999999999,13.248069999999998,,,L3501c202
Li II,Li,1,1s.7d,3D,2.0,5,74.528585,1.2e-05,even,,no,75.640097,1.0315524017463849e-08,"ASD 1/sum(Aki), J-resolved",1.0315524017463849e-08,21/21,yes,13.248118000000005,13.248118000000005,,,L3501c202
Li II,Li,1,1s.7d,3D,3.0,7,74.528667,1.2e-05,even,,no,75.640097,1.0314562100857533e-08,"ASD 1/sum(Aki), J-resolved",1.0314562100857533e-08,17/17,yes,13.247917999999999,13.247917999999999,,,L3501c202
Li II,Li,1,1s.7d,1D,2.0,5,74.529152,1.9e-05,even,,no,75.640097,1.2326082877960253e-08,"ASD 1/sum(Aki), J-resolved",1.2326082877960253e-08,15/15,yes,12.312923999999995,12.312923999999995,,,L3501c202
Li II,Li,1,1s.7f,3F*,2.0,5,74.529324,2.5e-05,odd,,no,75.640097,2.3607780547399835e-08,"ASD 1/sum(Aki), J-resolved",2.3607780547399835e-08,16/16,yes,4.944006999999999,4.944150000000008,,,L3501c202
Li II,Li,1,1s.7f,3F*,3.0,7,74.529324,2.5e-05,odd,,no,75.640097,2.3619398895745864e-08,"ASD 1/sum(Aki), J-resolved",2.3619398895745864e-08,12/12,yes,4.944150000000008,4.944150000000008,,,L3501c202
Li II,Li,1,1s.7f,3F*,4.0,9,74.529324,2.5e-05,odd,,no,75.640097,2.3607288041964315e-08,"ASD 1/sum(Aki), J-resolved",2.3607288041964315e-08,4/4,yes,4.944073000000003,4.944073000000003,,,L3501c202
Li II,Li,1,1s.7f,1F*,3.0,7,74.529466,1.2e-05,odd,,no,75.640097,2.3664897478931143e-08,"ASD 1/sum(Aki), J-resolved",2.3664897478931143e-08,12/12,yes,4.940513999999993,4.944292000000004,,,L3501c202
Li II,Li,1,1s.7g,1G,4.0,9,74.529497,2.5e-05,even,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.7g,3G,3.0,7,74.529497,2.5e-05,even,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.7g,3G,4.0,9,74.529497,2.5e-05,even,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.7g,3G,5.0,11,74.529497,2.5e-05,even,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.7h,1H*,5.0,11,74.52951,2.5e-05,odd,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.7h,3H*,4.0,9,74.52951,2.5e-05,odd,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.7h,3H*,5.0,11,74.52951,2.5e-05,odd,,no,75.640097,,,,,,,,,,u46
Li II,Li,1,1s.7h,3H*,6.0,13,74.52951,2.5e-05,odd,,no,75.640097,,,,,,,,,,u46
