Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""1s""","=""2S""","=""1/2""",2,"=""""","=""0.00000000""","=""""","=""0.00000011""","="" 100                    ""","="""""
"=""2p""","=""2P*""","=""1/2""",2,"=""(""","=""91.83935361""","="")""","=""0.00000011""","="" 100                    ""","=""L19200"""
"=""2p""","=""2P*""","=""3/2""",4,"=""(""","=""91.8430307922""","="")""","=""0.00000011""","="" 100                    ""","=""L19200"""
"=""2s""","=""2S""","=""1/2""",2,"=""(""","=""91.83961301""","="")""","=""0.00000011""","="" 100                    ""","=""L19200"""
"=""3p""","=""2P*""","=""1/2""",2,"=""(""","=""108.8480984654""","="")""","=""0.0000000025""","="" 100                    ""","=""L3620c107"""
"=""3p""","=""2P*""","=""3/2""",4,"=""(""","=""108.8491880076""","="")""","=""0.0000000012""","="" 100                    ""","=""L3620c107"""
"=""3s""","=""2S""","=""1/2""",2,"=""(""","=""108.848175799""","="")""","=""0.000000010""","="" 100                    ""","=""L3620c107"""
"=""3d""","=""2D""","=""3/2""",4,"=""(""","=""108.84918621117""","="")""","=""0.00000000009""","="" 100                    ""","=""L3620c107"""
"=""3d""","=""2D""","=""5/2""",6,"=""(""","=""108.84954931360""","="")""","=""0.00000000007""","="" 100                    ""","=""L3620c107"""
"=""4p""","=""2P*""","=""1/2""",2,"=""(""","=""114.8010096841""","="")""","=""0.0000000011""","="" 100                    ""","=""L3620c107"""
"=""4p""","=""2P*""","=""3/2""",4,"=""(""","=""114.8014693297""","="")""","=""0.0000000006""","="" 100                    ""","=""L3620c107"""
"=""4s""","=""2S""","=""1/2""",2,"=""(""","=""114.801042388""","="")""","=""0.000000004""","="" 100                    ""","=""L3620c107"""
"=""4d""","=""2D""","=""3/2""",4,"=""(""","=""114.801468562""","="")""","=""0.000000006""","="" 100                    ""","=""L3620c107"""
"=""4d""","=""2D""","=""5/2""",6,"=""(""","=""114.801621748""","="")""","=""0.000000006""","="" 100                    ""","=""L3620c107"""
"=""4f""","=""2F*""","=""5/2""",6,"=""(""","=""114.8016214718""","="")""","=""0.0000000025""","="" 100                    ""","=""L3620c107"""
"=""4f""","=""2F*""","=""7/2""",8,"=""(""","=""114.8016980606""","="")""","=""0.0000000025""","="" 100                    ""","=""L3620c107"""
"=""5p""","=""2P*""","=""1/2""",2,"=""(""","=""117.5562933413""","="")""","=""0.0000000006""","="" 100                    ""","=""L3620c107"""
"=""5p""","=""2P*""","=""3/2""",4,"=""(""","=""117.5565286773""","="")""","=""0.0000000004""","="" 100                    ""","=""L3620c107"""
"=""5s""","=""2S""","=""1/2""",2,"=""(""","=""117.5563101069""","="")""","=""0.0000000025""","="" 100                    ""","=""L3620c107"""
"=""5d""","=""2D""","=""3/2""",4,"=""(""","=""117.556528282""","="")""","=""0.000000004""","="" 100                    ""","=""L3620c107"""
"=""5d""","=""2D""","=""5/2""",6,"=""(""","=""117.556606712""","="")""","=""0.000000004""","="" 100                    ""","=""L3620c107"""
"=""5f""","=""2F*""","=""5/2""",6,"=""(""","=""117.5566065705""","="")""","=""0.0000000025""","="" 100                    ""","=""L3620c107"""
"=""5f""","=""2F*""","=""7/2""",8,"=""(""","=""117.5566457830""","="")""","=""0.0000000025""","="" 100                    ""","=""L3620c107"""
"=""5g""","=""2G""","=""7/2""",8,"=""(""","=""117.5566457093""","="")""","=""0.0000000005""","="" 100                    ""","=""L3620c107"""
"=""5g""","=""2G""","=""9/2""",10,"=""(""","=""117.5566692369""","="")""","=""0.0000000005""","="" 100                    ""","=""L3620c107"""
"=""6p""","=""2P*""","=""1/2""",2,"=""(""","=""119.0529640008""","="")""","=""0.0000000011""","="" 100                    ""","=""L3620c107"""
"=""6p""","=""2P*""","=""3/2""",4,"=""(""","=""119.0531001894""","="")""","=""0.0000000010""","="" 100                    ""","=""L3620c107"""
"=""6s""","=""2S""","=""1/2""",2,"=""(""","=""119.0529737087""","="")""","=""0.0000000012""","="" 100                    ""","=""L3620c107"""
"=""6d""","=""2D""","=""3/2""",4,"=""(""","=""119.0530999581""","="")""","=""0.0000000025""","="" 100                    ""","=""L3620c107"""
"=""6d""","=""2D""","=""5/2""",6,"=""(""","=""119.0531453463""","="")""","=""0.0000000025""","="" 100                    ""","=""L3620c107"""
"=""6f""","=""2F*""","=""5/2""",6,"=""(""","=""119.0531452632""","="")""","=""0.0000000012""","="" 100                    ""","=""L3620c107"""
"=""6f""","=""2F*""","=""7/2""",8,"=""(""","=""119.0531679573""","="")""","=""0.0000000012""","="" 100                    ""","=""L3620c107"""
"=""6g""","=""2G""","=""7/2""",8,"=""(""","=""119.0531679135""","="")""","=""0.0000000005""","="" 100                    ""","=""L3620c107"""
"=""6g""","=""2G""","=""9/2""",10,"=""(""","=""119.0531815290""","="")""","=""0.0000000005""","="" 100                    ""","=""L3620c107"""
