conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
1s,2S,0.5,2.0,0.0,2p,2P*,0.5,2.0,91.839354,91.839354,13.50012,50785000000.0,0.13876,0.27752,0.0036827
1s,2S,0.5,2.0,0.0,2p,2P*,1.5,4.0,91.843031,91.843031,13.49958,50777000000.0,0.27746,0.55492,0.0073637
1s,2S,0.5,2.0,0.0,3p,2P*,0.5,2.0,108.848098,108.848098,11.39057,13557000000.0,0.02637,0.05274,0.00069987
1s,2S,0.5,2.0,0.0,3p,2P*,1.5,4.0,108.849188,108.849188,11.39046,13557000000.0,0.052739,0.10548,0.0013997
1s,2S,0.5,2.0,0.0,4p,2P*,0.5,2.0,114.80101,114.80101,10.79992,5526300000.0,0.0096635,0.019327,0.00025647
1s,2S,0.5,2.0,0.0,4p,2P*,1.5,4.0,114.801469,114.801469,10.79988,5526900000.0,0.019329,0.038658,0.00051299
1s,2S,0.5,2.0,0.0,5p,2P*,0.5,2.0,117.556293,117.556293,10.54679,2785900000.0,0.0046459,0.0092917,0.0001233
1s,2S,0.5,2.0,0.0,5p,2P*,1.5,4.0,117.556529,117.556529,10.54677,2786300000.0,0.009293,0.018586,0.00024664
1s,2S,0.5,2.0,0.0,6p,2P*,0.5,2.0,119.052964,119.052964,10.41421,1598800000.0,0.0025996,0.0051992,6.8993e-05
1s,2S,0.5,2.0,0.0,6p,2P*,1.5,4.0,119.0531,119.0531,10.41419,1599100000.0,0.0052002,0.0104,0.00013801
1s,2S,0.5,2.0,0.0,7p,2P*,0.5,2.0,119.955397,119.955397,10.33586,1001900000.0,0.0016046,0.0032093,4.2587e-05
1s,2S,0.5,2.0,0.0,7p,2P*,1.5,4.0,119.955483,119.955483,10.33585,1002000000.0,0.0032096,0.0064192,8.5183e-05
1s,2S,0.5,2.0,0.0,8p,2P*,0.5,2.0,120.541104,120.541104,10.28564,668980000.0,0.001061,0.0021221,2.816e-05
1s,2S,0.5,2.0,0.0,8p,2P*,1.5,4.0,120.541162,120.541162,10.28563,669100000.0,0.0021225,0.0042449,5.633e-05
2p,2P*,0.5,2.0,91.839354,3s,2S,0.5,2.0,108.848176,17.008822,72.89405,170660000.0,0.013595,0.02719,0.00036081
2p,2P*,0.5,2.0,91.839354,3d,2D,1.5,4.0,108.849186,17.009833,72.88972,4368300000.0,0.69588,1.3918,0.018469
2p,2P*,0.5,2.0,91.839354,4s,2S,0.5,2.0,114.801042,22.961689,53.99611,69685000.0,0.003046,0.0060919,8.084e-05
2p,2P*,0.5,2.0,91.839354,4d,2D,1.5,4.0,114.801469,22.962115,53.99511,1393700000.0,0.12183,0.24367,0.0032335
2p,2P*,0.5,2.0,91.839354,5s,2S,0.5,2.0,117.55631,25.716956,48.21107,34830000.0,0.0012137,0.0024274,3.2211e-05
2p,2P*,0.5,2.0,91.839354,5d,2D,1.5,4.0,117.556528,25.717175,48.21066,636940000.0,0.044389,0.088778,0.0011781
2p,2P*,0.5,2.0,91.839354,6s,2S,0.5,2.0,119.052974,27.21362,45.55961,19866000.0,0.0006182,0.0012364,1.6407e-05
2p,2P*,0.5,2.0,91.839354,6d,2D,1.5,4.0,119.0531,27.213746,45.5594,347690000.0,0.021639,0.043278,0.0005743
2s,2S,0.5,2.0,91.839613,3p,2P*,0.5,2.0,108.848098,17.008485,72.8955,1820200000.0,0.145,0.29001,0.0038484
