obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""18.409""","=""g,a""","=""""",,"=""0.000000""","=""67.349""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3s.7d?""","=""*""","=""1/2 or 3/2""",2,2,,"=""""","=""L2781""",
"=""18.431""","=""18.431""","=""g,a""","=""""",,"=""0.000000""","=""67.269""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3s.9d?""","=""*""","=""1/2 or 3/2""",2,2,,"=""""","=""L2781""",
"=""18.468""","=""18.468""","=""g,a""","=""""",,"=""0.000000""","=""67.135""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3s.9d?""","=""*""","=""1/2 or 3/2""",2,2,,"=""""","=""L2781""",
"=""18.481""","=""18.481""","=""g,a""","=""""",,"=""0.000000""","=""67.088""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3s.8d?""","=""*""","=""1/2 or 3/2""",2,2,,"=""""","=""L2781""",
"=""18.526""","=""18.526""","=""g,a""","=""""",,"=""0.000000""","=""66.924""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3s.6d?""","=""*""","=""1/2 or 3/2""",2,2,,"=""""","=""L2781""",
"=""18.559""","=""18.559""","=""g,a""","=""""",,"=""0.000000""","=""66.805""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3s.7d?""","=""*""","=""1/2 or 3/2""",2,2,,"=""""","=""L2781""",
"=""18.598""","=""18.598""","=""g,a""","=""""",,"=""0.000000""","=""66.665""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3s.7d?""","=""*""","=""1/2 or 3/2""",2,2,,"=""""","=""L2781""",
"=""18.647""","=""18.647""","=""g,a""","=""""",,"=""0.000000""","=""66.490""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3s.6d?""","=""*""","=""1/2 or 3/2""",2,2,,"=""""","=""L2781""",
"=""18.684""","=""18.684""","=""g,a""","=""""",,"=""0.000000""","=""66.359""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3s.6d?""","=""*""","=""1/2 or 3/2""",2,2,,"=""""","=""L2781""",
"=""18.719""","=""18.719""","=""g,a""","=""""",,"=""0.000000""","=""66.235""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3s.6d?""","=""*""","=""1/2 or 3/2""",2,2,,"=""""","=""L2781""",
