State,Lifetime /s,Energy /eV
Mg+ 2S;v=2p6.3s,,0.0
Mg+ 2Po;v=2p6.3p,3.89105e-09,4.42232755125699
Mg+ 2S;v=2p6.4s,2.89855e-09,8.65450492391885
Mg+ 2D;v=2p6.3d,2.07983e-09,8.86356225660914
Mg+ 2Po;v=2p6.4p,1.83753e-08,9.99531350541117
Mg+ 2S;v=2p6.5s,5.02008e-09,11.5042903742129
Mg+ 2D;v=2p6.4d,7.67571e-09,11.5688350589469
Mg+ 2Fo;v=2p6.4f,4.30095e-09,11.6293999427206
Mg+ 2Po;v=2p6.5p,4.39831e-08,12.0826137249821
Mg+ 2D;v=2p6.5d,1.9015e-08,12.8221500099805
Mg+ 2Fo;v=2p6.5f,8.20857e-09,12.8556249713293
