obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""10.630""","=""g""","=""""",,"=""0.0000""","=""116.63""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.8p""","=""1P*""","=""1""",1,3,,"=""""","=""L2781""",
"=""10.699""","=""10.699""","=""g""","=""""",,"=""0.0000""","=""115.89""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.7p""","=""1P*""","=""1""",1,3,,"=""""","=""L2781,L4197""",
"=""10.808""","=""10.808""","=""g""","=""""",,"=""0.0000""","=""114.71""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.6p""","=""1P*""","=""1""",1,3,,"=""""","=""L2781""",
"=""11.014""","=""11.013""","=""g""","=""""",,"=""0.0000""","=""112.58""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.5p""","=""1P*""","=""1""",1,3,,"=""""","=""L2781,L4197""",
"=""11.433""","=""11.432""","=""g""","=""""",,"=""0.0000""","=""108.45""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.4p""","=""1P*""","=""1""",1,3,,"=""""","=""L2781,L4197""",
"=""12.650""","=""12.650""","=""g""","=""""",,"=""0.0000""","=""98.01""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.3p""","=""1P*""","=""1""",1,3,,"=""""","=""L2781""",
"=""15.7701""","=""15.77011""","=""1g,d""","=""""",,"=""0.0000""","=""78.6197""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2003""",
"=""15.7981""","=""15.79809""","=""1g,d""","=""""",,"=""0.0000""","=""78.4805""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2003""",
"=""15.8522""","=""15.8522""","=""2g,d""","=""""",,"=""0.0000""","=""78.2126""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2003""",
"=""15.9198""","=""15.9198""","=""2g""","=""""",,"=""0.0000""","=""77.8806""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2003""",
"=""15.9741""","=""15.9741""","=""4g""","=""""",,"=""0.0000""","=""77.6157""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2003""",
"=""16.1108""","=""16.1108""","=""5g""","=""""",,"=""0.0000""","=""76.9572""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2003""",
"=""16.1655""","=""16.1655""","=""5g""","=""""",,"=""0.0000""","=""76.6967""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2003""",
"=""16.3562""","=""16.3562""","=""2g""","=""""",,"=""0.0000""","=""75.8026""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L2003""",
"=""16.4133""","=""16.4133""","=""1g""","=""""",,"=""0.0000""","=""75.5389""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2003""",
"=""16.4394""","=""16.4394""","=""8g""","=""""",,"=""0.0000""","=""75.4190""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2003""",
"=""16.4949""","=""16.4949""","=""8g""","=""""",,"=""0.0000""","=""75.1652""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2003""",
"=""16.5192""","=""16.5192""","=""1g""","=""""",,"=""0.0000""","=""75.0546""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L2003""",
"=""16.91406""","=""16.91416""","=""7g""","=""""",,"=""0.0000""","=""73.30202""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L2003""",
"=""16.97411""","=""16.97427""","=""6g""","=""""",,"=""0.0000""","=""73.04241""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2003""",
"=""17.08050""","=""17.08041""","=""15g""","=""""",,"=""0.0000""","=""72.58856""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2003""",
